;a00_cle_idweb;g04_01_date_publication;d01_07_cp;d01_08_ville;d01_01_denomination;g04_052_descripteurs_libelles;g01_02_02_perimetre;g01_02_01_famille;g01_02_03_nature;g01_02_04_statut;g04_061_criteres_sociaux;g04_062_criteres_environnementaux;g04_09_resume_objet
12;19-143724;2019-09-22;12032;Rodez;Rodez Agglo Habitat;['Prestations de services'];directive24;joue;appeloffre;initial;non;non;Contrat d'entretien portant sur les chaudières individuelles, chauffe eaux, robinetterie, sanitaires en logements et parties communes
13;19-143238;2019-09-22;13007;Marseille;METROPOLE D AIX MARSEILLE PROVENCE;['Equipement de piscine'];autre;joue;rectificatif;rectificatif;non;non;Concours restreint de maîtrise d'oeuvre sur Esquisse pour la démolition et la reconstruction d'un centre aquatique à LAMBESC (13)
14;19-142609;2019-09-22;13007;Marseille;METROPOLE D AIX MARSEILLE PROVENCE;['Etude', 'Prestations de services'];directive24;joue;attribution;initial;non;non;Inventaire des ouvrages pluviaux et création de fiches ouvrages sur la Métropole Aix-Marseille-Provence
15;19-143006;2019-09-22;13007;Marseille;METROPOLE D AIX MARSEILLE PROVENCE;['Assainissement', 'Prestations de services'];directive24;joue;attribution;initial;non;non;désobstruction et décolmatage de l'émissaire de rejet en mer - assainissement - carry-le-rouet et sausset-les-pins
16;19-143502;2019-09-22;13007;Marseille;METROPOLE D AIX MARSEILLE PROVENCE;['Maintenance'];directive24;joue;attribution;initial;non;non;Maintenance préventive et corrective des installations hydrauliques de pompage pour le territoire Métropolitain (3 lots)
17;19-143175;2019-09-22;13007;Marseille;METROPOLE D AIX MARSEILLE PROVENCE;['Analyses médicales, biologiques'];autre;joue;rectificatif;rectificatif;non;non;Programme annuel d'analyses pour l'eau destinée à la consommation humaine et l'autosurveillance du système d'assainissement - Période 2020 à 2023 - Territoire du Pays de Martigues
18;19-143345;2019-09-22;13009;Marseille;CAISSE PRIMAIRE CENTRALE ASSUR MALADIE;['Transport'];directive24;joue;attribution;initial;non;non;COLLECTE, TRANSPORT ET DISTRIBUTION DE PLIS, DE COLIS ET PALETTES POUR LA CPCAM DES BOUCHES-DU-RHONE
19;19-143290;2019-09-22;13140;Miramas;Commune de Miramas;['Articles de bureau et articles scolaires'];directive24;joue;appeloffre;initial;non;non;Acquisition de fournitures administratives, pédagogiques, scolaires et pour les activités manuelles commandées par les écoles et les services de la commune
20;19-143712;2019-09-22;13226;Marseille;GRAND PORT MARITIME DE MARSEILLE;['Etude', 'Sondage, enquête'];directive25;joue;appeloffre;initial;non;non;Création d'un Terminal de transport combiné et amélioration de la desserte ferroviaire des Bassins Est du Gpmm. Etudes et Dossiers Réglementaires et Assistance à la concertation
21;19-143536;2019-09-22;13232;Marseille cedex 01;SOLEAM;['Etude', 'Revêtements de sols'];directive24;joue;attribution;initial;non;non;Op. 606 - Aubagne Centre Ville Bras d'Or - Projet de requalification du cours Barthélémy / Loulou Delfieu / Place de l'horloge - Commune d'Aubagne (13400) - Marché de fournitures de Pie
22;19-143429;2019-09-22;13233;Marseille cedex 20;Ville de Marseille;['Logiciel'];autre;joue;rectificatif;rectificatif;non;non;Fourniture, hébergement et suivi d'une solution logicielle pour la mise en oeuvre expérimentale de guichets numériques dans les bureaux municipaux de proximité
23;19-143305;2019-09-22;13233;Marseille cedex 20;Ville de Marseille;['Carburant, hydrocarbure', 'Combustible'];directive24;joue;appeloffre;initial;oui;oui;Fourniture de carte accréditives
24;19-143397;2019-09-22;13256;Marseille cedex 20;DEPARTEMENT DES BOUCHES DU RHONE;"['Prestations de services', ""Assistance à maîtrise d'ouvrage""]";directive24;joue;appeloffre;initial;non;non;Réalisation de diagnostics immobiliers de l'ensemble du patrimoine immobilier du Conseil départemental des Bouches-du-Rhône
25;19-143396;2019-09-22;13256;Marseille cedex 20;CONSEIL DEPARTEMENTAL 13;['Prestations de services', 'Reprographie'];directive24;joue;attribution;initial;non;non;location et maintenance d'un système de production documentaire noir et blanc haut volume et d'un module de finition destinés au centre de reprographie du Conseil Départemental des Bouches-d
26;19-143695;2019-09-22;13295;Marseille Cedex 8;CMAR PACA;['Cloison, faux plafond', 'Electricité (travaux)', 'Equipement thermique', 'Isolation', 'Revêtements muraux'];directive24;joue;appeloffre;initial;non;non;TRAVAUX DE REQUALIFICATION ÉNERGÉTIQUE DU BÂTIMENT 110 AVENUE DE VERDUN DANS LE CADRE DU PROJET ECO BATI - SITE ECONOMIQUE 06
27;19-143675;2019-09-22;13295;Marseille Cedex 8;CMAR PACA;['Denrées alimentaires'];directive24;joue;appeloffre;initial;non;non;FOURNITURE ET LIVRAISON DE DENRÉES ALIMENTAIRES POUR LES CFAR CAMPUS DE LA CMAR PACA
28;19-143839;2019-09-22;13530;trets;Commune de Trets;['Maçonnerie', 'Menuiserie', 'Monuments historiques'];cmp2006;fns;appeloffre;initial;non;non;ravalement et restauration des deux façades nord est du château des remparts
29;19-143301;2019-09-22;13572;Marseille;IRD;['Autocommutateur', 'Télécommunications'];directive24;joue;appeloffre;initial;non;oui;Fourniture de solutions de réseaux de convergence voix-données et architecture de la mobilité
30;19-143614;2019-09-22;13657;Salon de provence cedex;Ville de Salon de Provence;['Blanchisserie (matériel)'];directive24;joue;appeloffre;initial;non;non;Service de blanchisserie - Nettoyage de vêtements de travail et articles textiles divers de la ville de Salon de Provence et le CCAS
31;19-131185;2019-09-22;13804;Istres;MINARM/DGA/DO/S2A;['Matériel électronique', 'Matériel de transmission'];directive81;joue;appeloffre;initial;non;non;Fourniture de centrales inertielles avec gyro compas et hybridées GNSS à usage aéronautique
32;19-143378;2019-09-22;14035;CAEN CEDEX;DEPARTEMENT DU CALVADOS;['Clôture', 'Espaces verts', 'Mobilier', 'Voirie'];directive24;joue;appeloffre;initial;non;non;2019ENV227 - Aménagement de la Vélo Maritime section Port-en-Bessin / Sainte-Honorine-des-Pertes
33;19-143436;2019-09-22;14035;CAEN;Région Normandie;['Informatique (prestations de services)', 'Transport'];directive24;joue;attribution;initial;non;non;Mise en oeuvre d'un système billettique (lot 1) et d'un système d'aide à l'exploitation (lot 2) sur les lignes de transport scolaire et non urbain régionales normandes
34;19-143107;2019-09-22;14035;CAEN;Région Normandie;['Ingénierie'];directive24;joue;attribution;initial;non;non;Construction d'un gymnase Raymond Queneau à Yvetôt
35;19-143624;2019-09-22;14480;Creully sur Seulles;CC SEULLES TERRE ET MER;['Assurance'];directive24;joue;appeloffre;initial;non;non;Marché pour la souscription et la gestion d'un contrat d'assurance statutaire
36;19-143314;2019-09-22;15005;AURILLAC CEDEX;Communauté d'Agglomération du Bassin;['Bâtiment', 'Etude'];directive24;joue;attribution;initial;non;non;"Opération Programmée d'Amélioration de l'Habitat et de Renouvellement Urbain (OPAH-RU) "" Action Coeur de Ville """
37;19-143569;2019-09-22;16600;Mornac;CALITOM;['Maintenance'];directive24;joue;appeloffre;initial;non;non;Contrats De Maintenance Des Equipements De Calitom
38;19-143372;2019-09-22;17086;La Rochelle;VILLE LA ROCHELLE;['Informatique (matériel)', 'Logiciel'];directive24;joue;appeloffre;initial;non;oui;Acquisition De Materiels Et Logiciels Bureautiques
39;19-143371;2019-09-22;17086;La Rochelle;VILLE LA ROCHELLE;['Blanchisserie (matériel)', 'Cuisine (équipement)', 'Maintenance'];directive24;joue;appeloffre;initial;non;oui;Entretien Et Maintenance Du Materiel De Cuisine Et De Blanchisserie
40;19-143550;2019-09-22;17306;Rochefort cedex;Conservatoire du littoral;['Etude', 'Prestations de services'];directive24;joue;appeloffre;initial;non;non;Appui à l'élaboration de projets de territoires sur les sites adapto
41;19-143697;2019-09-22;18021;Bourges cedex;Territoria;['Ascenseur', 'Bâtiment', 'Charpente', 'Chauffage (travaux)', 'Cloison, faux plafond', 'Couverture', 'Cuisine (équipement)', 'Electricité (travaux)', 'Etanchéité', 'Gros oeuvre', 'Menuiserie', 'Ravalement', 'Revêtements de sols', 'Revêtements muraux', 'Voirie et réseaux divers'];directive24;joue;appeloffre;initial;non;non;Reconstruction de l'EHPAD La Rocherie
42;19-143245;2019-09-22;19100;BRIVE;Centre communal d'action sociale;['Assurance'];directive24;joue;attribution;initial;non;non;Souscription et gestion des contrats d'assurance
43;19-143159;2019-09-22;20000;Ajaccio;COMMUNAUTE D AGGLO DU PAYS AJACCIEN;['Véhicules (location)'];directive24;joue;attribution;initial;non;non;Location de camions plateaux, de camions bennes à ordures ménagères et de camions grues destinés au service de la collecte de la Capa
44;19-143085;2019-09-22;20179;Ajaccio cedex 01;CCIACS;['Nettoyage de locaux'];directive24;joue;attribution;initial;non;non;prestations de nettoyage pour l'ensemble des besoins de la cciacs
45;19-143510;2019-09-22;20179;Ajaccio Cedex 1;CCIACS;"[""Assistance à maîtrise d'ouvrage""]";directive25;joue;attribution;initial;non;non;etude relative aux efforts latéraux et aux efforts d'accostage et d'amarrage sur un appontement
46;19-143576;2019-09-22;20187;Ajaccio;COLLECTIVITE DE CORSE;['Prestations de services'];directive24;joue;appeloffre;initial;non;non;Prestations de prévisions et d'observations de données météorologiques pour les besoins de la Cdc
47;19-143180;2019-09-22;20290;Lucciana;CC de Marana Golo;['Titres restaurant'];directive24;joue;appeloffre;initial;non;non;fourniture, livraison et gestion de titres-restaurant à destination du personnel de la communauté de communes marana-golo.
48;19-143595;2019-09-22;20293;Bastia;IGESA;"[""Maîtrise d'oeuvre""]";directive24;joue;attribution;initial;non;non;Maîtrise d'ouvre des travaux de rénovation intérieure des chambres et des espaces communs de l'hôtel club IGeSA Pralognan
49;19-143511;2019-09-22;20303;AJACCIO;centre hospitalier ajaccio;"[""Produits d'entretien""]";directive24;joue;appeloffre;initial;non;non;FOURNITURE DE PRODUITS D ENTRETIEN ET ARTICLES DE DROGUERIE
50;19-143045;2019-09-22;20304;Ajaccio;COMMUNE D AJACCIO;['Location (matériels)'];directive24;joue;attribution;initial;non;non;Fourniture de matériels électriques, plomberie, bois et accessoires, quincaillerie, ferronnerie, vitrerie-miroiterie et peinture pour la régie des bâtiments
51;19-143400;2019-09-22;21000;Dijon;Ecole nationale des greffes de Dijon;['Nettoyage de locaux', 'Prestations de services'];directive24;joue;appeloffre;initial;oui;oui;MARCHE DE NETTOYAGE DE L'ÉCOLE NATIONALE DES GREFFES DE DIJON
52;19-143239;2019-09-22;22000;saint brieuc;Groupement d'achats 22;['Restauration collective'];directive24;joue;appeloffre;initial;non;non;Fournitures de denrées alimentaires et produits d'entretien pour le Groupement d'Achats 22
53;19-143520;2019-09-22;22400;Lamballe;SERVICE COMMUN D ACHATS;"['Denrées alimentaires', ""Produits de l'agriculture""]";directive24;joue;appeloffre;initial;non;non;Fourniture et livraison de viandes fraîches et produits surgelés
54;19-143033;2019-09-22;23700;AUZANCES;SIVOM Auzances-Bellegarde;['Ordures ménagères (prestations)'];directive24;joue;appeloffre;initial;non;non;TRAITEMENT DES DECHETS MENAGERS ET ASSIMILES RESIDUELS (DMAr) DU SIVOM
55;19-143467;2019-09-22;24019;Perigueux;Centre hospitalier Périgueux;['Crédit-bail', 'Prestations de services', 'Véhicules (location)'];directive24;joue;appeloffre;initial;non;non;location longue duree de vehicules ambulance categorie c - type a
56;19-143263;2019-09-22;25034;BESANCON;Ville de Besançon;['Végétaux'];directive24;joue;appeloffre;initial;non;non;Fourniture de végétaux, graines et accessoires de plantation
57;19-143135;2019-09-22;25034;BESANCON;Ville de Besançon;"[""Produits d'entretien""]";directive24;joue;appeloffre;initial;non;non;FOURNITURES DE PRODUITS D'ENTRETIEN ET D' HYGIENE - LOT 9- PRODUITS CUISINE MUNICIPALE
58;19-143597;2019-09-22;25043;BESANCON;Grand Besançon Métropole;['Prestations de services'];directive24;joue;appeloffre;initial;non;non;Marché de prestation de service relatif à la gestion des aires de Grand Besançon Métropole dédiées à l'accueil des gens du voyage
59;19-141454;2019-09-22;25290;ORNANS;Communauté de Communes Loue Lison;['Prestations de services', 'Délégation de service public'];directive23;joue;appeloffre;initial;non;non;délégation de service public pour l'exploitation du camping domaine la roche d'ully
60;19-143333;2019-09-22;25300;PONTARLIER;Préval Haut-Doubs;['Déchets non ménagers (prestations)'];directive24;joue;appeloffre;initial;non;oui;Transport des bennes bois, incinérables, inertes, cartons et non valorisables issues des déchèteries présentes sur le territoire de Préval HD
61;19-143170;2019-09-22;28028;Chartres;Conseil général d'Eure et Loir;['Prestations de services'];directive24;joue;attribution;initial;non;non;émission et gestion de chèques emplois services universels préfinancés, avec prestations associées
62;19-142861;2019-09-22;29720;PLONEOUR LANVERN;EHPAD Pierre GOENVIC;['Bardage', 'Bâtiment', 'Chauffage (travaux)', 'Cloison, faux plafond', 'Cuisine (équipement)', 'Démolition', 'Electricité (travaux)', 'Espaces verts', 'Etanchéité', 'Gros oeuvre', 'Isolation', 'Matériel médical', 'Menuiserie', 'Métallerie', 'Peinture (travaux)', 'Plomberie (travaux)', 'Ravalement', 'Réseaux divers', 'Revêtements de sols', 'Sanitaire', 'Terrassement', 'Ventilation', 'Voirie', 'Occultation', 'Amiante (désamiantage)'];directive24;joue;attribution;initial;non;non;marchés de travaux en vue de l'extension /restructuration de l'ehpad de ploneour lanvern (29)
63;19-142742;2019-09-22;29720;PLONEOUR LANVERN;EHPAD Pierre GOENVIC;['Bâtiment', 'Carrelage', 'Chauffage (travaux)', 'Climatisation', 'Cloison, faux plafond', 'Cuisine (équipement)', 'Electricité (travaux)', 'Etanchéité', 'Gros oeuvre', 'Isolation', 'Matériel médical', 'Menuiserie', 'Peinture (travaux)', 'Plomberie (travaux)', 'Revêtements de sols', 'Revêtements muraux', 'Serrurerie', 'Terrassement', 'Occultation', 'Amiante (désamiantage)'];directive24;joue;attribution;initial;non;non;marchés de travaux en vue de l'extension /restructuration de l'ehpad de ploneour lanvern (29)
64;19-143036;2019-09-22;29720;PLONEOURN LANVERN;EHPAD Pierre GOENVIC;['Appareil élévateur', 'Bardage', 'Bâtiment', 'Chauffage (travaux)', 'Cloison, faux plafond', 'Couverture', 'Cuisine (équipement)', 'Démolition', 'Electricité (travaux)', 'Espaces verts', 'Etanchéité', 'Gros oeuvre', 'Isolation', 'Menuiserie', 'Métallerie', 'Peinture (travaux)', 'Plomberie (travaux)', 'Ravalement', 'Réseaux divers', 'Revêtements de sols', 'Terrassement', 'Ventilation', 'Voirie et réseaux divers', 'Occultation', 'Amiante (désamiantage)'];directive24;joue;attribution;initial;non;non;marchés de travaux en vue de l'extension /restructuration de l'ehpad de ploneour lanvern (29)
65;19-143094;2019-09-22;30029;NIMES CEDEX 9;CENTRE HOSPITALIER UNIVERSITAIRE;['Consommables médicaux'];directive24;joue;appeloffre;initial;non;non;FOURNITURE DE DISPOSITIFS MEDICAUX STERILES ET IMPLANTABLES POUR ORTHOPEDIE
66;19-141717;2019-09-22;30947;Nîmes;MERCATURA;['Informatique (matériel)', 'Informatique (prestations de services)', 'Logiciel', 'Informatique (assistance)', 'Informatique (maintenance serveurs et réseaux)'];directive24;joue;appeloffre;initial;non;non;consolidation du cloud communautaire
67;19-141771;2019-09-22;30947;Nîmes;Ville de Nîmes;['Etude', 'Ingénierie'];directive24;joue;appeloffre;initial;non;non;Missions d'Assistance à Maîtrise d'Ouvrage pour la réalisation d'une Etude de Sûreté et de Sécurité Publique (ESSP)
68;19-143323;2019-09-22;31004;Toulouse;SOC DE LA MOBILITE DE AGGL TOULOUSAINE;['Voirie'];directive25;joue;appeloffre;initial;oui;non;Travaux d'aménagement, ponctuels et linéaires, nécessaires dans le cadre de la création du téléphérique Teleo
69;19-143506;2019-09-22;31059;Toulouse cedex 9;CHU DE TOULOUSE;['Equipement industriel'];directive24;joue;appeloffre;initial;non;non;Location et maintenance d'équipements de production et d'armoires de secours pour les fluides médicaux
70;19-143223;2019-09-22;31081;Toulouse;TISSEO;['Formation'];directive25;joue;appeloffre;initial;non;non;Formation Continue Obligatoire (Fco) Transport voyageurs et de marchandises
71;19-143361;2019-09-22;31090;Toulouse cedex 09;Conseil Départemental Haute-Garonne;['Ordures ménagères (prestations)'];directive24;joue;appeloffre;initial;non;oui;collective sélective des bio-déchets pour les collèges membres du groupement adhérents au marché
72;19-143651;2019-09-22;31270;Cugnaux;COMMUNE DE CUGNAUX;['Denrées alimentaires'];directive24;joue;appeloffre;initial;non;non;Acquisition de denrées alimentaires nécessaires au fonctionnement des restaurants scolaires, restaurant 3ème âge, centre de loisirs et crèche municipale de Cugnaux
73;19-143084;2019-09-22;31400;Toulouse;SMEA31;['Véhicules (acquisition)'];directive24;joue;appeloffre;initial;non;non;Acquisition de véhicules et engins neufs
74;19-143659;2019-09-22;31505;Toulouse;TOULOUSE METROPOLE;['Jeux, jouets'];directive24;joue;appeloffre;initial;non;non;19c068ao - Pr/Za - Achat De Pieces Detachees Pour Aires De Jeux Annees 2019 A 2023
75;19-143224;2019-09-22;31670;Labège;Communauté d'Agglomération du Sicoval;['Prestations de services'];directive24;joue;attribution;initial;non;non;réalisation de prestations de géomètres sur le territoire des 36 communes de la communauté d'agglomération du sicoval et d'enova aménagement 2018-2022.
76;19-143330;2019-09-22;31670;Labège innopole;Urssaf Midi-Pyrénées;['Mobilier'];directive24;joue;appeloffre;initial;non;non;Marché de fourniture de mobilier de bureau pour tous les sites de l'Urssaf Midi-Pyrénées
77;19-143016;2019-09-22;31700;Cornebarrieu;Ville de Cornebarrieu;['Nettoyage de locaux'];directive24;joue;appeloffre;initial;non;non;Entretien des bâtiments communaux
78;19-143274;2019-09-22;32000;Auch;Trigone Syndicat Mixte Départemental;['Collecte sélective', 'Déchetterie (exploitation)'];directive24;joue;appeloffre;initial;non;non;Mise à disposition de contenants, collecte, transport, transfert et traitement des DDS issus des décheteries
79;19-143469;2019-09-22;32022;Auch;Département de Gers;['Matériaux routiers'];directive24;joue;appeloffre;initial;non;non;Fourniture d'émulsions cationiques de bitume destinées à la réalisation d'enduits superficiels et de travaux d'entretien (Pata) sur les routes départementales
80;19-143222;2019-09-22;32022;Auch;Département de Gers;['Matériel agricole, horticole'];directive24;joue;appeloffre;initial;non;non;Fourniture de pièces détachées pour tracteurs
81;19-143432;2019-09-22;33045;Bordeaux;Bordeaux Métropole;['Prestations de services'];autre;joue;rectificatif;rectificatif;non;non;aménagement, gestion technique et sociale de l'espace temporaire d'insertion de bèlges (rectificatif)
82;19-143187;2019-09-22;33077;Bordeaux;Région Nouvelle Aquitaine;['Gros oeuvre'];autre;joue;rectificatif;rectificatif;oui;oui;Marché de travaux pour la rénovation des bâtiments A, B, C, D, E, L, Administration et demi-pension (1ère tranche) au lycée Nicolas Brémontier à Bordeaux. Opération 9236B001. Marché 2019B000T04652
83;19-143188;2019-09-22;33081;Bordeaux cedex;SDIS 33 Gironde;['Maintenance'];directive24;joue;appeloffre;initial;non;non;Maintenance des pylônes de radiocommunication du SDIS de la Gironde.
84;19-143417;2019-09-22;33160;Saint médard en jalles;MAIRIE DE SAINT-MEDARD-EN-JALLES;['Espaces verts', 'Prestations de services'];directive24;joue;appeloffre;initial;non;non;Services d'entretien des espaces verts communaux.
85;19-143089;2019-09-22;33170;Gradignan;Institut National des Jeunes Sourds;['Transport'];directive24;joue;attribution;initial;non;non;Services de transports des jeunes de l'Institut National de Jeunes Sourds de Bordeaux
86;19-143063;2019-09-22;34064;MONTPELLIER;REGION OCCITANIE;['Topographie'];directive24;joue;appeloffre;initial;non;non;Prestations topographiques sur le domaine portuaire de la Région Occitanie
87;19-143232;2019-09-22;34074;Montpellier;ACM OPH de la CA de Montpellier;['Peinture (travaux)', 'Plomberie (travaux)', 'Ravalement'];directive24;joue;attribution;initial;non;non;Travaux De Gros Entretien 2019 Pour Les Agences Bagatelle Et Lemasson D'Acm Habitat
88;19-143398;2019-09-22;34090;Montpellier;UNIVERSITE DE MONTPELLIER;['Informatique (matériel)'];directive24;joue;appeloffre;initial;non;non;Extension de la couverture WIFI
89;19-143420;2019-09-22;34090;Montpellier;UNIVERSITE DE MONTPELLIER;['Matériel électrique'];directive24;joue;appeloffre;initial;non;non;Fourniture de matériel électrique
90;19-143143;2019-09-22;34110;Frontignan;Port de Plaisance;['Passerelle'];directive24;joue;appeloffre;initial;non;non;restructuration et modernisation du port de plaisance
91;19-143025;2019-09-22;34360;Saint Chinian;Groupement EHPAD du Saint-Chinianais;['Assurance'];directive24;joue;appeloffre;initial;non;non;Prestation de service d'assurance pour l'EHPAD 'Les Oliviers' de Saint-Chinian
92;19-143457;2019-09-22;34600;Bedarieux;COMMUNE DE BEDARIEUX;['Assurance'];directive24;joue;appeloffre;initial;non;non;Souscription Des Contrats D'Assurances De La Commune De Bedarieux
93;19-143127;2019-09-22;35042;RENNES CEDEX;Département d'Ille et Vilaine;['Mur antibruit'];directive24;joue;appeloffre;initial;non;non;RD173 - MISE A 2x2 VOIES DE L'AXE BRETAGNE / ANJOU - ECRAN ACOUSTIQUE DU PONT GEFFRAY
94;19-143599;2019-09-22;35065;Rennes;université de Rennes 1;['Assistance technique', 'Contrôle technique', 'Equipements spécialisés', 'Fluides médicaux', 'Gaz divers', 'Gaz médicaux', 'Maintenance'];directive24;joue;appeloffre;initial;non;non;fourniture de gaz de laboratoire pour les activités d'enseignement, de recherche et de fonctionnement de l'université de rennes 1, de l'enscr, de l'ehesp, de l'insa de rennes et de l'inra de rennes
95;19-142980;2019-09-22;35270;COMBOURG;Association Clinique Saint Joseph;['Hygiène (articles)', 'Nettoyage de locaux'];directive24;joue;appeloffre;initial;non;non;Délégation de l'exploitation du service de nionettoyage des établissements de l'Association Clinique Saint Joseph.
96;19-142983;2019-09-22;35270;COMBOURG;Association Clinique Saint Joseph;['Restauration collective', 'Prestations de services'];directive24;joue;appeloffre;initial;non;non;Délégation de l'exploitation du service de restauration des restaurants de l'Association Clinique St Joseph
97;19-143192;2019-09-22;35560;Bazouges la perouse;EHPAD VILLECARTIER;['Assurance'];directive24;joue;appeloffre;initial;non;non;La présente consultation a pour objet la souscription d'un contrat d'assurance PRESTATIONS STATUTAIRES pour les besoins de l'Etablissement.
98;19-143207;2019-09-22;35711;Rennes Cedex 7;Région Bretagne;['Espaces verts'];directive24;joue;appeloffre;initial;oui;oui;Entretien des espaces extérieurs des sites de la Région Bretagne - Lot 1 : Sites situés sur l'agglomération Rennaise
99;19-143342;2019-09-22;37170;Chambray les tours;mairie de chambray les tours;"[""Tous corps d'état""]";directive24;joue;appeloffre;initial;non;non;Construction d'une cuisine centrale 100 % BIO pour la ville de Chambray-Lès-Tours
100;19-143571;2019-09-22;38021;Grenoble;COMMUNE DE GRENOBLE;['Nettoyage de locaux', 'Nettoyage urbain'];directive24;joue;appeloffre;initial;non;oui;Accord-cadre relatif aux travaux dans les bâtiments de la Ville de Grenoble et du Centre Communal d'Action Social de Grenoble - relance du lot 14 : Nettoyage de chantier
101;19-143125;2019-09-22;38043;Grenoble cedex 09;CTRE HOSPITALIER UNVT GRENOBLE;['Abris', 'Véhicules'];directive24;joue;appeloffre;initial;non;non;2019T169
102;19-143562;2019-09-22;38093;Villefontaine cedex;Ville de Villefontaine;['Mobilier urbain'];directive24;joue;appeloffre;initial;non;non;Fabrication et livraison de mobiliers de signalétique directionnelle, de position et d'interprétation du patrimoine et d'espace naturel
103;19-140849;2019-09-22;40000;Mont de Marsan;Mont-de-Marsan Agglomération;"[""Aire d'accueil""]";directive24;joue;appeloffre;initial;non;non;gestion des aires des gens du voyage
104;19-143515;2019-09-22;41020;Blois Cedex;CG Loir et Cher;['Chèque cadeau'];directive24;joue;appeloffre;initial;non;oui;Fourniture et la livraison de chèques emploi-service universel préfinancés par le conseil départemental de Loir-et-Cher
105;19-143394;2019-09-22;42007;Saint etienne cedex 1;SDIS de la Loire;['Carburant, hydrocarbure'];directive24;joue;appeloffre;initial;non;non;Marché de fourniture en carburant et en fioul domestique pour le parc véhicules et les centres d'incendie et de secours du Service départemental d'incendie et de secours de la Loire
106;19-143606;2019-09-22;42330;Saint-Galmier;ville de Saint-Galmier;['Assurance'];directive24;joue;appeloffre;initial;non;non;Prestation de service d'assurance
107;19-143445;2019-09-22;44046;Nantes Cedex 1;SEMITAN mandataire de Nantes Métropole;['Equipements spécialisés', 'Matériel ferroviaire', 'Voies ferrées'];directive25;joue;attribution;initial;non;non;Accord-cadre de fourniture d'appareils de voie du réseau tramway à Nantes
108;19-143565;2019-09-22;44046;Nantes Cedex 1;SEMITAN;['Equipements spécialisés', 'Matériel ferroviaire', 'Voies ferrées'];directive25;joue;attribution;initial;non;non;Accord-cadre de fourniture d'appareils de voie du réseau tramway à Nantes
109;19-143163;2019-09-22;44046;Nantes;SEMITAN mandataire de Nantes Métropole;['Informatique (prestations de services)', 'Prestations de services'];directive25;joue;attribution;initial;non;non;"Mise en oeuvre du PCE e-busway (MTIC1), système de supervision des infrastructures électriques de la ligne de transport en commun "" e-busway """
