a00_cle_idweb,d01_07_cp,d01_08_ville,d01_01_denomination,g04_052_descripteurs_libelles,g04_09_resume_objet,g04_061_criteres_sociaux,g01_02_02_perimetre,g01_02_01_famille,g01_02_03_nature,g01_02_04_statut,g04_062_criteres_environnementaux,g04_01_date_publication
19-142386,05007,Gap cedex,CTRE HOSPITALIER INTERCOM ALPES DU SUD,"['Electricité, gaz (fourniture)']",Fourniture d'électricité et services associés pour le Centre Hospitalier des Escartons à Briançon,non,directive24,joue,attribution,initial,non,2019-09-20
19-142366,05007,Gap cedex,CTRE HOSPITALIER INTERCOM ALPES DU SUD,['Consommables informatiques'],Fourniture de consommables informatiques pour imprimantes jet d'encre et laser dans le cadre du Groupement de commandes du GHT des Alpes du Sud -FCI19,non,directive24,joue,attribution,initial,non,2019-09-20
19-143294,05008,GAP,DEPARTEMENT DES HAUTES-ALPES,"['Couches', 'Matériaux de construction', 'Routage']",Route Départementale no135 PR 1+580 au 1+740 travaux de calibrage et d'amélioration de la giration commune de Puy Saint Pierre,non,cmp2006,fns,appeloffre,initial,non,2019-09-20
19-142438,05100,Briançon,COMMUNAUTE COMMUNES DU BRIANCONNAIS,"['Electricité, gaz (fourniture)']",Accord cadre mono attributaire à bons de commande pour la fourniture d'électricité et services associés,non,directive24,joue,appeloffre,initial,non,2019-09-20
19-142424,05100,Briançon,COMMUNAUTE COMMUNES DU BRIANCONNAIS,['Véhicules (acquisition)'],Fourniture d'un camion grue avec benne compactrice pour la collecte des ordures ménagères d'un Ptac de 26 tonnes,non,directive24,joue,appeloffre,initial,non,2019-09-20
19-143019,06000,Nice,REGIE PARCS D AZUR,"[""Matériel d'imprimerie""]",fourniture de consommables pour matériels de péage des parcs de stationnement de la régie parcs d'azur.,non,cmp2006,fns,appeloffre,initial,non,2019-09-20
19-143549,06110,LE CANNET,COMMUNE LE CANNET,"['Equipements spécialisés', 'Génie civil', 'Matériel électrique', 'Matériel de sécurité', 'Télésurveillance']",MAPA 2019-095 : EXTENSION DU SYSTÈME DE VIDÉO PROTECTION RÉSIDENCE SAINT PIERRE - INSTALLATION D'UN SYSTÈME DE VIDÉO PROTECTION RÉSIDENCE VAL DES FÉES,non,cmp2006,mapa,appeloffre,initial,oui,2019-09-20
19-103927,06201,Nice cedex 3,Département des Alpes-Maritimes,['Nettoyage de locaux'],Nettoyage du musée des merveilles de tende,non,directive24,joue,appeloffre,initial,non,2019-09-20
19-142458,06201,Nice cedex 3,Syndicat mixte Deve Vesubie Valdeblore,['Pompes'],fourniture et installation de 3 pompes immergées - la colmiane,non,cmp2006,fns,appeloffre,initial,oui,2019-09-20
19-143544,06203,Nice Cedex 3,REGIE EAU D'AZUR,"['Alarme', 'Détection incendie', 'Extincteur', 'Maintenance', 'Sécurité incendie']",Maintenance préventive et corrective des équipements de protection incendie,non,cmp2006,fns,appeloffre,initial,non,2019-09-20
19-143122,06364,Nice,Syndicat Mixte Stations du Mercantour,"['Audiovisuel', 'Informatique (matériel)', 'Prestations de services']",Fourniture et installation de trois écrans géants LED Outdoor pour la station d'Isola 2000 (stations Nice côte d'azur),non,cmp2006,fns,appeloffre,initial,non,2019-09-20
19-141954,06364,Nice cedex 4,Métropole Nice Côte d'Azur,['Déchetterie (exploitation)'],"19V0835 COLLECTE ET TRAITEMENT DES DECHETS ET ASSIMILES DES SITES ACROPOLIS, DU PALAIS DES EXPOSITIONS ET DU PALAIS NIKAIA DE NICE",non,autre,joue,rectificatif,rectificatif,non,2019-09-20
19-143259,06364,Nice Cedex 4,Métropole Nice Côte d'Azur,['Déneigement'],18-0788 VIABILITE HIVERNALE DES ROUTES METROPOLITAINES DE LA SUBDIVISION TINEE,non,cmp2006,fns,attribution,initial,non,2019-09-20
19-142141,06414,Cannes Cedex,C.A.P.L.,"['Assistance technique', 'Equipements spécialisés', 'Logiciel', 'Matériel électronique']","Fourniture, installation et maintenance d'un système de géolocalisation, d'aide à la conduite et de gestion de la collecte des déchets ménagers sur le territoire de la CACPL",non,directive24,joue,appeloffre,initial,non,2019-09-20
19-141998,07000,Privas,Département de l'Ardèche,"['Carburant, hydrocarbure']",Distribution de carburants en stations locales avec ou sans carte pour le Département de l'Ardèche (13 lots),non,directive24,joue,appeloffre,initial,non,2019-09-20
19-143280,07003,Privas,Communauté Agglo. PrivasCentreArdèche,"['Démolition', 'Voirie et réseaux divers']","Aménagement de l'accès au port fluvial sur la commune de Le Pouzin, création d'un giratoire sous arche SNCF",non,cmp2006,fns,appeloffre,initial,non,2019-09-20
19-143166,07007,Privas cedex,Département de l'Ardèche,['Extincteur'],"VERIFICATION, MAINTENANCE ET ACQUISITION D'EXTINCTEURS, DE ROBINETS INCENDIE ARMES ET DE PLANS DE SECURITE",non,cmp2006,fns,appeloffre,initial,non,2019-09-20
19-141928,07200,Ucel,CC DU BASSIN D AUBENAS,"['Equipements spécialisés', 'Ordures ménagères (prestations)']","MARCHE 2019-26 FOURNITURE ET LIVRAISON de dispositifs escamotables pour bacs enterrés pour la collecte des ordures ménagères, du tri et des cartons des commerçants",non,directive24,joue,appeloffre,initial,non,2019-09-20
19-143061,07305,Tournon sur rhône cedex,Arche Agglo,"['Berge', 'Ouvrage hydraulique', 'Ingénierie']","Etude de délimitation de l'espace de bon fonctionnement et plan de gestion du transport solideCôté Drôme : Bassins versants de la Veaune et de la BouterneCôté Ardèche : Eal, Jointine, Choisine",non,cmp2006,fns,appeloffre,initial,non,2019-09-20
19-142702,07360,les ollières sur eyrieux,MAIRIE DE LES OLLIERES SUR EYRIEUX,['Transport'],aménagement de la traversée d'agglomération - rd 120,non,cmp2006,fns,appeloffre,initial,non,2019-09-20
19-143014,08000,CharlevilleMézières,ARDENNE METROPOLE,['Informatique (matériel)'],Fourniture de consommables informatiques-.,non,cmp2006,fns,appeloffre,initial,non,2019-09-20
19-142050,09000,Saint Paul De Jarrat,SMDEA,"['Pompes', 'Produits des industries diverses']",Accord-cadre à bons de commande pour la fourniture de matériel de contrôle pour les unités de production d'eau potable du Smdea - Période 2020 à 2023 (Ariège 09),non,directive25,joue,appeloffre,initial,non,2019-09-20
19-142049,09000,Saint Paul De Jarrat,SMDEA,"['Etude', 'Ingénierie']",Accord-cadre à bons de commande pour des investigations de reconnaissance des sols et des études géotechniques pour la période 2020-2023 (Ariege 09),non,directive25,joue,appeloffre,initial,non,2019-09-20
19-141656,09000,Saint Paul De Jarrat,SMDEA,['Etude'],"Accord-cadre à bons de commande pour des épreuves de compactage, inspections télévisuelles, épreuves d'étanchéité et d'hydrocurage des réseaux d'assainissement pour la période 2020",non,directive25,joue,appeloffre,initial,non,2019-09-20
19-143686,10000,Troyes,Troyes Champagne Métropole,['Etude'],Etude de faisabilité pour la création d'une zone d'activité sur la commune de Bouilly,non,cmp2006,mapa,appeloffre,initial,non,2019-09-20
19-143332,10000,TROYES,DEPARTEMENT DE L AUBE,"[""Tous corps d'état""]",AMENAGEMENT D?UN ATELIER DE CONFECTION DE MAROQUINERIE ?Parc d?activités de TORVILLIERS (10),non,cmp2006,fns,attribution,initial,non,2019-09-20
19-142334,11000,CARCASSONNE,ALOGEA,"['Couverture', 'Curage', 'Electricité (travaux)', 'Etanchéité', 'Interphone', 'Maçonnerie', 'Menuiserie', 'Nettoyage de locaux', 'Peinture (travaux)', 'Serrurerie', 'Télévision']",Marchés à bons de commandes pour l'entretien du patrimoine d'ALOGEA - 2020/2024,non,directive24,joue,appeloffre,initial,non,2019-09-20
19-143004,11200,Lézignan-Corbières,Commune de Lézignan-Corbières,['Voirie'],réhabilitation des voiries - programme 2019,non,cmp2006,fns,appeloffre,rectificatif,non,2019-09-20
19-143197,11785,NARBONNE,Le Grand Narbonne,['Assainissement'],Travaux électromécaniques de réhabilitation pour les équipements eau potable et assainissement des Communes en régie,non,cmp2006,fns,appeloffre,initial,non,2019-09-20
19-143412,12027,Rodez,Centre Hospitalier Jacques Puel,"['Bois', 'Chauffage (matériel)']",PA 2019-30 : Fourniture et livraison de combustible bois pour le compte du CH d'Espalion,non,cmp2006,fns,appeloffre,initial,non,2019-09-20
19-142244,12510,olemps,SYDOM,"[""Maîtrise d'oeuvre"", 'Végétaux', 'Déchets non ménagers (prestations)']",mission de maîtrise d'oeuvre en vue de la création d'une plateforme de broyage des déchets verts sur la commune de millau,non,cmp2006,mapa,appeloffre,initial,non,2019-09-20
19-142074,13007,Marseille,METROPOLE D AIX MARSEILLE PROVENCE,"[""Assistance à maîtrise d'ouvrage""]",Assistance à Maitrîse d'Ouvrage dans le déploiement opérationnel de la stratégie marketing de la mobilité métropolitaine,non,directive24,joue,appeloffre,initial,non,2019-09-20
19-143164,13009,Marseille,CAISSE PRIMAIRE CENTRALE ASSUR MALADIE,"['Analyses médicales, biologiques']","L'objet des prestations souhaitées par la CPCAM des Bouches-du-Rhône dans le cadre de ce marché est la fourniture de kits de prélèvement, la collecte, la lecture anatomo-cyto-patholique et la tra",non,cmp2006,fns,appeloffre,initial,non,2019-09-20
19-141670,13013,Marseille,Régie des Transports Métropolitains,['Gros oeuvre'],construction d'un parking relais la rose et réaménagement de l'acces au site de la rtm,non,directive25,joue,attribution,initial,non,2019-09-20
19-143393,13130,Berre l'Etang,Commune de Berre l'Etang,"['Equipement sportif', 'Gardiennage', 'Location (matériels)', 'Prestations de services']","Location, pose, exploitation et dépose d'une patinoire pour les fêtes de fin d'année 2019",non,cmp2006,fns,appeloffre,initial,non,2019-09-20
19-70520,13182,Aix-en-Provence cedex 5,Communauté Agglo Cannes Pays Lérins,"['Prestations de services', 'Topographie']",Etude pour la compréhension du fonctionnement hydraulique et hydro-sédimentaire de l'embouchure du riou dans le cadre du papi du riou de l'argentière (06),non,cmp2006,mapa,appeloffre,initial,non,2019-09-20
19-143043,13200,ARLES,SEMPA,"[""Tous corps d'état""]",Réhabilitation des 168 logements des Ferrages à Tarascon,oui,cmp2006,fns,attribution,initial,non,2019-09-20
19-142097,13232,Marseille cedex 01,SOLEAM,['Bâtiments modulaires'],"192 - ZAC des Hauts de Sainte-Marthe - Fourniture, Installation et maintenance de constructions modulaires et nettoyage de la base de vie du chantier de l'ilot 25 nord Mirabilis (Marseille 13014)",non,directive24,joue,appeloffre,initial,non,2019-09-20
19-143356,13233,Marseille cedex 20,Ville de Marseille,"[""Maîtrise d'oeuvre""]","Mission de Maîtrise d'oeuvre pour l'aménagement de la base nautique de l'Huveaune et d'un ensemble sportif, la Plage, 109 Avenue Pierre Mendès France, 13008 Marseille (Relance)",non,cmp2006,fns,appeloffre,initial,non,2019-09-20
19-143338,13233,Marseille cedex 20,Ville de Marseille,"['Chauffage (travaux)', 'Climatisation']","Travaux de remplacement du système de climatisation et de chauffage du Bureau Municipal de Proximité de saint Jérôme - 185 bis, avenue de st jérôme 13013 Marseille",non,cmp2006,fns,appeloffre,rectificatif,oui,2019-09-20
19-141935,13233,Marseille cedex 20,Ville de Marseille,['Prestations de services'],"Prestations de régies, générale, technique et audiovisuelle, destinées au Palais du Pharo et à l'Espace Bargemon",non,directive24,joue,appeloffre,initial,oui,2019-09-20
19-143057,13235,Marseille cedex 02,EPA EUROMEDITERRANEE,['Etude'],"Mission de diagnostic du Beal Magnan, ouvrage unitaire existant, pour le compte de l'EPA Euoméditerranée",non,cmp2006,mapa,appeloffre,initial,non,2019-09-20
19-143077,13295,Marseille Cedex 8,CMAR PACA,['Mécanique'],"EQUIPEMENTS POUR LES MÉTIERS DE L'AUTOMOBILES ET MOTO POUR LES CAMPUS DES ARCS, DE ST MAXIMIN, DE LA SEYNE SUR MER, DE GAP ET DE DIGNE LES BAINS",non,cmp2006,fns,attribution,initial,non,2019-09-20
19-142372,13354,Marseille cedex 05,CENTRE HOSPITALIER REG DE MARSEILLE,['Matériel électrique'],Location et maintenance de machines d'entretien neuves,non,directive24,joue,appeloffre,initial,non,2019-09-20
19-143608,13387,Marseille cedex 10,MIOMCT/DGGN/GENDARMERIE/RGPACA,"['Menuiserie', 'Porte automatique, portail']",Le présent marché consiste à effectuer des travaux de sécurisation des accès à la caserne Saint Claude à Grasse (06).,non,cmp2006,fns,appeloffre,initial,non,2019-09-20
19-143179,13406,Marseille cedex 09,UGECAM PACA et Corse,['Chauffage (travaux)'],RÉNOVATION DE LA CHAUFFERIE DU CENTRE DE SOINS HELIO MARIN A VALLAURIS - relance (06),non,cmp2006,fns,appeloffre,rectificatif,non,2019-09-20
19-143293,13680,Lançon-Provence,COMMUNE DE LANCON PROVENCE,"['Consommables informatiques', 'Informatique (matériel)', 'Informatique (prestations de services)', 'Site internet', 'Logiciel']",Interconnexion - Evolution - Mise en Conformité et Sécurité du coeur de Réseau Informatique et Téléphonique sur un ensemble de bâtiments municipaux prioritaires,non,cmp2006,fns,appeloffre,initial,non,2019-09-20
19-143237,13680,Lançon-Provence,COMMUNE DE LANCON PROVENCE,['Démolition'],MARCHE DE DEMOLITION DU BUNGALOW PREFABRIQUE 1 PROCHE DU REFECTOIRE DE L'ECOLE MARIE MAURON,non,cmp2006,mapa,appeloffre,initial,non,2019-09-20
19-143334,13760,Saint-Cannat,COMMUNE DE SAINT CANNAT,['Assurance'],Souscription et gestion de contrats d'assurances,non,cmp2006,mapa,appeloffre,initial,non,2019-09-20
19-143246,13808,ISTRES,COMMUNE D ISTRES,['Maintenance'],MAINTENANCE PRÉVENTIVE ET corrective DES alarmes incendies et baes des bâtiments DE LA VILLE D'ISTRES,non,cmp2006,fns,appeloffre,annulation,non,2019-09-20
19-143007,14027,CAEN,Ville de Caen,"['Etanchéité', 'Gros oeuvre', 'Menuiserie', 'Panneaux', 'Terrassement']",Travaux de construction d'une MJC - Quartier de Venoix - 14000 CAEN - Relance des Lots 1-2-3-4-6-7-8-9-11-14 et 15,non,cmp2006,fns,appeloffre,initial,non,2019-09-20
19-142282,14035,CAEN cedex 1,DEPARTEMENT DU CALVADOS,"['Ascenseur', 'Bardage', 'Carrelage', 'Charpente', 'Cloison, faux plafond', 'Cuisine (équipement)', 'Electricité (travaux)', 'Equipements spécialisés', 'Espaces verts', 'Etanchéité', 'Gros oeuvre', 'Isolation', 'Menuiserie', 'Peinture (travaux)', 'Plâtrerie', 'Plomberie (travaux)', 'Revêtements de sols', ""Tous corps d'état"", 'Amiante (désamiantage)']","Démolition, Extension, restructuration et valorisation du collège Emile Maupas à VIRE NORMANDIE",non,directive24,joue,appeloffre,initial,non,2019-09-20
19-141854,14390,CABOURG,COMMUNE DE CABOURG,['Assurance'],Services d'assurances pour la commune de Cabourg (rectificatif),non,autre,joue,rectificatif,rectificatif,non,2019-09-20
19-142011,14460,COLOMBELLES,ESH LES FOYERS NORMANDS,['Assurance'],souscription de contrats d'assurances,non,directive25,joue,appeloffre,initial,non,2019-09-20
19-140852,15000,Aurillac,Groupement de services du Cantal,"['Carburant, hydrocarbure']",Fioul 2020,non,directive24,joue,appeloffre,initial,non,2019-09-20
19-143583,16111,Cognac,Cognac,"['Chauffage (travaux)', 'Démolition', 'Isolation', 'Menuiserie', 'Peinture (travaux)']",Mise en conformité du restaurant scolaire et des sanitaires de l'école Paul Bert,non,cmp2006,fns,appeloffre,initial,non,2019-09-20
19-143147,16360,Touvérac,Communauté de Communes des 4B,"['Bâtiment', 'Electricité (travaux)', 'Gros oeuvre', 'Maçonnerie', 'Plomberie (travaux)']",Restructuration du groupe scolaire de Brossac (16),non,cmp2006,fns,appeloffre,initial,non,2019-09-20
19-142401,16600,Mornac,CALITOM,['Ordures ménagères (prestations)'],Prestation De Valorisation Des Dechets 'Bois' Collectes Sur Les Decheteries En Charente,non,directive24,joue,appeloffre,initial,non,2019-09-20
19-142807,17740,Sainte Marie de Ré,COMMUNE DE SAINTE MARIE DE RE,"['Bardage', 'Charpente', 'Chauffage (travaux)', 'Cloison, faux plafond', 'Couverture', 'Démolition', 'Electricité (travaux)', 'Gros oeuvre', 'Menuiserie', 'Nettoyage de locaux', 'Peinture (travaux)', 'Plomberie (travaux)', 'Revêtements de sols', 'Serrurerie', 'Ventilation']",réalisation d'un marché couvert,non,cmp2006,fns,appeloffre,initial,non,2019-09-20
19-143434,18023,Bourges cedex,SDIS 18 Cher,"['Maintenance', 'Prestations de services']","Prestations de maintenance, de dépannage et de réparation des portes, rideaux, barrières et portails manuels, motorisés, semi-automatiques des différents centres de secours et bâtiments du SDIS du ..",non,cmp2006,fns,appeloffre,initial,oui,2019-09-20
19-142117,18023,Bourges cedex,SDIS 18 Cher,['Nettoyage de locaux'],Nettoyage des locaux et des vitreries,non,directive24,joue,appeloffre,initial,oui,2019-09-20
19-141849,18800,ETRECHY,SIAEP Azy / Etrechy,"['Alimentation en eau potable', 'Délégation de service public']",Délégation de service public d'eau potable du SIAEP Azy Etrechy,non,directive23,joue,appeloffre,initial,non,2019-09-20
19-142970,20144,Sainte Lucie de Porto-Vecchio,SIVOM du Cavo,['Alimentation en eau potable'],réalisation d'une antenne d'eau potable au lieu dit Chiola commune de Solaro,non,cmp2006,mapa,appeloffre,initial,non,2019-09-20
19-129508,20187,Aiacciu Cedex 1,COLLECTIVITE DE CORSE,"['Installation portuaire', 'Délégation de service public']","Délégation de service public pour la gestion, l'entretien, le renouvellement, l'exploitation, le développement du port de commerce de prupià (propriano)",non,directive23,joue,attribution,initial,non,2019-09-20
19-141914,20187,Ajaccio,COLLECTIVITE DE CORSE,['Titres restaurant'],Réalisation et livraison de titres repas pour les agents de la Cdc et de la Mdph,non,directive24,joue,attribution,initial,non,2019-09-20
19-142270,20187,AJACCIO,COLLECTIVITE DE CORSE,['Transport'],consultation publique sur la desserte maritime entre la corse et les ports continentaux,non,directive24,joue,preinformation,initial,non,2019-09-20
19-143003,20250,Corte,Office de l'Environnement de la Corse,['Equipements spécialisés'],Fourniture et mise en service de compresseurs professionnels destinés à l'activité hyperbare de l'Office de l'Environnement de Corse,non,cmp2006,mapa,appeloffre,initial,non,2019-09-20
19-141950,20260,calvi,Communauté de communes Calvi - Balagne,"['Electricité, gaz (fourniture)']",fourniture et livraison de gaz propane pour le complexe sportif de la communauté de communes calvi balagne,non,directive24,joue,attribution,initial,non,2019-09-20
19-142310,20303,AJACCIO,centre hospitalier ajaccio,['Quincaillerie (articles)'],FOURNITURE HOTELIERE,non,directive24,joue,appeloffre,initial,non,2019-09-20
19-141837,20601,Bastia,Office Equipement Hydraulique de Corse,['Véhicules (location)'],Location De Vehicules Utilitaires Et De Societe Pour Les Besoins De Service De L'Oehc,non,autre,joue,rectificatif,rectificatif,non,2019-09-20
19-143026,21079,dijon cedex,Centre Hospitalier Universitaire Dijon,['Assistance technique'],mission de coordination ssi et d'assistance technique pour le remplacement et la mise à niveau des installations de sécurité incendie du site d'alise-sainte-reine,non,cmp2006,fns,appeloffre,initial,non,2019-09-20
19-143194,21079,dijon cedex,Centre Hospitalier Universitaire Dijon,"[""Maîtrise d'oeuvre""]","maîtrise d'oeuvre concernant la rénovation de l'aile "" est "" de l'ancienne chartreuse pour la pédopsychiatrie pour le compte du ch la chartreuse",non,cmp2006,fns,appeloffre,initial,non,2019-09-20
19-141969,22015,Saint-Brieuc,SCE DEPARTEMENTAL INCENDIE ET SECOURS,['Véhicules (acquisition)'],Relance Acquisition d'échelles pivotantes articulées à mouvement combinés 30 m,non,directive24,joue,appeloffre,initial,non,2019-09-20
19-56125,22044,Saint-Brieuc,Saint-Brieuc Agglomération,"['Pneumatiques', 'Prestations de services']","fourniture, entretien et suivi des pneumatiques du parc de véhicules",non,directive24,joue,appeloffre,initial,non,2019-09-20
19-143184,24100,Bergerac,Ville de Bergerac,['Consommables médicaux'],fourniture et maintenance de défibrillateurs,non,cmp2006,fns,appeloffre,initial,non,2019-09-20
19-143349,25001,Besancon cedex 3,CROUS DE BESANCON,"[""Tous corps d'état""]",Travaux pour la réhabilitation du pavillon SENS - Résidence universitaire Mansart à Dijon,non,cmp2006,fns,appeloffre,initial,non,2019-09-20
19-143131,25030,Besançon,CENTRE HOSPITALIER REGIONAL UNVT,['Autocommutateur'],Mise en place d'une nouvelle solution de téléphonie,non,cmp2006,fns,appeloffre,initial,non,2019-09-20
19-143234,25031,BESANCON Cedex,DEPARTEMENT DU DOUBS,"['Etude', ""Assistance à maîtrise d'ouvrage""]",Assistance à maîtrise d'ouvrage pour la constitution d'un dossier de demande de subvention au titre du programme opérationnel FEDER /FSE Franche-Comté et massif du Jura 2014-2020 dans le cad,non,cmp2006,mapa,appeloffre,initial,non,2019-09-20
19-143070,25031,Besancon cedex,Région Bourgogne - Franche-Comté,"['Assistance technique', 'Informatique (prestations de services)']",Réalisation de la publicité relative à l'enquête publique et fourniture d'un site dédié mettant à disposition le dossier d'enquête ainsi qu'un registre numérique d'enquête pub,non,cmp2006,mapa,appeloffre,initial,non,2019-09-20
19-141949,25034,BESANCON,Ville de Besançon,['Prestations de services'],Distribution des magazines de la Ville de Besançon et de Grand Besançon Métropole,non,directive24,joue,appeloffre,initial,non,2019-09-20
19-143619,25034,BESANCON,Ville de Besançon,['Cimetière'],Reprise administrative des concessions,non,cmp2006,fns,appeloffre,initial,non,2019-09-20
19-142548,25035,Besançon cedex,Préfecture du Doubs,"['Abris', 'Nettoyage de locaux']",PREF25_NETTOYAGE2020,oui,directive24,joue,appeloffre,initial,oui,2019-09-20
19-143154,25043,BESANCON,GRAND BESANCON METROPOLE,"['Audit', 'Etude', 'Prestations de services']",Amélioration du système de management de la Qualité Sécurité Environnement (QSE) du Département Eau et Assainissement de Grand Besançon Métropole pour une plus grande performance et lisibilité,non,cmp2006,mapa,appeloffre,initial,non,2019-09-20
19-133344,25044,Besançon,REGION BOURGOGNE FRANCHE COMTE,['Titres de transport'],prestations de gestion de transport ferroviaire et aerien pour le compte de la region bourgogne-franche-comte,non,directive24,joue,appeloffre,initial,non,2019-09-20
19-142029,25310,HERIMONCOURT,Mairie d'Hérimoncourt,"['Chauffage (exploitation, entretien)']","Exploitation des installations thermiques et aérauliques des bâtiments communaux en P1, P2 et P3",non,directive24,joue,attribution,initial,non,2019-09-20
19-143216,25870,bonnay,COMMUNE DE BONNAY,"[""Maîtrise d'oeuvre""]",maitrise d'oeuvre pour la construction d'un équipement sportif et socio-culturel à bonnay,non,cmp2006,mapa,appeloffre,initial,non,2019-09-20
19-143665,26026,Valence,DEPARTEMENT DE LA DROME,"[""Assistance à maîtrise d'ouvrage""]",Mission d'assistance à Maîtrise d'ouvrage pour la passation d'un Concours Restreint de Maîtrise d'oeuvre,non,cmp2006,mapa,appeloffre,initial,non,2019-09-20
19-142813,26150,Die,ville de Die,['Eclairage public'],mapa de travaux d'éclairage - renouvellement des lampes,non,cmp2006,fns,appeloffre,initial,non,2019-09-20
19-143339,27000,Evreux,Préfecture de l'Eure,['Bâtiment'],diagnostics techniques et financiers d'immeubles présumés insalubres et contrôles après travaux,non,cmp2006,mapa,appeloffre,initial,non,2019-09-20
19-142066,27000,EVREUX,Ville d'Evreux,"['Restauration collective', ""Maîtrise d'oeuvre""]",Mission de maîtrise d'oeuvre pour la rénovation et la modernisation de l'unité centrale de production d'Evreux,non,directive24,joue,attribution,initial,non,2019-09-20
19-141938,27005,Evreux cedex,SOC ECONOMIE MIXTE LOGEMENT DE EURE,['Bâtiment'],Evreux nétreville (27000) - relance lot isolation par l'extérieur bardage ravalement - construction de 76 logements et bâtiment annexes,non,directive24,joue,appeloffre,initial,non,2019-09-20
19-143284,27022,Evreux,DIRECTION DEPARTEMENTALE TERRITOIRES,"[""Travaux dans l'eau""]",La consultation concerne la mise en place de deux pontons de pêche sur les communes de Criquebeuf sur Seine et de pont de l'Arche.,non,cmp2006,fns,appeloffre,initial,non,2019-09-20
19-143204,27022,Evreux,DIRECTION DEPARTEMENTALE TERRITOIRES,['Travaux forestiers'],Le marché comportera une tranche ferme et 1 tranche(s) optionnelle(s) désignées ci-après :Tranche ferme : Linéaire d'environ 1 km sur la commune de Martot (en amont du plan d'eau de Martot),non,cmp2006,fns,appeloffre,initial,non,2019-09-20
19-143713,27110,IVILLE,COMMUNE DE IVILLE,"[""Tous corps d'état""]",TRAVAUX POUR LA CONSTRUCTION DE LA MAISON COMMUNE A IVILLE (27),non,cmp2006,fns,appeloffre,initial,oui,2019-09-20
19-143667,27190,CONCHES,Communauté de Communes Pays de Conches,"['Revêtements de sols', 'Revêtements muraux', 'Matériel robinetterie', 'Sanitaire']",Marché de fournitures de plomberie- sanitaire pour les travaux en régie,non,cmp2006,mapa,appeloffre,initial,non,2019-09-20
