index,a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
32,20-158524,2020-12-29,2021-01-28,['31'],Réalisation d'études et de travaux d'installations électriques HTA-BT avec ou sans fourniture de matériels,fns,cmp2006,attribution,initial,R.M.E. de Cazères,31220,cazeres s/ garonne,,['Electricité (travaux)'],[105],non,non
33,20-137014,2020-12-29,2021-01-26,"['33', '16', '17', '64', '79', '86']",entretien préventif des ouvrages d'art - remplacement de joints de chaussée,fns,cmp2006,appeloffre,initial,DIR Atlantique,33073,BORDEAUX Cedex,,"[""Ouvrage d'art""]",[252],non,oui
34,20-158608,2020-12-29,2021-01-22,"['33', '40']","Mission de maîtrise d'oeuvre pour l'aménagement des espaces publics de Mios : Centre ville, abords de l'école de Lillet, Structuration cimetière Saint Brice, structuration et abords cim",fns,cmp2006,appeloffre,initial,Mairie de Mios,33380,Mios,,"['Etude', ""Maîtrise d'oeuvre""]","[118, 197]",non,non
35,20-158813,2020-12-29,2021-03-28,['33'],La présente consultation a pour objet un marché public de prestations intellectuelles confiant au titulaire une mission de maîtrise d'oeuvre pour la réalisation du Réaménagement de l'Institu,fns,cmp2006,attribution,initial,CNRS Délégation Aquitaine,33402,Talence cedex,"[('2020-12-18', 'SAS VIVALTO', (53302.48, 'EUR'), None)]",['Ingénierie'],[455],non,non
36,20-158746,2020-12-29,2021-02-28,['33'],"Exécution des prestations de maintenance préventive, corrective et de travaux divers dans le cadre d'un contrat de maintenance sur les équipements ; ascenseurs, ascenseurs de charge, monte-charge",fns,cmp2006,attribution,initial,Mairie de Bassens,33530,Bassens,,"['Ascenseur', 'Maintenance', 'Porte automatique, portail']","[17, 196, 412]",non,non
37,20-158854,2020-12-29,2021-03-28,['34'],"Collecte, transport et traitement des Déchets Diffus Spécifiques (D.D.S.) des ménages issus de la collecte des encombrants et des déchetteries communautaires",fns,cmp2006,attribution,initial,COMMUNAUTE D AGGL BEZIERS MEDITERRANEE,34536,Béziers,,"['Collecte sélective', 'Ordures ménagères (prestations)']","[82, 249]",non,non
38,20-158732,2020-12-29,2021-03-28,['34'],"Fourniture de conteneurs enterrés pour le stockage et la collecte des ordures ménagères résiduelles, des emballages ménagers recyclables et du verre",fns,cmp2006,attribution,initial,COMMUNAUTE D AGGL BEZIERS MEDITERRANEE,34536,Béziers,,"['Conteneur, poubelles']",[71],non,non
39,20-158464,2020-12-29,2021-03-15,"['37', '41', '36', '18', '28']",L'objet de la consultation est l'accompagnement à la transformation managériale de l'organisme. Le lieu d'exécution est 1 Rue Fleming à Tours,mapa,cmp2006,appeloffre,initial,CAF Touraine,37045,Tours cedex 9,,['Etude'],[118],non,non
40,20-158530,2020-12-29,2021-01-08,['38'],Numéro de la consultation : 2020-DM042 Travaux d'entretien et de la maintenance des drains siphons,fns,cmp2006,appeloffre,rectificatif,DEPARTEMENT DE L ISERE,38022,Grenoble,,['Drainage'],[94],non,non
41,20-158858,2020-12-29,2021-03-01,['38'],Numéro de la consultation : 2020-TX-REG-0375 Aménagement de l'échangeur du RONDEAU : travaux de déviation des réseaux d'eau potable et d'assainissement dans ce secteur,fns,cmp2006,appeloffre,initial,GRENOBLE-ALPES METROPOLE,38031,GRENOBLE,,['Assainissement'],[18],non,non
42,20-158770,2020-12-29,2021-01-28,"['40', '64']",Maintenance et exploitation des systèmes de transfert de sable,fns,cmp2006,appeloffre,initial,mairie de capbreton,40130,Capbreton,,"['Canalisations', 'Equipement hydraulique', 'Maintenance', 'Matériel électrique']","[48, 111, 196, 203]",non,non
43,20-158852,2020-12-29,2021-02-10,['43'],"Concession de service public pour le développement, la promotion et l'exploitation de la Halle Alimentaire du Puy-en-Velay",dsp,dsp,appeloffre,initial,COMMUNE DE LE PUY EN VELAY,43011,Le Puy-en-Velay,,['Prestations de services'],[274],non,non
44,20-158498,2020-12-29,2021-02-01,['44'],Itinéraires cyclables sur le territoire de la Communauté de Communes de Grand-Lieu - Itinéraire 88b de la Chevrolière à Pont Saint-Martin,fns,cmp2006,attribution,initial,Communauté de Communes de Grand Lieu,44118,La chevroliere,"[('2020-12-09', 'Eiffage route sud ouest', (471839.6, 'EUR'), None), ('2020-12-09', 'Id verde', (111376.27, 'EUR'), None)]","['Espaces verts', 'Voirie et réseaux divers']","[116, 366]",non,non
45,20-158503,2020-12-29,2021-02-01,['44'],Requalification de la rue des Bauches à La Chevrolière (44).,fns,cmp2006,attribution,initial,Communauté de Communes de Grand Lieu,44118,La chevroliere,"[('2020-12-09', 'Colas agence Gadais', (172107.85, 'EUR'), None)]",['Voirie et réseaux divers'],[366],non,non
46,20-158554,2020-12-29,2021-02-01,['44'],Accord-cadre à bons de commande pour les investigations télévisuelles et les contrôles préalables à la réception des travaux d'assainissement,fns,cmp2006,attribution,initial,Communauté de Communes de Grand Lieu,44118,La chevroliere,,"['Assainissement', 'Assistance technique']","[18, 19]",non,non
47,20-158556,2020-12-29,2021-02-01,['44'],"Entretien, vérification, réparation, renouvellement et installation de matériels incendie (poteaux et réserves incendie) sur le territoire de la Communauté de Communes de Grand Lieu.Entretien et v..",fns,cmp2006,attribution,initial,Communauté de Communes de Grand Lieu,44118,La chevroliere,"[('2020-12-07', 'SAUR SAS', (342954.52, 'EUR'), None)]",['Sécurité incendie'],[332],non,non
48,20-158838,2020-12-29,2021-03-28,['45'],Mission d'assistance à maîtrise d'ouvrage pour le renouvellement d'une délégation de service public 'eau et assainissement',fns,cmp2006,attribution,initial,Commune de Fay-aux-Loges,45450,FAY-AUX-LOGES,,"[""Assistance à maîtrise d'ouvrage""]",[433],non,non
49,20-158721,2020-12-29,2021-03-28,['45'],Accord-cadre pour les fournitures administratives de bureau,fns,cmp2006,attribution,initial,Ville de Saran,45774,Saran,,['Articles de bureau et articles scolaires'],[16],non,non
50,20-158722,2020-12-29,2021-03-28,['45'],Fourniture outillage quincaillerie,fns,cmp2006,attribution,initial,Ville de Saran,45774,Saran,,['Quincaillerie (articles)'],[291],non,non
51,20-158680,2020-12-29,2021-03-28,['45'],Accord-cadre mission de contrôle technique et CSPS,fns,cmp2006,attribution,initial,Ville de Saran,45774,Saran,,['Contrôle technique'],[72],non,non
52,20-158679,2020-12-29,2021-03-28,['45'],"Accord-cadre à bons de commande de travaux de gros entretien et de petites réparations dans les bâtiments communaux, peinture-faux plafond-revêtement de sol",fns,cmp2006,attribution,initial,Ville de Saran,45774,Saran,,"['Cloison, faux plafond', 'Peinture (travaux)']","[63, 264]",non,non
53,20-158723,2020-12-29,2021-03-28,['45'],Acquisition d'un autocar mixte d'occasion,fns,cmp2006,attribution,initial,Ville de Saran,45774,Saran,[],['Véhicules (acquisition)'],[475],non,non
54,20-158727,2020-12-29,2021-03-28,['45'],Location longue durée d'un autocar mixte,fns,cmp2006,attribution,initial,Ville de Saran,45774,Saran,"[('2020-09-03', 'SAS LAMBERT LOCATIONS', (108780, 'EUR'), None)]",['Véhicules (location)'],[474],non,non
55,20-158728,2020-12-29,2021-03-28,['45'],Location d'un chapiteau,fns,cmp2006,attribution,initial,Ville de Saran,45774,Saran,"[('2020-09-03', 'BOURGOIN', (27920, 'EUR'), None)]",['Abris'],[1],non,non
56,20-158726,2020-12-29,2021-03-28,['45'],Réfection de l'éclairage de la piste d'athlétisme du stade Colette Besson,fns,cmp2006,attribution,initial,Ville de Saran,45774,Saran,"[('2020-05-18', 'INEO RESEAUX CENTRE', (73405, 'EUR'), None)]","['Eclairage public', 'Terrain de sport']","[102, 342]",non,non
57,20-158729,2020-12-29,2021-03-28,['45'],Travaux d'impression pour la Ville Saran,fns,cmp2006,attribution,initial,Ville de Saran,45774,Saran,,['Impression'],[160],non,non
58,20-158533,2020-12-29,2021-01-21,['46'],Etude d'une stratégie de développement touristique de la navigation sur la rivière Lot,fns,cmp2006,appeloffre,rectificatif,DEPARTEMENT DU LOT,46005,CAHORS,,['Etude'],[118],non,non
59,20-158760,2020-12-29,2021-01-20,['47'],"Mission de coordination en matière de sécurité et de protection de la santé des travailleurs de catégorie 2, pour la réalisation du réseau de communications électroniques très haut débit de Lot-et-..",fns,cmp2006,appeloffre,initial,LOT ET GARONNE NUMERIQUE,47922,Agen,,"[""Assistance à maîtrise d'ouvrage""]",[433],non,non
60,20-158584,2020-12-29,2021-02-11,['50'],"Ile de tatihou à Saint-Vaast-la-HougueAménagement des bâtiments 'Chambres des parfums, du château d'eau, du muséum, des celliers'",fns,cmp2006,appeloffre,initial,DEPARTEMENT DE LA MANCHE,50050,Saint-Lo,,"[""Tous corps d'état""]",[345],oui,non
61,20-158724,2020-12-29,2021-03-28,['50'],"Fourniture de matériaux de construction - 3 lots- Lot no 1 : Fourniture de bois- Lot no 2 : Fourniture de liants hydrauliques, fers à béton et produits en béton- Lot no 3 : Fourniture de mortie",fns,cmp2006,attribution,initial,Communauté d'Agglomération du Cotentin,50130,Cherbourg en Cotentin,,['Matériaux de construction'],[198],non,non
62,20-158797,2020-12-29,2021-03-28,['50'],Traitement du bois collecté en déchetterie,fns,cmp2006,attribution,initial,CdC Côte Ouest Centre Manche,50250,La Haye,"[('2020-12-18', 'VEOLIA RECYCLAGE ET VALORISATION DES DECHETS', (213000, 'EUR'), None)]","['Déchets non ménagers (prestations)', 'Déchetterie (exploitation)']","[404, 405]",non,non
66,20-158470,2020-12-29,2021-01-25,['54'],Elaboration d'un bilan des émissions de gaz à effet de serre,mapa,cmp2006,appeloffre,initial,Département de Meurthe-et-Moselle,54035,NANCY CEDEX,,['Etude'],[118],non,non
65,20-158625,2020-12-29,2021-03-09,['54'],Réfection des Menuiseries Extérieures PVC des gendarmeries de Champenoux et Lunéville,fns,cmp2006,attribution,initial,DEPARTEMENT DE MEURTHE ET MOSELLE,54035,NANCY,"[('2020-12-23', 'FRP', (53798.34, 'EUR'), None), ('2020-12-23', 'FRP', (213385.0, 'EUR'), None)]","[""Tous corps d'état""]",[345],non,non
63,20-158189,2020-12-29,2021-03-31,['54'],Gestion de sûreté - Maintenance des sites existants et installation sur de nouveaux sites,fns,cmp2006,attribution,initial,Métropole du Grand Nancy,54035,NANCY CEDEX,,"[""Contrôle d'accès"", 'Informatique (matériel)', 'Informatique (maintenance serveurs et réseaux)']","[81, 162, 454]",non,non
64,20-158661,2020-12-29,2021-01-25,['54'],Réalisation d'enquêtes de circulation et de stationnement - Programme 2021 - 2025,fns,cmp2006,appeloffre,initial,Métropole du Grand Nancy,54035,NANCY CEDEX,,"['Etude', 'Sondage, enquête']","[118, 471]",non,non
67,20-158571,2020-12-29,2021-03-26,['54'],Travaux de rénovation des vantelleries du barrage de la Mouche,fns,cmp2006,attribution,initial,Voies navigables de France,54036,Nancy cedex,"[('2020-12-17', 'SNEM sarl', (557045, 'EUR'), None)]",['Ouvrage hydraulique'],[255],non,non
68,20-158461,2020-12-29,2021-03-26,['54'],L'objet de l'accord-cadre à bons de commande porte sur la remise à neuf des organes de manoeuvre des vantaux et des vannes d'aqueducs de 3 écluses grand gabarit de la Moselle. Les éclus,fns,cmp2006,attribution,initial,Voies navigables de France,54036,Nancy,"[('2020-12-11', 'Ineo', (4800000, 'EUR'), None)]",['Ecluse'],[103],non,oui
69,20-158799,2020-12-29,2021-03-28,['57'],"CONCEPTION DU BULLETIN MUNICIPAL "" VIVRE A FREYMING-MERLEBACH """,fns,cmp2006,attribution,initial,Ville de Freyming Merlebach,57800,Freyming Merlebach,,['Prestations de services'],[274],non,non
70,20-158790,2020-12-29,2021-03-28,['57'],"CONCEPTION ET IMPRESSIONDU BULLETIN MUNICIPAL"" VIVRE A FREYMING-MERLEBACH """,fns,cmp2006,attribution,initial,Ville de Freyming Merlebach,57800,Freyming Merlebach,,"['Edition', 'Impression', 'Imprimés', 'Prestations de services']","[104, 160, 161, 274]",non,non
71,20-158560,2020-12-29,2021-01-28,['58'],"ght de la nièvre : prestations de services relatives à l'entretien des eaux usées et pluviales, ainsi que l'acheminement et le retraitement des matières de vidange et des sables.",mapa,cmp2006,appeloffre,initial,Centre Hospitalier de Nevers,58033,Nevers Cedex,,['Prestations de services'],[274],non,non
72,20-158695,2020-12-29,2021-01-20,['59'],"RENOUVELLEMENT, FOURNITURE ET MAINTENANCE DE MATÉRIEL PORTATIF DE DÉTECTION DE GAZ",fns,cmp2006,appeloffre,rectificatif,METROPOLE EUROPEENNE DE LILLE,59034,Lille cedex,,"['Gaz divers', 'Location (matériels)']","[139, 185]",non,non
73,20-158821,2020-12-29,2021-01-29,['59'],Travaux de reconstruction d'un collecteur d'assainissement unitaire Rue de la Lionderie et rue Louis Braille à HEM,fns,cmp2006,appeloffre,initial,METROPOLE EUROPEENNE DE LILLE,59040,Lille,,['Alimentation en eau potable'],[6],oui,non
74,20-158349,2020-12-29,2021-02-01,['59'],collecte des cartons professionnels issus des activités des commerçants et artisans des centre-villes de saint amand les eaux et denain,fns,cmp2006,appeloffre,initial,SIAVED,59282,Douchy les Mines,,['Collecte sélective'],[82],non,non
75,20-158737,2020-12-29,2021-03-31,['59'],aménagement des abords du centre social du faubourg d'esquerchin,fns,cmp2006,attribution,initial,Commune de Douai,59508,Douai Cedex,"[('2020-05-29', 'Société GAUTHIEZ-TAQUET', (466999.99, 'EUR'), None), ('2020-05-29', 'SAS Daniel Devred', (55032.0, 'EUR'), None), ('2020-05-29', 'Id Verde SAS', (73157.83, 'EUR'), None), ('2020-05-29', 'SARL ADC Protection', (5124.0, 'EUR'), None), ('2020-05-29', 'Société GAUTHIEZ-TAQUET', (60506.3, 'EUR'), None), ('2020-05-29', 'Clôtures & Portails du Douaisis', (52810.8, 'EUR'), None)]","['Clôture', 'Démolition', 'Eclairage public', 'Espaces verts', 'Gros oeuvre', 'Serrurerie', 'Voirie', 'Voirie et réseaux divers', 'Télésurveillance']","[64, 87, 102, 116, 144, 321, 365, 366, 415]",oui,non
76,20-158815,2020-12-29,2021-03-31,['59'],"travaux de construction de trottoirs, d'allées, de cours et d'aménagements divers",fns,cmp2006,attribution,initial,Commune de Douai,59508,Douai Cedex,,['Voirie'],[365],non,non
77,20-158831,2020-12-29,2021-02-05,"['62', '2', '59', '60', '80']",Numéro de la consultation : 2020-0104 Port de Boulogne-sur-Mer - Calais - Carénage du pont Vétillart,fns,cmp2006,appeloffre,initial,CONSEIL REGIONAL HAUTS DE FRANCE,59555,Lille,,['Installation portuaire'],[165],oui,oui
78,20-158604,2020-12-29,2021-02-01,['59'],"La ville de Merville dans le cadre du développement touristique fluvial et fluvestres a engagé un projet de création d'un espace nautique, à la confluence entre la Lys et la Bourre. Dans le cadr",fns,cmp2006,appeloffre,initial,Ville de Merville,59660,Merville,,"['Espaces verts', 'Terrasse', 'Voirie et réseaux divers']","[116, 354, 366]",non,oui
79,20-158678,2020-12-29,2021-01-26,"['59', '2', '60', '62', '80']",Réalisation d'actions de formation des agents en charge de la protection contre les incendies et de la sécurité des personnes dans les établissements recevant du public pour le compte des délégat,fns,cmp2006,appeloffre,initial,CNFPT - Délégation Nord-Pas-de-Calais,59800,LILLE,,['Formation'],[410],non,non
80,20-158592,2020-12-29,2021-03-28,['59'],Numéro de la consultation : 2020-MAI-0028 Fourniture de sel de déneigement et prestations de viabilité hivernale,fns,cmp2006,attribution,initial,COMMUNE DE LAMBERSART,59831,LAMBERSART,,"['Sel de déneigement', 'Travaux de viabilité']","[320, 353]",non,non
81,20-158681,2020-12-29,2021-03-28,['62'],Accompagnement en vue de l'implantation d'une filière cardio-respiratoire et du développement d'activité en chirurgie,fns,cmp2006,attribution,initial,CENTRE HOSPITALIER D'ARRAS 1,62022,ARRAS,,['Audit'],[21],non,non
82,20-158740,2020-12-29,2021-01-29,['62'],transports communaux - année 2021,fns,cmp2006,appeloffre,initial,Ville d'Avion,62210,Avion,,['Transport'],[347],non,oui
83,20-157894,2020-12-29,2021-01-29,['62'],"maintenance, réparation, astreinte et mise aux normes des feux tricolores",fns,cmp2006,appeloffre,initial,COMMUNE DE HENIN BEAUMONT,62252,Hénin Beaumont Cédex,,['Signalisation'],[322],non,oui
84,20-158529,2020-12-29,2021-01-20,"['62', '59']",Numéro de la consultation : 202016 Construction de deux préaux - Ecole Paul Sion,fns,cmp2006,appeloffre,initial,COMMUNE DE COURCELLES LES LENS,62970,COURCELLES-LES-LENS,,"['Bardage', 'Couverture', 'Gros oeuvre', 'Revêtements de sols', 'Terrassement']","[30, 74, 144, 308, 341]",non,non
