a00_cle_idweb,d01_07_cp,d01_08_ville,d01_01_denomination,g04_052_descripteurs_libelles,g04_09_resume_objet,g04_061_criteres_sociaux,g01_02_02_perimetre,g01_02_01_famille,g01_02_03_nature,g01_02_04_statut,g04_062_criteres_environnementaux,g04_01_date_publication
19-141235,03200,Vichy,Ville de Vichy,['Assurance'],souscription de contrats d'assurance pour la ville de vichy,non,directive24,joue,appeloffre,initial,non,2019-09-19
19-142496,04100,Manosque,COMMUNE DE MANOSQUE,['Etude'],Numéro de la consultation : VILMI19S03 MAÎTRISE D'OEUVRE POUR LA CONSTRUCTION DE BÂTIMENTS DÉDIES A LA PRATIQUE DE L'AVIRON,non,cmp2006,mapa,appeloffre,initial,non,2019-09-19
19-141531,04300,Mane,COMMUNAUTE DE HAUTE PROVENCE,['Audiovisuel'],"Fourniture, installation et mise en service des équipements techniques du Planétarium",non,directive24,joue,attribution,initial,non,2019-09-19
19-142489,04995,DIGNE-LES-BAINS,Département des Alpes de Hte Provence,"['Télécommunications', 'Informatique (assistance)']","Numéro de la consultation : 19DSI016 Mission d'assistance à maîtrise d'ouvrage pour le renouvellement des marchés de télécommunications et prestations associées (mobile, fixe et liaison d&ap",non,cmp2006,fns,appeloffre,initial,non,2019-09-19
19-142430,05007,Gap cedex,CTRE HOSPITALIER INTERCOM ALPES DU SUD,['Bâtiment'],Marché de travaux portant sur la modification du pavillon 'Gentianes' situé sur le campus du Centre Hospitalier Buëch-Durance à LARAGNE-MONTEGLIN ? RGL19,non,cmp2006,fns,attribution,initial,non,2019-09-19
19-142414,05007,Gap cedex,CTRE HOSPITALIER INTERCOM ALPES DU SUD,"[""Maîtrise d'oeuvre""]",Phase Candidature : Concours de maîtrise d'?uvre organisé dans le cadre de la restructuration-extension de deux foyers d'accueil médicalisés au Centre Hospitalier d'Aiguilles-Queyras -,non,cmp2006,fns,attribution,initial,non,2019-09-19
19-142795,06003,Nice cedex 1,C.H.U. de Nice,['Bâtiment'],CENTRE HOSPITALIER UNIVERSITAIRE DE NICE - OPERATION PASTEUR 2 - CONSTRUCTION DU NOUVEL HOPITAL PASTEUR 2 - Phase 2 Travaux de soutènement - Confortement Bâtiment G,non,cmp2006,fns,appeloffre,initial,non,2019-09-19
19-141288,06050,Nice,LYCEE POLYVALENT REGIONAL MASSENA,['Restauration collective'],Fournitures de denrées alimentaires et fournitures diverses pour le Groupement d'Achats de la Côte d'Azur,non,directive24,joue,appeloffre,initial,non,2019-09-19
19-140911,06201,nice cedex 3,Département des Alpes-Maritimes,"[""Matériel de secours et d'incendie""]",fourniture et livraison de citernes métalliques d'une capacité de 30m3 destinées à la défense des forêts contre l'incendie,non,directive24,joue,appeloffre,initial,non,2019-09-19
19-142514,06260,Puget-Théniers,Communauté de Communes Alpes d'Azur,['Etude'],Etude pour l'implantation d'éco-gîtes à l'entrée de la commune de GUILLAUMES,non,cmp2006,mapa,appeloffre,initial,non,2019-09-19
19-141022,06364,Nice cedex 4,Métropole Nice Côte d'Azur,['Prestations de services'],19V1242 CONCEPTION ET REALISATION DES MOTIFS ET DECORS DE CHARS CARNAVALESQUES - CARNAVAL DE NICE 2020,non,directive24,joue,appeloffre,initial,non,2019-09-19
19-142751,06406,CANNES,COMMUNE DE CANNES,"['Fontainerie', 'Maintenance']",Numéro de la consultation : 2019-1017 Maintenance des bornes fontaines et bornes de puisage de la ville de Cannes et de la communauté d'agglomération de Cannes Pays de Lérins. Consultation lancée,non,cmp2006,fns,appeloffre,initial,non,2019-09-19
19-142728,06410,BIOT,Ville de Biot,"['Maintenance', 'Aire de jeux']",Entretien et Maintenance des jeux et aires de jeux pour enfants,non,cmp2006,fns,appeloffre,initial,non,2019-09-19
19-141185,06606,Antibes cedex,Ville d'Antibes Juan-les-Pins,['Prestations de services'],Prestations de gardiennage du stade nautique municipal,non,directive24,joue,appeloffre,initial,non,2019-09-19
19-141169,06606,Antibes cedex,Ville d'Antibes Juan-les-Pins,['Equipements spécialisés'],"Location, pose, dépose et maintenance de matériel électrique pour les manifestations organisées par la Ville",non,directive24,joue,appeloffre,initial,non,2019-09-19
19-142550,07000,Privas,SCE DEPARTEMENTAL INCENDIE ET SECOURS,"['Matériel de transmission', 'Télécommunications']",Fourniture de moyens de communication pour feux de structure,non,cmp2006,fns,appeloffre,initial,non,2019-09-19
19-142302,07000,Privas,Département de l'Ardèche,['Matériel de bureau'],"Fourniture, livraison et installation de mobilier de bureau, de mobilier d'accueil, de rayonnages et de vestiaires pour les services du Département",non,cmp2006,fns,appeloffre,initial,non,2019-09-19
19-142538,07000,Privas,SCE DEPARTEMENTAL INCENDIE ET SECOURS,['Equipement sportif'],Fourniture de matériel et d'équipement d'entrainement physique à destination des personnels du service départemental d'incendie et de secours de l'Ardèche,non,cmp2006,mapa,appeloffre,initial,non,2019-09-19
19-142573,07000,Privas,SCE DEPARTEMENTAL INCENDIE ET SECOURS,['Contrôle technique'],Contrôle technique et antipollution des véhicules de moins de 3t5,non,cmp2006,mapa,appeloffre,initial,non,2019-09-19
19-140995,08700,Nouzonville,COMMUNE DE NOUZONVILLE,['Assurance'],Prestations de services d'assurances pour la commune de Nouzonville,non,directive24,joue,attribution,initial,non,2019-09-19
19-142262,10000,TROYES,MAIRIE DE TROYES,"[""Ouvrage d'infrastructure"", 'Voirie']",Accord-cadre mono-attributaire à bons de commande - Interventions ponctuelles de voirie 2020/2021/2022-.,non,cmp2006,fns,appeloffre,initial,non,2019-09-19
19-142649,11200,Lézignan-Corbières,Commune de Lézignan-Corbières,['Voirie'],réhabilitation des voiries - programme 2019,non,cmp2006,fns,appeloffre,initial,non,2019-09-19
19-142779,11855,CARCASSONNE Cedex 9,Département de l'Aude,"['Démolition', 'Espaces verts', 'Maçonnerie', 'Serrurerie']",Reconstruction partielle des clôtures et murs d'enceinte du Centre Routier départemental de Lézignan Corbières (rectificatif),non,cmp2006,mapa,appeloffre,rectificatif,non,2019-09-19
19-141495,11890,Carcassonne cedex,SYND AUDOIS D ENERGIES ET DU NUMERIQUE,['Télécommunications'],Marché global de performance pour la mise en place d'un réseau THD Radio sur le territoire de l'Aude,non,directive24,joue,attribution,initial,non,2019-09-19
19-142056,12035,Rodez cedex 9,Cté d'Agglomération du Grand Rodez,"['Equipement industriel', 'Voirie']",travaux de réhabilitation de la step de cantaranne,non,cmp2006,fns,appeloffre,initial,non,2019-09-19
19-142384,12035,Rodez cedex 9,Cté d'Agglomération du Grand Rodez,['Assainissement'],travaux d'assainissement - marché à bons de commande,non,cmp2006,fns,appeloffre,initial,non,2019-09-19
19-141261,13005,Marseille,Fondation Méditerranée Infection,"['Laboratoire (fourniture)', 'Laboratoire (matériel)']",Fourniture et maintenance d'un instrument d'aliquotage en micro volume,non,directive24,joue,attribution,initial,non,2019-09-19
19-141645,13006,Marseille,ENERGIE SOLIDAIRE 13,['Objet publicitaire'],"Mission de conseil, de conception graphique, de création visuelle et d'accompagnement en communication",non,directive24,joue,appeloffre,initial,non,2019-09-19
19-142810,13007,Marseille,METROPOLE D AIX MARSEILLE PROVENCE,"['Alimentation en eau potable', 'Maintenance', 'Ouvrage hydraulique']",Le présent accord-cadre a pour objet la réalisation d'un programme annuel de prestations de faucardage et de curage sur les berges du canal de Martigues alimentant l'usine de production d&ap,non,cmp2006,fns,appeloffre,initial,non,2019-09-19
19-141700,13007,Marseille,METROPOLE D AIX MARSEILLE PROVENCE,"['Assainissement', 'Prestations de services']",Désobstruction et décolmatage de l'émissaire de rejet en mer - Assainissement - Carry-le-Rouet et Sausset-les-Pins,non,directive24,joue,appeloffre,initial,non,2019-09-19
19-142841,13120,GARDANNE,COMMUNE DE GARDANNE,"['Electricité (travaux)', 'Maçonnerie', 'Menuiserie', 'Peinture (travaux)', 'Plomberie (travaux)']",Numéro de la consultation : 19154BA AMÉNAGEMENT D'UNE ÉPICERIE SOLIDAIRE,non,cmp2006,fns,appeloffre,initial,non,2019-09-19
19-142740,13140,Miramas,Commune de Miramas,"['Câblage', 'Cloison, faux plafond', 'Maçonnerie', 'Peinture (travaux)', 'Amiante (désamiantage)']",Réhabilitation d'une partie des locaux du bâtiment situé Place Jean Jaurès (Ancien CCAS)- Commune de Miramas,non,cmp2006,fns,appeloffre,initial,non,2019-09-19
19-142641,13140,Miramas,Commune de Miramas,"['Câblage', 'Télésurveillance']",Installation de visiophones pour la sécurisation des accès de 4 écoles sur la Commune de Miramas,non,cmp2006,mapa,appeloffre,initial,non,2019-09-19
19-142843,13226,MARSEILLE,GRAND PORT MARITIME DE MARSEILLE,"[""Matériel de secours et d'incendie""]","Le présent dossier de consultation concernent l'exécution des prestations relatives à l'acquisition, le remplacement et la maintenance des défibrillateurs cardiaques du Grand Port Maritime d",non,cmp2006,mapa,appeloffre,initial,non,2019-09-19
19-142348,13233,Marseille cedex 20,Ville de Marseille,"['Equipement sportif', 'Revêtements de sols', 'Aire de jeux']","Fourniture, livraison et pose d'agrès sportifs destinés à la pratique du Parkour et confection de sols amortissants - Allée des Primevères, 13012 Marseille.",non,cmp2006,fns,appeloffre,initial,oui,2019-09-19
19-142596,13233,Marseille cedex 20,Ville de Marseille,"['Chauffage (travaux)', 'Climatisation']","Travaux de remplacement du système de climatisation et de chauffage du Bureau Municipal de Proximité de saint Jérôme - 185 bis, avenue de st jérôme 13013 Marseille",non,cmp2006,fns,appeloffre,initial,non,2019-09-19
19-141462,13233,Marseille cedex 20,Ville de Marseille,['Denrées alimentaires'],Fourniture de petite épicerie,non,directive24,joue,appeloffre,initial,oui,2019-09-19
19-142347,13233,Marseille cedex 20,Ville de Marseille,['Prestations de services'],Prestations de services en matière de protection des marques,non,cmp2006,fns,appeloffre,initial,oui,2019-09-19
19-142235,13233,Marseille cedex 20,Ville de Marseille,['Prestations de services'],Animation et gestion du Centre d'Activités du Prophète.,non,cmp2006,fns,appeloffre,initial,non,2019-09-19
19-142448,13256,Marseille cedex 20,CONSEIL DEPARTEMENTAL 13,['Terrassement'],RD 17. Aménagement entre la RD17 et la RD68 (boulevard de la Draisine) à Pelissanne.,non,cmp2006,fns,attribution,initial,non,2019-09-19
19-142266,13313,Marseille cedex 14,SGAP de Marseille,['Fondations spéciales'],La présente consultation a pour objet des travaux de structure comprenant la reprise de poteaux B.A. d'un bâtiment de la caserne de Gendarmerie ALEXANDRE à Aubagne.,non,cmp2006,mapa,appeloffre,initial,oui,2019-09-19
19-142242,13330,Pelissanne,Mairie de Pélissanne,"['Chauffage (exploitation, entretien)', 'Climatisation']",Marché d'exploitation des installations de génie climatique des bâtiments communaux de la ville de Pélissanne,non,cmp2006,mapa,attribution,initial,non,2019-09-19
19-141377,13481,Marseille,GPT INTERET PUB GD PRIX FRANCE CASTELL,['Logiciel'],Fourniture d'une solution hébergée de gestion commerciale (billetterie et CRM) et la réalisation des prestations et services associés,non,directive24,joue,attribution,initial,non,2019-09-19
19-141475,13481,Marseille,Région Provence Alpes Côte d'Azur,"['Chauffage (matériel)', 'Chauffage (travaux)', 'Ventilation']","Maintenance et exploitation des installations de chauffage et de ventilation des lycées de la Région Paca, deux lots",non,directive24,joue,appeloffre,initial,oui,2019-09-19
19-141485,13637,Arles,Ville d'Arles,['Monuments historiques'],"Travaux D'Entretien, De Restauration Et D'Urgence Sur Monuments Historiques",non,directive24,joue,attribution,initial,non,2019-09-19
19-142576,13654,Salon de provence cedex,S.E.M.I.S.A.P.,"['Chauffage (travaux)', 'Menuiserie', 'Peinture (travaux)', ""Tous corps d'état""]",Réhabilitation et transformation d'un immeuble de bureaux en 13 logements sociaux,non,cmp2006,fns,appeloffre,initial,non,2019-09-19
19-142853,13698,MARTIGUES,APHM pour le compte du CH Martigues,['Chauffage (travaux)'],19st0403 mise en oeuvre de systèmes de climatisation réversibles au centre hospitalier de martigues,non,cmp2006,fns,appeloffre,initial,non,2019-09-19
19-141474,13798,Aix En Provence,ENSOSP,"[""Maîtrise d'oeuvre""]",Contrat de maîtrise d'oeuvre pour la construction d'un bâtiment de formation à la gestion de crise pour l'Ensosp sur le site de Valabre à Gardanne (13120),non,directive24,joue,appeloffre,initial,oui,2019-09-19
19-142491,13808,ISTRES,COMMUNE D ISTRES,['Nettoyage urbain'],"ÉLIMINATION DES TAGS, GRAFFITIS ET TOUTES AUTRES INSCRIPTIONS",non,cmp2006,mapa,appeloffre,initial,non,2019-09-19
19-141249,14035,CAEN,Région Normandie,"['Chauffage (travaux)', 'Plomberie (travaux)', 'Ventilation']","Travaux urgents de plomberie, de ventilation et de chauffage sur le patrimoine géré par le Région Normandie pour les départements 14 - 50 - 61",non,directive24,joue,appeloffre,initial,non,2019-09-19
19-141724,14035,Caen cédex,Région Normandie,"['Assistance technique', 'Publicité, Communication']",Organisation du Forum Mondial pour la paix,non,directive24,joue,appeloffre,initial,non,2019-09-19
19-141684,14106,Lisieux,CA Lisieux Normandie,['Edition'],Impression Des Editions Pour La Ca Lisieux Normandie Et La Ville De Lisieux,non,directive24,joue,appeloffre,initial,oui,2019-09-19
19-141199,14200,Hérouville saint clair,CCI de CAEN,['Equipements spécialisés'],Fourniture et installation d'équipement de détection pour le Terminal Ferry de Ouistreham,non,directive24,joue,attribution,initial,non,2019-09-19
19-141266,14280,Saint Contest,PARTELIOS HABITAT,"['Ascenseur', 'Maintenance']",Travaux de remplacement de 16 ascenseurs avec maitenance de 92 ascenseurs,non,directive24,joue,appeloffre,initial,non,2019-09-19
19-141246,14911,Caen cedex 9,CCI de CAEN,['Maintenance'],Opérations de maintenances curatives et préventives sur les postes HTA et BT,non,directive24,joue,attribution,initial,non,2019-09-19
19-141735,16022,Angoulême cedex,Commune d'Angoulême,['Transport'],Services de transport à destination de divers services de la ville et du CCAS,non,directive24,joue,appeloffre,initial,oui,2019-09-19
19-142839,16111,Cognac,Cognac,"['Bois', 'Fonderie', 'Matériaux de construction', 'Métallurgie']",Ecole primaire Pierre et Marie CURIE - Remplacement des menuiseries extérieures,non,cmp2006,fns,appeloffre,initial,non,2019-09-19
19-142842,16917,ANGOULEME,Département de la Charente,['Sécurité incendie'],Travaux de sécurité incendie dans le bâtiment DIESS / CEPE / EESI,non,cmp2006,fns,appeloffre,initial,non,2019-09-19
19-140998,17076,La Rochelle Cedex 9,Cons. Départ. de la Charente-Maritime,['Voirie'],réalisation de boucles de comptages et supports de stations de comptages,non,cmp2006,fns,attribution,initial,non,2019-09-19
19-130245,17076,La Rochelle Cedex 9,Cons. Départ. de la Charente-Maritime,['Prestations de services'],aménagement foncier agricole et forestier et environnemental (afafe) pour partie en zone forestière de la commune de boresse et martron : mission de géomètre expert,non,cmp2006,mapa,appeloffre,initial,non,2019-09-19
19-141098,17076,La Rochelle Cedex 9,Cons. Départ. de la Charente-Maritime,['Contrôle technique'],mission de contrôle et d'assistance technique du pôle-nature de la pierre de crazannes ainsi que de tous les aménagements de confortements des lieux,non,cmp2006,mapa,attribution,initial,non,2019-09-19
19-140107,17076,La Rochelle Cedex 9,Cons. Départ. de la Charente-Maritime,['Formation'],formation obligatoire des assistants maternels,non,cmp2006,mapa,appeloffre,initial,non,2019-09-19
19-142855,17086,La Rochelle,VILLE LA ROCHELLE,['Amiante (désamiantage)'],Numéro de la consultation : 2019.TX.GTPB.0270 GROUPE SCOLAIRE BARTHELEMY PROFIT - TRAVAUX DE DESAMIANTAGE DES MENUISERIES EXTERIEURES ALUMINIUM,non,cmp2006,fns,appeloffre,initial,non,2019-09-19
19-142818,18700,Aubigny sur nere,Ville d'Aubigny sur Nère,['Papeterie'],Accord-cadre à bons de commande 2020-2023 fournitures de bureaulot 1 : fournitures de bureaulot 2 : fournitures scolaireslot 3 : fournitures jeunesselot 4 : papier,non,cmp2006,fns,appeloffre,initial,oui,2019-09-19
19-141227,19103,Brive,COMMUNAUTE D'AGGLO DU BASSIN DE BRIVE,"[""Station d'épuration (exploitation)""]",exploitation de la station de traitement des eaux usées de gourgue nègre,non,directive24,joue,attribution,initial,oui,2019-09-19
19-141798,20179,Ajaccio Cedex 1,CCIACS,['Espaces verts'],entretien des espaces verts pour l'ensemble des besoins de la ccitacs (rectificatif),non,autre,joue,rectificatif,rectificatif,non,2019-09-19
19-141237,20303,AJACCIO,centre hospitalier ajaccio,['Sacs'],FOURNITURE DE SACS DECHETS PLASTIQUES,non,directive24,joue,appeloffre,initial,non,2019-09-19
19-141423,20303,AJACCIO,centre hospitalier ajaccio,"['Droguerie', ""Produits d'entretien""]",FOURNITURE D'ESSUIES MAINS ET ARTICLES DE DROGUERIE AVEC MISE A DISPOSITION DE DEROULEURS,non,directive24,joue,appeloffre,initial,non,2019-09-19
19-141538,21041,Dijon cedex,Préfecture région Bourgogne,"['Chauffage (exploitation, entretien)', 'Prestations de services']",CVC4_BFC_2019,oui,directive24,joue,appeloffre,initial,oui,2019-09-19
19-141394,21075,Dijon,DIJON METROPOLE,"['Conteneur, poubelles', 'Collecte sélective', 'Ordures ménagères (prestations)']",Gestion des déchets ménagers et assimilés,oui,autre,joue,rectificatif,rectificatif,oui,2019-09-19
19-142314,22027,SAINT-BRIEUC,CENTRE HOSPITALIER SAINT BRIEUC,['Denrées alimentaires'],Fourniture de denrées alimentaires commercialisées sur circuits courts pour trois établissements du GHT d'ARMOR,non,cmp2006,fns,appeloffre,initial,non,2019-09-19
19-140659,22044,Saint-Brieuc,Saint-Brieuc Agglomération,"[""Assistance à maîtrise d'ouvrage""]",Assistance à maîtrise d'ouvrage pour l'élaboration du programme de travaux et le choix de la maîtrise d'oeuvre pour la rénovation et l'extension de la piscine Goëlys à Binic/Etables sur Mer.,non,cmp2006,fns,appeloffre,initial,non,2019-09-19
19-142584,22193,Plérin,Mairie de Plérin Sur Mer,"['Nettoyage de locaux', 'Vitrerie']",entretien de divers locaux et vitrerie inaccessible,non,cmp2006,fns,appeloffre,initial,oui,2019-09-19
19-142873,23300,la souterraine,ALEFPA DT LIMOUSIN,"[""Maîtrise d'oeuvre""]",missions de maitrise d'oeuvre,oui,cmp2006,mapa,appeloffre,initial,oui,2019-09-19
19-142352,23300,La souterraine,ALEFPA DT LIMOUSIN,"[""Maîtrise d'oeuvre""]",prestations de maitrise d'oeuvre dans le cadre d'un projet de construction de bureaux,non,cmp2006,mapa,appeloffre,annulation,non,2019-09-19
19-142899,24019,PERIGUEUX,Conseil Général de la Dordogne,['Espaces verts'],Routes départementales de la Dordogne - Végétalisation des dépendances vertes par ensemencement hydraulique,non,cmp2006,fns,appeloffre,initial,non,2019-09-19
19-141408,24019,Périgueux,Le Grand Périgueux,"['Matériaux routiers', 'Voirie']",Fourniture d'équipements et matériaux de voirie,non,directive24,joue,attribution,initial,non,2019-09-19
19-141693,25005,Besançon cedex,DREAL BFC/SG/DAJCP,"[""Ouvrage d'infrastructure""]",RCEA-TOARCSE RN70 et échangeur de La Fiolle à Blanzy,oui,directive24,joue,attribution,initial,oui,2019-09-19
19-142305,25030,Besançon,CENTRE HOSPITALIER REGIONAL UNVT,['Détection incendie'],Travaux de REMPLACEMENT du Système de Sécurité Incendie (SSI)du Bâtiment MAS (Maison d'Accueil Spécialisé)ETABLISSEMENT DE SANTE DE QUINGEY,non,cmp2006,fns,appeloffre,initial,non,2019-09-19
19-141115,25031,Besancon Cedex,DEPARTEMENT DU DOUBS,['Pneumatiques'],Fourniture De Pneumatiques Et Prestations Associees,non,directive24,joue,appeloffre,initial,non,2019-09-19
19-142326,25034,Besançon cedex,Ville de Besançon,"['Mobilier urbain', 'Aire de jeux']",Olof palme - fourniture et pose de mobilier urbain et de jeux,non,cmp2006,fns,appeloffre,initial,non,2019-09-19
19-141236,25034,BESANCON,Ville de Besançon,['Impression'],Impression des magazines de la Ville de Besançon et de Grand Besançon Métropole,non,directive24,joue,appeloffre,initial,non,2019-09-19
19-141241,25034,BESANCON,Ville de Besançon,"['Publicité, Communication']",Régie publicitaire des magazines de la Ville de Besançon et de Grand Besançon Métropole,non,directive24,joue,appeloffre,initial,non,2019-09-19
19-87951,25050,Besançon cedex 2039,C.C.A.S. de la Ville de Besançon,['Blanchissage'],"service de blanchissage, nettoyage et location de linge",oui,cmp2006,fns,appeloffre,initial,non,2019-09-19
19-142261,25520,Goux les usiers,Sactom du Val d'Usiers,"[""Station d'épuration (travaux)""]",Création de la nouvelle station de traitement des eaux usées du Val d'Usiers,non,cmp2006,fns,attribution,initial,non,2019-09-19
19-142744,26026,Valence,DEPARTEMENT DE LA DROME,"[""Tous corps d'état""]","Construction du nouveau collège de Saint Donat sur l'Herbasselots 3, 5, 6, 7, 10, 11 et 14",non,cmp2006,fns,appeloffre,initial,non,2019-09-19
19-141363,27160,Breteuil,COMMUNE DE BRETEUIL,"[""Maîtrise d'oeuvre""]",Marche De Maitrise D'Oeuvre Pour La Construction D'Un Groupe Scolaire Avec Performance Energetique (E3 - c1) A La Gueroulde (27),non,directive24,joue,appeloffre,initial,non,2019-09-19
19-141047,28018,Chartres,CENTRE HOSPITALIER GENERAL DE CHARTRES,['Consommables médicaux'],Dispositifs médicaux à usage unique et à usage multiple non stériles,non,directive24,joue,attribution,initial,non,2019-09-19
19-142354,28019,Chartres Cedex,Ville de Chartres,"['Couverture', 'Terrassement', 'Terrain de sport']",Affaire no19V044-Rénovation de 2 courts de tennis-quartier de la Madeleine à Chartres,non,cmp2006,fns,appeloffre,initial,non,2019-09-19
19-142900,28028,Chartres,Conseil général d'Eure et Loir,['Sondage (travaux)'],TRAVAUX DE SONDAGES POUR LA RECHERCHE D'EAU POTABLE,non,cmp2006,fns,appeloffre,initial,non,2019-09-19
19-142776,28103,Dreux cedex,Commune de Dreux,['Terrain de sport'],Régénération de 2 courts de tennis bétons plein air par la mise en oeuvre d'un revêtement en textile aiguilleté remplissage brique pilée.,non,cmp2006,fns,attribution,initial,non,2019-09-19
19-142789,28103,Dreux cedex,Commune de Dreux,['Informatique (prestations de services)'],CIRCUITS NUMERIQUES A THEMATIQUES HISTORIQUES ET PEDAGOGIQUES,non,cmp2006,fns,attribution,initial,non,2019-09-19
19-141690,29000,Quimper,CA QUIMPER BRETAGNE OCCIDENTALE,['Piscine'],Conduite et maintenance des équipements techniques des piscines (Conduite + P2 avec intéressement),non,directive24,joue,appeloffre,initial,non,2019-09-19
19-114754,29120,Pont-L'Abbé,SM PORTS PECHE PLAISANCE CORNOUAILLE,['Produits chimiques'],fourniture et transport de béton prêt à l'emploi pour le syndicat mixte des ports de pêche-plaisance de cornouaille,non,cmp2006,mapa,appeloffre,initial,non,2019-09-19
19-141380,29200,Brest,SEMBREIZH,['Prestations de services'],OP19D9GO,non,directive24,joue,appeloffre,initial,non,2019-09-19
19-140989,29270,CARHAIX-PLOUGUER,Syndicat du Stanger,"['Alimentation en eau potable', ""Maîtrise d'oeuvre""]",Maîtrise d'oeuvre relative à la mise à niveau et à l'extension de l'usine de production d'eau potable du Stanger à Carhaix,non,directive24,joue,appeloffre,initial,non,2019-09-19
19-140907,29490,GUIPAVAS,SIVU DES RIVES DE L'ELORN,['Blanchissage'],PRESTATIONS D'ENTRETIEN ET LOCATION DU LINGE PLAT ET PROFESSIONNEL POUR EHPAD ET RESIDENCE AUTONOMIE,non,directive24,joue,attribution,initial,non,2019-09-19
19-142671,29720,Plonéour-Lanvern,EHPAD Pierre GOENVIC,['Assurance'],"Contrat d'assurance statutaire, en application des dispositions législatives et réglementaires régissant le statut de la fonction publique hospitalière",non,cmp2006,mapa,appeloffre,initial,non,2019-09-19
19-142230,29870,Landéda,Commune de Landéda,"['Espaces verts', 'Réseaux divers', 'Voirie']",réaménagement urbain et paysager de la vc3 en landéda (rectificatif),non,cmp2006,fns,appeloffre,rectificatif,non,2019-09-19
19-142703,30044,Nîmes cedex 9,Conseil général du Gard,['Equipement sportif'],"Contrôle, entretien et maintenance des structures artificielles d'escalade (S.A.E) dans l'ensemble des collèges Gardois",non,cmp2006,mapa,appeloffre,rectificatif,non,2019-09-19
19-141375,30100,Ales,Alès Agglomération,"['Matériel agricole, horticole']",Appel d'offres ouvert européen relatif à l'acquisition et la livraison de produits horticoles pour les stades pelousés.,non,directive24,joue,appeloffre,initial,non,2019-09-19
19-142432,30115,Alès cedex,Ville d'Alès,"['Assurance', 'Prestations de services']",Assurances portant sur le personnel cotisant à la CNRACL pour les besoins de la ville d'Alès,non,cmp2006,fns,appeloffre,initial,non,2019-09-19
19-141870,30922,Nîmes Cédex 9,C.A.F. du Gard,"['Benne', 'Conteneur, poubelles', 'Déchets non ménagers (prestations)']",traitement des déchets de la caf du gard,oui,cmp2006,fns,appeloffre,initial,oui,2019-09-19
19-141269,30947,Nîmes,Ville de Nîmes,"['Décharge', 'Déchets non ménagers (prestations)', 'Dépollution']",Destruction des véhicules hors d'usage stockés à la fourrière municipale,non,directive24,joue,appeloffre,initial,non,2019-09-19
