,a00_cle_idweb,g04_01_date_publication,d01_07_cp,d01_08_ville,d01_01_denomination,g04_052_descripteurs_libelles,g01_02_02_perimetre,g01_02_01_famille,g01_02_03_nature,g01_02_04_statut,g04_061_criteres_sociaux,g04_062_criteres_environnementaux,g04_09_resume_objet
25,19-144107,2019-09-23,13528,Port de Bouc Cédex,COMMUNE DE PORT DE BOUC,"['Cloison, faux plafond', 'Electricité (travaux)', 'Gros oeuvre', 'Menuiserie', 'Peinture (travaux)']",cmp2006,fns,appeloffre,initial,non,non,Numéro de la consultation : 19TRA33 TRAVAUX DE REHABILITATION ET D'ACCESSIBILITE DES SERVICES AU RDC DE L'HOTEL DE VILLE
26,19-143873,2019-09-23,13567,Marseille cedex 02,METROPOLE D AIX MARSEILLE PROVENCE,"[""Travaux dans l'eau""]",cmp2006,fns,attribution,initial,non,non,redimensionnement du réseau d'eau pluviale - za du mussuguet - carnoux-en-provence
27,19-143914,2019-09-23,13567,Marseille Cedex 2,METROPOLE D AIX MARSEILLE PROVENCE,['Déchetterie (travaux)'],cmp2006,fns,attribution,initial,non,non,travaux d'aménagement de systèmes de traitement des eaux pluviales sur les déchèteries
28,19-144287,2019-09-23,13616,Aix en Provence,AP-HM pour le compte du CHPA-CHIAP,"['Informatique (matériel)', 'Informatique (prestations de services)', 'Logiciel']",cmp2006,fns,appeloffre,initial,non,non,Fourniture et mise en oeuvre d'un logiciel de gestion de la pharmacie à usage intérieur intégré avec le système d'information hospitalier
29,19-144455,2019-09-23,16110,La rochefoucauld,CIDIL,['Cuisine (équipement)'],cmp2006,mapa,appeloffre,initial,non,non,"L'association CIDIL souhaite faire l'acquisition de matériel professionnel de cuisine pour le stockage, la préparation, et la mise en conserve des fruits-légumes."
30,19-144355,2019-09-23,16160,GOND PONTOUVRE,Ville de Gond-Pontouvre,"['Carburant, hydrocarbure']",cmp2006,mapa,appeloffre,initial,non,non,FOURNITURE DE CARBURANTS COMMUNE ET CCAS
31,19-144281,2019-09-23,16917,ANGOULEME,Département de la Charente,"[""Tous corps d'état""]",cmp2006,fns,appeloffre,initial,non,non,Travaux relatifs à l'opération de relogement de CANOPE dans les locaux du collège Michelle Pallet à ANGOULEME
32,19-144445,2019-09-23,16959,ANGOULEME CEDEX 9,Centre Hospitalier Angoulême,"[""Assistance à maîtrise d'ouvrage""]",cmp2006,mapa,appeloffre,initial,non,non,"Assistance à maîtrise d'ouvrage relative aux marchés de fourniture d'énergie, de maintenance et de contrôles règlementaires des installations et équipements techniques du CH Camille Claudel"
33,19-144200,2019-09-23,17076,La rochelle cedex 9,Semdas,['Bâtiment'],cmp2006,fns,appeloffre,initial,non,non,"Marchés de travaux passés dans le respect des dispositions de l'article L.2123-1 du code de la commande publique, selon une procédure adaptée ouverte avec possibilité de négociation librement déf"
34,19-144393,2019-09-23,17180,Périgny,COMMUNE DE PERIGNY,['Bâtiments modulaires'],cmp2006,fns,appeloffre,initial,non,non,Extension modulaire 2 classes maternelle GS de Rompsay
35,19-144463,2019-09-23,17304,ROCHEFORT,CA ROCHEFORT OCEAN,['Revêtements de sols'],cmp2006,fns,appeloffre,initial,non,non,Aménagement d'un technopole - lot 7 ter
36,19-144490,2019-09-23,19200,Ussel,SYNDICAT DE LA DIEGE,['Electrification rurale'],cmp2006,fns,appeloffre,initial,non,non,"Travaux d'électrification rurale, d'éclairage public, de génie civil des réseaux de communications électroniques et de réseaux divers"
37,19-144370,2019-09-23,20187,AJACCIO,COLLECTIVITE DE CORSE,['Alimentation en eau potable'],cmp2006,fns,appeloffre,initial,non,non,"Numéro de la consultation : 2019-1DMG-0234 Location de fontaines à bonbonnes, acquisition de fontaines réseau et achat de consommables associés aux fontaines pour les besoins des services de la Collec"
38,19-143937,2019-09-23,20187,AJACCIO,COLLECTIVITE DE CORSE,"[""Travaux dans l'eau""]",cmp2006,fns,appeloffre,initial,non,non,Numéro de la consultation : 2019-3DPA-0260 Baie d'Aiacciu - Tempête ADRIAN - Travaux de réparation des ouvrages
39,19-141134,2019-09-23,20200,Ville di pietrabugno,Commune de Ville di pietrabugno,"['Alarme', 'Chauffage (travaux)', 'Climatisation', 'Cuisine (équipement)', 'Electricité (travaux)', 'Maçonnerie', 'Matériel scénique', 'Menuiserie', 'Mobilier', 'Peinture (travaux)', 'Plomberie (travaux)', 'Publicité, Communication', 'Revêtements de sols', 'Revêtements muraux', 'Sanitaire', 'Ventilation', 'Electricité, gaz (fourniture)']",cmp2006,fns,appeloffre,initial,non,non,aménagement de locaux sur le port de plaisance de toga programmes : cap sur la mer - salle multi activités et traitement des abords
40,19-144308,2019-09-23,20240,GHISONACCIA,Ville de Ghisonaccia,['Démolition'],cmp2006,fns,appeloffre,initial,non,non,Démolition de l'ancienne école et des bâtiments des services techniques de Ghisonaccia
41,19-144435,2019-09-23,20291,Bastia,Régie des Eaux du Pays Bastiais,"['Etude', ""Assistance à maîtrise d'ouvrage""]",cmp2006,fns,appeloffre,initial,non,non,Numéro de la consultation : 19EU02 Elaboration d une étude pour la réalisation du dévoiement de la canalisation principale d'eau potable sur la commune de Biguglia
42,19-143993,2019-09-23,20537,Porto-vecchio cedex,Commune de Porto-Vecchio,['Alimentation en eau potable'],cmp2006,fns,appeloffre,initial,non,non,Travaux de réhabilitation AEP - Boucle de Palombaggia - Tranche no 3
43,19-141889,2019-09-23,21120,Is-sur-tille,CIAT ENERGIE ATOMIQUE AUX ENERGIES ALT,['Electricité (travaux)'],cmp2006DEFENSE,fns,appeloffre,initial,non,non,Travaux d'externalisation de 2 Postes Haute Tension / Basse Tension d'un Bâtiment industriel du Centre de Valduc.
44,19-144479,2019-09-23,22120,Hillion,mairie de hillion,['Voirie'],cmp2006,fns,appeloffre,initial,non,non,Aménagement bourg de saint rene
45,19-144440,2019-09-23,24200,MARCILLAC ET SAINT QUENTIN,SMICTOM DU PERIGORD NOIR,"[""Station d'épuration (travaux)""]",cmp2006,fns,attribution,initial,non,non,fourniture d'une chargeuse articulée sur pneus et reprise d'une chargeuse et d'un godet mélangeur
46,19-144447,2019-09-23,25000,Besancon,GCS EMOSIST FC,"['Informatique (matériel)', 'Informatique (prestations de services)', 'Logiciel']",cmp2006,mapa,appeloffre,initial,non,non,"Pour répondre aux exigences attachées à la gestion de données santé qu'il héberbe, le GCS EMOSIST souhaite faire évoluer son infrastructure de virtualisation de serveurs."
47,19-144399,2019-09-23,25030,Besançon,CENTRE HOSPITALIER REGIONAL UNVT,['Matériel médical'],cmp2006,fns,appeloffre,initial,non,non,"Fourniture, installation et mise en service de deux arceaux chirurgicaux mobiles de radioscopie pour le CHU de Besançon"
48,19-138163,2019-09-23,25034,Besançon,Ville de Besançon,"[""Oeuvre d'art"", 'Prestations de services']",cmp2006,mapa,appeloffre,initial,non,non,restauration des collections d'arts graphiques des musées du centre de la ville de besançon 2019 -2021
49,19-144102,2019-09-23,26026,Valence,Département de la Drôme,['Prestations de services'],cmp2006,fns,appeloffre,initial,non,non,Mise à disposition d'articles de presse numérisés pour diffusion au sein du Conseil départemental de la Drôme
50,19-144051,2019-09-23,26216,MONTELIMAR,GPT HOSPITALIER PORTES DE PROVENCE,['Groupe électrogène'],cmp2006,fns,attribution,initial,non,non,Maintenance des groupes électrogènes
51,19-144362,2019-09-23,26953,Valence,Centre Hospitalier de Valence,"[""Maîtrise d'oeuvre""]",cmp2006,fns,appeloffre,initial,non,non,Marché de maîtrise d'oeuvre pour les travaux de réhabilitation du Bâtiment 18 du Centre Hospitalier de Valence
52,19-143917,2019-09-23,27000,EVREUX,Ville d'Evreux,"['Matériel de sécurité', 'Terrassement']",cmp2006,fns,attribution,initial,non,non,Travaux de sécurisation et confortement du coteau de St Michel &#150; Site coulée de boue rue David
53,19-144026,2019-09-23,27000,EVREUX,Ville d'Evreux,"['Contrôle technique', 'Etude']",cmp2006,mapa,attribution,initial,non,non,Mission de contrôle technique et de coordination sécurité et protection de la santé pour la construction de la maison de quartier de Navarre à Evreux (2 lots)
54,19-143868,2019-09-23,27004,EVREUX CEDEX,CA EVREUX PORTES DE NORMANDIE,"['Gaz divers', ""Station d'épuration (travaux)""]",cmp2006,fns,appeloffre,initial,non,non,Remplacement et modification du gazomètre du Centre de Traitement des Eaux Usées à Gravigny
55,19-144087,2019-09-23,27005,Evreux cedex,SOC ECONOMIE MIXTE LOGEMENT DE EURE,['Bâtiment'],cmp2006,fns,appeloffre,initial,non,non,VILLIERS EN DESOEUVRE (27640) - Grande Rue / rue des Ecoles Construction de 16 logements individuels neufs et d'une salle des associations (option passée en base)en corps d'état séparésRel
56,19-144288,2019-09-23,27190,CONCHES,Communauté de Communes Pays de Conches,['Matériaux de construction'],cmp2006,mapa,appeloffre,initial,non,non,Marché de fournitures de matériaux de construction pour les travaux en régie
57,19-144106,2019-09-23,27190,CONCHES,Communauté de Communes Pays de Conches,"['Outillage', 'Quincaillerie (articles)']",cmp2006,mapa,appeloffre,initial,non,non,"Marché de fournitures de quincaillerie, consommable et petit outillage pour les travaux en régie"
58,19-143617,2019-09-23,28170,Thimert Gâtelles,mairie Thimert Gâtelles,['Voirie et réseaux divers'],cmp2006,mapa,appeloffre,initial,non,non,Aménagement de voirie
59,19-143960,2019-09-23,28200,Châteaudun,Ville de Châteaudun,"['Etude', ""Maîtrise d'oeuvre"", 'Ingénierie']",cmp2006,fns,attribution,initial,non,non,MISSION DE MAÎTRISE D'OEUVRE : AMÉNAGEMENT DE LA PLACE DE LA LIBERTÉ
60,19-144024,2019-09-23,28310,Luce,AD PEP 28,"[""Maîtrise d'oeuvre""]",cmp2006,fns,appeloffre,initial,non,non,Construction d'un bâtiment DAME
61,19-144006,2019-09-23,29122,Pont-l'Abbé cedex,CCPBS,"['Alimentation en eau potable', ""Maîtrise d'oeuvre"", 'Réservoir', 'Bâche']",cmp2006,fns,appeloffre,rectificatif,non,non,maîtrise d'oeuvre relative à la réalisation d'une bâche de stockage d'eau traitée et réhabilitation d'un réservoir sur tour à bringall - commune de pont l'abbé
62,19-143035,2019-09-23,29186,Concarneau cédex,Concarneau Cornouaille Agglomération,"['Bardage', 'Bâtiment', 'Chauffage (travaux)', 'Cloison, faux plafond', 'Electricité (travaux)', 'Espaces verts', 'Etanchéité', 'Gros oeuvre', 'Isolation', 'Menuiserie', 'Métallerie', 'Peinture (travaux)', 'Plomberie (travaux)', 'Revêtements de sols', 'Terrassement', 'Ventilation', 'Voirie et réseaux divers']",cmp2006,fns,appeloffre,initial,oui,non,Extension de l'hôtel d'agglomération de concarneau.(relance de la procédure suite à déclaration d'infructuosité)
63,19-143415,2019-09-23,30900,Nîmes,CDG 30,['Télécommunications'],cmp2006,mapa,appeloffre,initial,non,non,"accès internet, supervision et sécurité du système d'information du cdg 30"
64,19-144238,2019-09-23,30942,NIMES cedex 9,Chambre d'agriculture du Gard,['Ascenseur'],cmp2006,mapa,appeloffre,initial,non,non,mise en conformité de l'ascenseur de la chambre d'agriculture à nîmes
65,19-143885,2019-09-23,31035,Toulouse cedex 1,DSNA,['Aéronautique'],cmp2006,fns,attribution,initial,non,non,rénovation de la distribution énergie et mise en oeuvre d'un secours à base d'une pile d'hydrogène de l'antenne avancée de sarlat - caneda
66,19-144143,2019-09-23,31055,TOULOUSE,ISAE SUPAERO,"['Consommables informatiques', 'Informatique (matériel)']",cmp2006,fns,appeloffre,initial,non,non,"Achat de périphériques, composants et connectiques informatiques, petits équipements et câblage réseau, appareils spécifiques mobiles et autres accessoires pour l'ISAE-SUPAERO"
67,19-144418,2019-09-23,31081,Toulouse,TISSEO,['Prestations de services'],cmp2006,fns,appeloffre,initial,non,non,Accompagnement au fonctionnement de la Direction Technique
68,19-144422,2019-09-23,31081,Toulouse,TISSEO,"['Electricité, gaz (fourniture)']",cmp2006,fns,appeloffre,initial,non,non,"Numéro de la consultation : 19-182 Prestation de fourniture, de maintenance et de gestion de bornes de rechargement de véhicules électriques ou hybrides"
69,19-144343,2019-09-23,31220,MARTRES-TOLOSANE,Commune de Martres-Tolosane,['Etude'],cmp2006,mapa,appeloffre,initial,non,non,Etude de Faisabilité'Stratégie de valorisation et de développement de la filière céramique et métiers d'art autour de l'ancienne manufacture de faïence du Matet'
70,19-143932,2019-09-23,31505,Toulouse,COMMUNE DE TOULOUSE,['Clocher'],cmp2006,mapa,appeloffre,initial,non,non,TRAVAUX DE REPARATION DE CLOCHES ENDOMMAGEES - AV/LA
71,19-144253,2019-09-23,31650,Auzielle,Commune d'Auzielle,['Espaces verts'],cmp2006,mapa,appeloffre,rectificatif,non,non,achat d'un tracteur pour le service technique (rectificatif)
72,19-144258,2019-09-23,33000,bordeaux,COMMUNE DE BORDEAUX,"['Bardage', 'Barrage', 'Charpente', 'Couverture', 'Serrurerie']",cmp2006,mapa,attribution,initial,non,non,reconstruction et extension de la maison de quartier saint martial
73,19-143952,2019-09-23,33045,Bordeaux cedex,Bordeaux Metropole,['Maintenance'],cmp2006,mapa,appeloffre,initial,non,non,entretien et maintenance des matériels de cuisine et de production du froid des restaurants métropolitains
74,19-144124,2019-09-23,33068,Bordeaux,MINDEF/SGA/DCSID/ESID Bordeaux,['Gros oeuvre'],cmp2006,fns,appeloffre,rectificatif,non,non,Bayonne (64) - Installation d'un espace multi services ATLAS Citadelle Bergé BT 109
75,19-144134,2019-09-23,33081,Bordeaux cedex,SDIS 33 Gironde,['Denrées alimentaires'],cmp2006,fns,appeloffre,initial,non,non,"Fourniture de pâtes de fruits, de barres de céréales et de boissons lyophilisées destinées au soutien sanitaire aux opérations du SDIS 33"
76,19-144273,2019-09-23,33081,Bordeaux cedex,SDIS 33 Gironde,['Habillement'],cmp2006,fns,appeloffre,initial,non,non,Fourniture de vêtements de plongée et des prestations de réparation et de contrôle pour le SDIS de la Gironde
77,19-144456,2019-09-23,33090,Bordeaux cedex,DREAL NOUVELLE-AQUITAINE,['Mur antibruit'],cmp2006,fns,appeloffre,initial,oui,oui,Rocade A630 de Bordeaux - Mise à 2x3 voies de la section des échangeurs no 4 à 10Écrans acoustiques de l'échangeur no 4a
78,19-144211,2019-09-23,33173,Gradignan cedex,Ville de Gradignan,['Eclairage public'],cmp2006,fns,appeloffre,initial,non,non,"Accord cadre pour la réalisation de travaux d'éclairage public : conception, réalisation et interventions ponctuelles d'urgence de travaux d?éclairage public des voies routières, des aires d"
79,19-144321,2019-09-23,33290,Blanquefort,EPLEFPA BORDEAUX GIRONDE,"['Matériel agricole, horticole']",cmp2006,mapa,appeloffre,initial,non,oui,Achat d'un pulvérisateur confiné et son financement
80,19-143976,2019-09-23,33311,ARCACHON Cedex,Ville d'Arcachon,['Alarme'],cmp2006,fns,appeloffre,initial,non,non,"Télésurveillance de bâtiments et maintenance d'alarmes anti-intrusion, de contrôle d'accès, et de vidéo"
81,19-144072,2019-09-23,33340,Lesparre médoc,CC MEDOC COEUR DE PRESQU ILE,"[""Mission d'ordonnancement, pilotage, coordination (OPC)""]",cmp2006,mapa,appeloffre,initial,non,non,Mission OPC pour la construction d'un centre aquatique sur la commune de Lesparre Médoc
82,19-144307,2019-09-23,33710,Villeneuve,COMMUNE DE VILLENEUVE,"[""Maîtrise d'oeuvre""]",cmp2006,fns,appeloffre,initial,non,non,Marché de maîtrise d'oeuvre pour la restructuration du groupe scolaire
83,19-144236,2019-09-23,34197,Montpellier,Régie des Eaux de Montpellier 3M,['Matériel de manutention'],cmp2006,fns,appeloffre,initial,non,non,Mise en conformité ou remplacement du matériel de levage sur les sites de production et de distribution d'eau potable.
84,19-144013,2019-09-23,34270,St Mathieu de Tréviers,Cté Cnes du Grand Pic St Loup,['Amiante (désamiantage)'],cmp2006,mapa,attribution,initial,non,non,désamiantage des sols collés du bâtiment c de la base nature pic natura - commune de saint clément de rivière
85,19-144473,2019-09-23,34477,PEROLS cedex,SUD DE FRANCE DEVELOPPEMENT,"['Publicité, Communication']",cmp2006,fns,attribution,initial,non,non,Numéro de la consultation : 2019 MEDFEL Organisation et mise en oeuvre du MEDFEL - évènement international d'affaires de la filière fruits et légumes - version 2
86,19-144168,2019-09-23,34830,Clapiers,Ville de Clapiers,['Terrassement'],cmp2006,mapa,appeloffre,initial,non,non,Création d'une plateforme pour l'extension de l'école Victor Hugo à clapiers
87,19-144444,2019-09-23,35043,Rennes cedex,Université Rennes 2,['Logiciel'],cmp2006,fns,appeloffre,initial,non,non,Remplacement des firewalls de coeur de réseau
88,19-144108,2019-09-23,38021,GRENOBLE,COMMUNE DE GRENOBLE,['Collecte sélective'],cmp2006,mapa,appeloffre,initial,non,non,Collecte des déchets recyclables de l'Hôtel de ville de Grenoble
89,19-144407,2019-09-23,38028,Grenoble cedex 01,Commune d'Eybens,"[""Tous corps d'état""]",cmp2006,fns,appeloffre,initial,oui,non,Marchés de travaux et marché de fournitures portant sur la requalification de l'école maternelle Le Val en école élémentaire et construction d'une extension à Eybens - 38. Le projet portera
90,19-144372,2019-09-23,38307,Bourgoin-Jallieu cedex,COMMUNE DE BOURGOIN JALLIEU,"[""Contrôle d'accès""]",cmp2006,fns,appeloffre,initial,non,non,Renouvellement des équipements de parc de stationnement du Parking de Charges à Bourgoin-Jallieu
91,19-144105,2019-09-23,38926,Crolles,Le Grésivaudan,['Topographie'],cmp2006,fns,appeloffre,initial,non,non,PRESTATIONS FONCIERES ET TOPOGRAPHIQUES
92,19-144060,2019-09-23,40000,Mont de Marsan,Centre communal d'action sociale,['Assurance'],cmp2006,fns,appeloffre,initial,non,non,assurance des risques statutaires pour le personnel du CCAS
93,19-144020,2019-09-23,40006,Mont de Marsan cedex,SYDEC,['Contrôle technique'],cmp2006,fns,appeloffre,initial,non,non,vérifications périodiques des installations électriques 2019
94,19-143613,2019-09-23,40100,Dax,CIAS du Grand Dax,['Logiciel'],cmp2006,mapa,appeloffre,initial,non,non,Location d'un logiciel d'optimisation des tournées du service portage de repas
95,19-144366,2019-09-23,42311,ROANNE,Roannais Agglomération,['Voirie'],cmp2006,mapa,appeloffre,initial,non,non,TRAVAUX D'AMENAGEMENT DE LA VOIE DE LIAISON ALPHA BRAVO A L'AEROPORT DE ROANNE
96,19-144365,2019-09-23,42313,ROANNE,Roannaise de l'Eau,"[""Tous corps d'état""]",cmp2006,fns,appeloffre,initial,non,non,Travaux de restructuration et extension de la maison de l'eau sur le site des barrages à Renaison
97,19-144070,2019-09-23,44035,Nantes cedex 1,Université de Nantes,['Câblage'],cmp2006,fns,appeloffre,initial,non,non,"Travaux de précâblage polyvalent ? Bâtiments 06, 07, 08 et 09 ? Campus du Tertre à Nantes"
98,19-143859,2019-09-23,44035,Nantes cedex 1,Université de Nantes,['Matériel dentaire'],cmp2006,mapa,appeloffre,rectificatif,non,non,Acquisition d'une caméra d'empreinte optique dentaire pour l'Université de Nantes
99,19-144249,2019-09-23,44094,Nantes cedex 1,COMMUNE DE NANTES,"['Appareil élévateur', 'Maintenance']",cmp2006,mapa,appeloffre,initial,non,non,acquisition d'une nacellepour le secteur maintenance technique de la ville de nantes
100,19-144261,2019-09-23,44156,Ancenis-Saint-Géréon cedex,Ville d'Ancenis-Saint-Géréon,"['Bâtiment', 'Electricité (travaux)', 'Etanchéité', 'Gros oeuvre', 'Piscine', 'Plomberie (travaux)']",cmp2006,fns,appeloffre,initial,non,non,Construction d'un local de traitement d'eau pour la piscine du camping
101,19-144368,2019-09-23,44600,Saint Nazaire,COMMUNE DE SAINT NAZAIRE,['Espaces verts'],cmp2006,fns,appeloffre,initial,non,non,Travaux Arboricoles - Abattage Elagage
102,19-144374,2019-09-23,44802,Saint herblain cedex,Commune de Saint-Herblain,['Déménagement'],cmp2006,fns,appeloffre,initial,non,non,"Prestations de déménagements de mobiliers, équipements, documents et de locaux à vocations diverses (tertiaire, technique, sportif, hébergement ...) pour la Ville de Saint-Herblain.Sont exclus les.."
103,19-142677,2019-09-23,44923,Nantes cedex 9,METROPOLE NANTES METROPOLE,['Réseaux divers'],cmp2006,fns,appeloffre,initial,oui,non,"réhabilitation de collecteurs eaux usées rue arthur rimbaud et de carquefou à nantes, de l'avenue des villages à carquefou, rue de la loire et place jules ferry à sainte-luce-sur-loire (programme 4)"
104,19-144028,2019-09-23,45058,Orléans,Orléans Métropole,['Logiciel'],cmp2006,fns,appeloffre,initial,non,non,"Maintenance, acquisition de modules et de licences supplémentaires, prestations d'assistance du système d'information géographique (SIG) communautaire"
105,19-144403,2019-09-23,45072,Orléans cedex 2,CROUS d'Orléans-Tours,"['Matériel de sécurité', 'Télésurveillance']",cmp2006,mapa,appeloffre,initial,non,non,Fourniture et mise en oeuvre d'une solution DATI / PTI et services associés
106,19-144101,2019-09-23,45200,Paucourt,Commune de Paucourt,['Voirie'],cmp2006,mapa,appeloffre,initial,non,non,Revêtement du cheminement piétonnier - rte de la Chapelle
107,19-144035,2019-09-23,45300,PITHIVIERS-LE-VIEIL,CC DU PITHIVERAIS,"[""Compteur d'eau""]",cmp2006,fns,appeloffre,initial,non,non,Mise en place d'organes de comptage en poste fixe sur les réseaux d'eau potable et télérelève
