a00_cle_idweb;d01_07_cp;d01_08_ville;d01_01_denomination;g04_052_descripteurs_libelles;g04_09_resume_objet;g04_061_criteres_sociaux;g01_02_02_perimetre;g01_02_01_famille;g01_02_03_nature;g01_02_04_statut;g04_062_criteres_environnementaux;g04_01_date_publication
19-140142;13771;Fos sur mer cedex;Ville de Fos-sur-Mer;['Equipements spécialisés'];ACHAT ET LIVRAISON DE MATERIEL D'AMARRAGE ET DE MOUILLAGE POUR LE PORT DE PLAISANCE;non;cmp2006;fns;attribution;initial;non;2019-09-16
19-140218;13771;Fos sur mer cedex;Ville de Fos-sur-Mer;['Impression'];Accord-cadre relatif aux travaux d'impression pour les besoins du groupement de commande constitué de la Commune, du Centre Communal d'Action Sociale et de la Régie autonome personnalisée Fe;non;cmp2006;fns;attribution;initial;non;2019-09-16
19-140102;14077;CAEN CEDEX 5;SYND.DEPT D'ENERGIES DU CALVADOS;['Chauffage (travaux)', 'Cloison, faux plafond', 'Décoration (travaux)', 'Electricité (travaux)', 'Menuiserie', 'Mobilier', 'Peinture (travaux)', 'Plomberie (travaux)', 'Revêtements de sols', 'Revêtements muraux', 'Serrurerie'];Travaux d'aménagement de l'accueil et d'une salle de réunions;non;cmp2006;fns;appeloffre;initial;non;2019-09-16
19-140153;16023;Angoulême;Cité intern. de la Bd et de l'Image;['Chauffage (exploitation, entretien)', 'Climatisation'];Entretien et maintenance (p2) des installations thermiques et climatiques;non;cmp2006;fns;appeloffre;initial;non;2019-09-16
19-130081;17450;FOURAS;COMMUNE DE FOURAS;"[""Maîtrise d'oeuvre""]";concours restreint de maîtrise d'oeuvre sur esquisse plus d'aménagement et de paysage pour la requalification de la pointe de la fumée;non;directive24;joue;attribution;initial;non;2019-09-16
19-140202;18000;BOURGES;Ville de Bourges;['Détection incendie'];Maintenance des moyens de lutte contre l'incendie;non;cmp2006;fns;appeloffre;initial;non;2019-09-16
19-140146;25031;Besancon cedex;Région Bourgogne - Franche-Comté;['Etude'];Le prestataire sera amené à accompagner l'Autorité de gestion tout au long des travaux de rédaction des futurs programmes.;non;cmp2006;mapa;appeloffre;rectificatif;non;2019-09-16
19-140136;25031;Besançon;Région Bourgogne - Franche-Comté;['Equipement industriel', 'Machines-outils', 'Mécanique'];Acquisition d'équipements pédagogiques pour les lycées de Bourgogne-Franche-Comté - Instrument de mesure - lot 1 : Machine de mesure tridimentionnelle - lot 2 : Bras de mesure mobile 6 axes;non;cmp2006;fns;appeloffre;initial;non;2019-09-16
19-140122;27307;Bernay;COMMUNE DE BERNAY;['Menuiserie', 'Vitrerie'];Le marché a pour objet le remplacement des portes, porte-fenêtres et fenêtres extérieures de l'école élémentaire Paul Bert située 2 rue de la Concorde à Bernay.;non;cmp2006;fns;appeloffre;initial;non;2019-09-16
19-140141;27307;Bernay;COMMUNE DE BERNAY;"['Audiovisuel', 'Monuments historiques', 'Equipement muséographique', ""Assistance à maîtrise d'ouvrage"", 'Evénementiel']";Le marché a pour objet l'accompagnement de la Collectivité dans la programmation et le projet d'aménagement d'un CIAP et dans la conception d'un projet de mapping.;non;cmp2006;fns;appeloffre;initial;non;2019-09-16
19-140111;27930;Guichainville;SIEGE 27;['Etude'];Conseil, assistance à maîtrise d'ouvrage financière, patrimoniale et juridique dans le cadre du renouvellement du cahier des charges de concession du Service Public de l'électricité;non;cmp2006;fns;appeloffre;initial;non;2019-09-16
19-139155;30105;Alès;Alès Agglomération;['Denrées alimentaires'];fourniture et livraison de denrées alimentaires pour la cuisine centrale de la commune de saint christol-lez-alès;non;cmp2006;fns;appeloffre;initial;non;2019-09-16
19-139548;30947;Nîmes Cedex 9;Ville de Nîmes;['Informatique (prestations de services)', 'Vidéo, cinéma', 'Evénementiel'];musée de la romanité - exposition temporaire - l'empereur romain, un mortel parmi les dieux - conception et réalisation des audiovisuels et des multimédias;non;cmp2006;fns;appeloffre;initial;non;2019-09-16
19-140224;33081;Bordeaux cedex;SDIS 33 Gironde;['Maintenance'];Marché d'entretien, de maintenance et de fournitures d'extincteurs et équipements associés sur l'ensemble des sites et les véhicules du SDIS 33;non;cmp2006;fns;appeloffre;initial;non;2019-09-16
19-140280;33290;Blanquefort;EPLEFPA BORDEAUX GIRONDE;"['Restauration collective', 'Denrées alimentaires', ""Produits de l'agriculture"", 'Végétaux']";Accord-cadre pour achat de fruits et légumes à état frais;non;cmp2006;mapa;appeloffre;initial;oui;2019-09-16
19-140130;34068;Montpellier cedex 2;CARSAT LANGUEDOC ROUSSILLON;['Assistance juridique'];Représentation de la Carsat LR devant les juridictions du contentieux de la sécurité sociale (Pôle social du TGI-Cour d'Appel) ainsi que devant les juridictions civiles et pénales pour les litige;non;cmp2006;fns;appeloffre;initial;non;2019-09-16
19-140103;34137;MAUGUIO;COMM D AGGLOMERATION DU PAYS DE L OR;['Prestations de services'];ÉTABLISSEMENT DU DOSSIER DE DEMANDE D'AUTORISATION DE TRAITEMENT ET DISTRIBUTION D'EAU DESTINÉE A LA CONSOMMATION HUMAINE A PARTIR DE L'USINE DE POTABILISATION DE VAUGUIERES LE BAS.RELA;non;cmp2006;mapa;appeloffre;rectificatif;non;2019-09-16
19-140189;44471;Carquefou Cedex;Ville de Carquefou;['Véhicules (acquisition)'];Acquisition de véhicules neufs;non;cmp2006;fns;appeloffre;initial;non;2019-09-16
19-140085;45945;Orléans;Département du Loiret;['Prestations de services'];Prélèvements et analyses physico-chimiques d'eaux superficielles des aménagements routiers et collecte, transport et analyses physico-chimiques d'eaux résiduaires;non;cmp2006;fns;appeloffre;initial;non;2019-09-16
19-140198;49408;Saumur Cedex;CA SAUMUR VAL DE LOIRE;"[""Maîtrise d'oeuvre""]";Maîtrise d'oeuvre pour la restauration du barrage des Nobis à Montreuil Bellay (dép 49);non;cmp2006;mapa;appeloffre;initial;non;2019-09-16
19-140108;50050;Saint-lô cedex;Conseil départemental de la Manche;['Voirie'];RD 42 - Travaux d'aménagement de voirieCommune d'Eroudeville;non;cmp2006;fns;attribution;initial;non;2019-09-16
19-140143;50305;Avranches Cédex;CA Mont Saint Michel - Normandie;['Site internet', 'Logiciel', 'Progiciel'];Fourniture, mise en oeuvre et maintenance d'un système intégré de gestion des Bibilothèques et d'un Portail WEB en interopérabilité avec le SIGB;non;cmp2006;mapa;appeloffre;rectificatif;non;2019-09-16
19-140176;56006;Vannes CEDEX;Ville de Vannes;['Nettoyage de locaux'];prestations d'entretien des locaux de la résidence kérizac à vannes pour le compte du ccas de la ville de vannes (rectificatif);oui;cmp2006;fns;appeloffre;rectificatif;oui;2019-09-16
19-140240;62420;Billy montigny;B R G M;['Chaudronnerie', 'Maintenance', 'Métallerie', 'Prestations de services'];Maintenance d'équipements de prévention des risques miniers dans le Bassin houiller Nord Pas-de-Calais;non;cmp2006;mapa;appeloffre;initial;non;2019-09-16
19-140109;63031;Clermont ferrand;Caisse Primaire d'Assurance Maladie 63;['Impression'];Services d'impression des supports de communication;non;cmp2006;fns;attribution;initial;non;2019-09-16
19-140194;63410;Manzat;CTE CMES COMBRAILLES SIOULE ET MORGE;['Espaces verts'];st remy de blot travaux d'aménagements et d'espaces verts dans le bourg;non;cmp2006;mapa;appeloffre;initial;non;2019-09-16
19-140253;65000;TARBES;VILLE DE TARBES;['Eclairage public', 'Végétaux', 'Voirie et réseaux divers'];AMÉNAGEMENT DE L'ENTRÉE D'HONNEUR DES HARAS - AVENUE DU RÉGIMENT DE BIGORRE;non;cmp2006;fns;appeloffre;initial;non;2019-09-16
19-140081;67002;Strasbourg Cedex;Port Autonome de Strasbourg;['Etude'];Etude de Marché - Création d'un HUB Ferroviaire;non;cmp2006;fns;appeloffre;initial;non;2019-09-16
19-140208;67002;Strasbourg Cedex;Port Autonome de Strasbourg;['Mur de soutènement'];Fermeture du petit SAS de l'Ecluse Nord;non;cmp2006;fns;appeloffre;initial;non;2019-09-16
19-140112;67213;Obernai cedex;Ville d'Obernai;['Informatique (matériel)', 'Informatique (prestations de services)', 'Informatique (assistance)', 'Informatique (maintenance serveurs et réseaux)'];Remplacement et modernisation de l'infrastructure Systèmes et Réseaux;non;cmp2006;fns;appeloffre;initial;non;2019-09-16
19-140243;68024;Colmar;Hopitaux Civils de Colmar;['Maintenance'];Maintenance des équipements de Haute Tension et Disjoncteurs Basse Tension;non;cmp2006;fns;appeloffre;initial;non;2019-09-16
19-140231;69290;Saint Genis les Ollières;Ville de Saint Genis les Ollières;['Assurance'];SERVICES ASSURANCES;non;cmp2006;mapa;appeloffre;initial;non;2019-09-16
19-140252;69390;Vourles;Commune de Vourles;['Chauffage (travaux)', 'Electricité (travaux)', 'Menuiserie', 'Peinture (travaux)', 'Ravalement'];Travaux de réhabilitation école de musique à Vourles;non;cmp2006;mapa;appeloffre;initial;non;2019-09-16
19-140080;69655;Villefranche sur saone;C.H. de Villefranche-sur-Saône;['Consommables médicaux'];Fourniture d'accessoires et consommables pour les ventilateurs;non;cmp2006;fns;appeloffre;initial;non;2019-09-16
19-140241;74203;Thonon les bains cedex;SERTE de Thonon les Bains;['Véhicules', 'Fourrière'];Enlèvement et mise en fourrière des véhicules laissés en stationnement gênant ou dangereux, des véhicules abandonnés à l'état d'épave et des véhicules laissés sans droit dans les lieux publi;non;cmp2006;fns;appeloffre;initial;non;2019-09-16
19-140270;74970;MARIGNIER;Ville de Marignier;['Espaces verts'];PRESTATIONS D'ENTRETIEN DES TERRAINS NATURELS DE FOOTBALL;non;cmp2006;fns;appeloffre;initial;non;2019-09-16
19-140200;75010;Paris;DIR INTERREGIONALE DOUANES IDF;['Crédit-bail'];Location de salles équipées afin d'organiser pour le compte de la Direction Interrégionale des Douanes d'Île-de-France, les épreuves écrites des concours de la DGDDI;non;cmp2006;fns;appeloffre;initial;non;2019-09-16
19-140215;75582;Paris cedex 19;Grand Paris Aménagement;['Voirie et réseaux divers'];Travaux d'aménagement de la voie de la Ratelle à Saint-Cyr l'Ecole (78);non;cmp2006;fns;appeloffre;initial;non;2019-09-16
19-140284;76067;Le havre cedex;GPMH au Havre;['Location (matériels)'];LOCATION D'UN ENGIN NAUTIQUE;non;cmp2006;fns;attribution;initial;non;2019-09-16
19-140083;77186;Noisiel;Ville de Noisiel;['Transport'];prestations de transport en autocar avec chauffeur;non;cmp2006;fns;appeloffre;annulation;non;2019-09-16
19-140120;78013;Versailles;Section Technique de l'armée de terre;['Location (matériels)'];location d'un système périmétrique 'evta binome robot-drone rondier';non;cmp2006DEFENSE;fns;appeloffre;initial;non;2019-09-16
19-140131;78103;Saint-germain-en-laye cedex;S.D.N.C.;['Papeterie'];Fourniture de consommables destinés à la confection de timbres encreurs par le SDNC.;non;cmp2006;fns;appeloffre;initial;non;2019-09-16
19-140145;80000;Amiens;COMMUNAUTE AGGLO AMIENS METROPOLE;['Equipement hydraulique', 'Réseaux divers'];fourniture et livraison d'équipements de télégestion et de pièces détachées de marque sofrel ou compatibles avec la marque;non;cmp2006;mapa;appeloffre;initial;non;2019-09-16
19-136204;80200;Péronne;COMMUNAUTE DE COMMUNES DE LA HTE SOMME;['Carburant, hydrocarbure', 'Démolition', 'Amiante (désamiantage)'];demolition site industriel 'ex flodor' - route de barleux a peronne (80200) (3 lots);non;cmp2006;fns;appeloffre;initial;non;2019-09-16
19-140114;80300;Albert;Mairie d'Albert;['Assurance'];assurance automobile et risques annexes;non;cmp2006;fns;attribution;initial;non;2019-09-16
19-136963;82303;Caussade Cedex;Ville de Caussade;"[""Maîtrise d'oeuvre"", 'Réseaux divers', 'Voirie']";maîtrise d'oeuvre - réseaux et programmes annuels de voirie pour la commune de caussade.;non;cmp2006;fns;appeloffre;initial;non;2019-09-16
19-138625;84045;Avignon cedex 9;Ville d'Avignon;['Denrées alimentaires'];Achats de légumes 4ème gamme issus de l'agriculture raisonnée et biologique, sans additifs ni conservateurs chimiques 2019-2020;oui;cmp2006;fns;attribution;initial;oui;2019-09-16
19-138440;84045;Avignon cedex 09;Ville d'Avignon;['Dragage'];dragage du rhône au niveau des pontons de la société nautique d'avignon;non;cmp2006;fns;attribution;initial;oui;2019-09-16
19-140089;87031;LIMOGES CEDEX 1;COMMUNE DE LIMOGES;['Articles funéraires, cercueil'];Relance FOURNITURE DE REGISTRES DE CONDOLEANCES, DE BOITES A DONS, DE HOUSSES ET FILMS BIODEGRADABLES, DE GUIDES DES DEMARCHES APRES DECES POUR LE SERVICE FUNERAIRE MUNICIPAL;non;cmp2006;mapa;attribution;initial;non;2019-09-16
19-140084;88130;FLOREMONT;SYNDICAT DES EAUX DU HAUT DU MONT;['Alimentation en eau potable'];Travaux d'alimentation en eau potable;non;cmp2006;fns;appeloffre;initial;non;2019-09-16
19-140222;92532;Levallois-Perret Cedex;Hauts-de-Seine Habitat - OPH;['Electricité (travaux)', 'Gros oeuvre', 'Plomberie (travaux)', 'Ventilation'];TRAVAUX ALLOTIS DE RESTRUCTURATION DE LOGEMENTS SITUES AU 4, PLACE DE LA GARE DES VALLÉES LA GARENNE COLOMBES.LOT 1 : GROS OEUVRE LOT 2 : PLOMBERIE / VENTILATION / CHAUFFAGELOT 3 : Electricité;non;cmp2006;fns;attribution;initial;non;2019-09-16
19-140150;93400;Saint-ouen;REGION ILE DE FRANCE;"[""Tous corps d'état""]";Travaux de fermeture du parvis ouvert et travaux connexes du Lycée Sonia Delaunay à Villepreux (78);non;cmp2006;fns;appeloffre;rectificatif;non;2019-09-16
19-140110;94300;Vincennes;Ville de Vincennes;['Démolition', 'Amiante (désamiantage)'];Travaux de démolition et dépollution de la Cité industrielle 106/108 rue de la Jarry - Vincennes.;oui;cmp2006;fns;appeloffre;initial;oui;2019-09-16
19-127828;95490;Vauréal;Commune de Vaureal;['Espaces verts'];prestations d'abattage et d'élagage;non;cmp2006;fns;appeloffre;initial;oui;2019-09-16
19-140264;95700;ROISSY EN FRANCE;COMMUNAUTE D AGL ROISSY PAYS DE FRANCE;['Prestations de services'];Numéro de la consultation : 19048 Réalisation des dossiers d'autorisation environnementale unique en vue du renouvellement des arrêtés préfectoraux autorisant les stations d'épuration de Sou;non;cmp2006;fns;attribution;initial;non;2019-09-16
19-139903;97306;Cayenne cedex;DEAL de Guyane;"[""Maîtrise d'oeuvre"", ""Ouvrage d'art""]";Mission de maîtrise d'oeuvre relative à la construction du nouveau pont du Larivot en Guyane;non;directive24;joue;attribution;initial;oui;2019-09-16
19-135194;None;Seurre;Communauté de Communes Rives de Saône;['Assainissement'];concession du service public de l'assainissement collectif et non collectif;non;dsp;dsp;attribution;initial;non;2019-09-16
