a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
19-144936,2019-09-24,2019-10-18,['10'],Fourniture et livraison d'un véhicule de décapage haute pression eau chaude avec système de réaspiration-.,fns,cmp2006,appeloffre,initial,MAIRIE DE TROYES,10000,TROYES,['Equipement industriel'],[112],non,non
19-143973,2019-09-24,2019-10-25,['10'],"fourniture de plaques de rues, plaques inaugurales, plaques de numéros de rues et accessoires - relance",mapa,cmp2006,attribution,initial,Ville de Troyes,10026,Troyes Cedex,['Panneaux'],[261],non,non
19-145021,2019-09-24,2019-11-25,['10'],Assurance statutaire du personnel hospitalier,mapa,cmp2006,appeloffre,initial,EHPAD Résidence de la Noxe,10370,VILLENAUXE LA GRANDE,['Assurance'],[20],non,non
19-144680,2019-09-24,2019-10-03,['11'],prestations de sonorisation (rectificatif),fns,cmp2006,appeloffre,rectificatif,COMMUNE DE NARBONNE,11108,Narbonne Cedex,['Sonorisation'],[324],non,non
19-144531,2019-09-24,2019-12-24,['11'],Acquisition de structures scéniques,fns,cmp2006,attribution,initial,COMMUNE DE CARCASSONNE,11835,Carcassonne cedex 9,['Matériel scénique'],[216],non,non
19-144700,2019-09-24,2019-10-24,['11'],Gestion Technique de la Fabrique des Arts,fns,cmp2006,attribution,initial,CARCASSONNE AGGLO,11890,Carcassonne Cedex 9,['Maintenance'],[196],non,non
19-145165,2019-09-24,2019-10-17,['12'],assurances de la commune NANT,mapa,cmp2006,appeloffre,initial,Mairie de NANT,12230,NANT,['Assurance'],[20],non,non
19-144782,2019-09-24,2019-10-15,"['13', '84', '83']","Le présent accord-cadre a pour objet la réalisation de prestations d'ingénierie électrique, instrumentation et automatismeIl s'agit d'un accord-cadre de services au sens des articles",fns,cmp2006,appeloffre,initial,METROPOLE D AIX MARSEILLE PROVENCE,13007,Marseille,"['Automatisation', 'Maintenance', 'Matériel électrique']","[14, 196, 203]",non,non
19-144733,2019-09-24,2019-10-04,['13'],Travaux de réhabilitation de la conduite d'alimentation en eau potable principale de Port-Saint-Louis-du-Rhône située en encorbellement sous l'emprise foncière de réseau ferrée de France,fns,cmp2006,appeloffre,rectificatif,METROPOLE D AIX MARSEILLE PROVENCE,13007,Marseille,['Réseaux divers'],[306],non,non
19-145052,2019-09-24,2019-10-14,['13'],FOURNITURE DE MATÉRIELS NEUFS POUR L'ENTRETIEN DE TERRAINS SPORTIFS DE LA VILLE D'AIX EN PROVENCE,mapa,cmp2006,appeloffre,initial,COMMUNE D AIX EN PROVENCE,13100,Aix-en-Provence,['Terrain de sport'],[342],non,non
19-144674,2019-09-24,2019-10-08,['84'],"Travaux de mise en conformité PMR des CFAR Campus d'Avignon, de Gap, de la Seyne sur Mer - CMAR PACA",fns,cmp2006,attribution,initial,CMAR PACA,13295,Marseille Cedex 8,"['Ascenseur', 'Electricité (travaux)', 'Gros oeuvre', 'Peinture (travaux)', 'Plomberie (travaux)']","[17, 105, 144, 264, 270]",non,non
19-145029,2019-09-24,2019-10-15,"['83', '4', '6', '13', '84']",MARCHE DE TRAVAUX PORTANT SUR LA MODERNISATION DES ASCENSEURS ET DE L'ELEVATEUR DE L'HOTEL DE POLICE DE TOULON (VAR),fns,cmp2006,appeloffre,initial,SGAP de Marseille,13311,Marseille cedex 14,['Ascenseur'],[17],non,oui
19-144941,2019-09-24,2019-10-17,['13'],Aménagement de la nouvelle école de musique,fns,cmp2006,appeloffre,rectificatif,Mairie de Pélissanne,13330,Pelissanne,"['Charpente', 'Chauffage (travaux)', 'Gros oeuvre', 'Peinture (travaux)', 'Plomberie (travaux)']","[57, 61, 144, 264, 270]",non,non
19-144543,2019-09-24,2019-10-18,['13'],Fournitures de pains et autres produits de boulangerie pour la Ville de Pélissanne,fns,cmp2006,appeloffre,initial,Mairie de Pélissanne,13330,Pelissanne,['Denrées alimentaires'],[88],non,non
19-145100,2019-09-24,2019-10-09,['13'],FOURNITURE ET LIVRAISON DE COLIS DE NOËL POUR LES ANCIENS DE LA VILLE DE MARIGNANE 67 ANS ET PLUS - ANNÉE 2019,mapa,cmp2006,appeloffre,initial,CENTRE COMMUNAL D ACTION SOCIALE,13700,Marignane,['Colis'],[65],non,non
19-144611,2019-09-24,2019-10-25,['13'],"Marché de prestations de services relatif au transport par autocars avec chauffeur d'enfants, d'adolescents, d'adultes, de personnes retraitées avec accompagnateurs pour la commune de L",fns,cmp2006,appeloffre,initial,COMMUNE DE LA CIOTAT,13708,La ciotat cedex,['Transport'],[347],non,non
19-144732,2019-09-24,2019-11-04,['14'],Assistance à maîtrise d'ouvrage pour le diagnostic de pollution des sols du projet de reconstruction du CHU de CAEN et les travaux de dépollution des sols de l'ancienne blanchisserie du site,fns,cmp2006,appeloffre,initial,CENTRE HOSPITALIER UNIVERSITAIRE,14033,Caen,['Etude'],[118],non,non
19-143922,2019-09-24,2019-10-25,"['14', '50']",Missions de géomètre - Zones portuaires de Cherbourg et de Caen-Ouistreham,joue,directive24,appeloffre,initial,Ports Normands Associés,14280,Saint-contest,['Prestations de services'],[274],non,non
19-144580,2019-09-24,2019-11-26,['15'],Réfection des complexes d'étanchéité en toitures terrasses inaccessibles,fns,cmp2006,attribution,initial,Conseil départemental du Cantal,15015,AURILLAC CEDEX,['Couverture'],[74],non,non
19-144944,2019-09-24,2019-10-09,['15'],"Mission géotechnique G5 + G1 de suivi des mesures de mise en sécurité des sites naturels suite aux préconisations du plan de prévention risques "" mouvements de terrain """,mapa,cmp2006,appeloffre,initial,Commune de Saint-Flour,15100,Saint flour,['Etude'],[118],non,non
19-144191,2019-09-24,2019-10-22,['17'],acquisition d'équipements de commutation pour les sites du département de la charente-maritime,fns,cmp2006,appeloffre,initial,Cons. Départ. de la Charente-Maritime,17076,La Rochelle cedex 9,['Informatique (matériel)'],[162],non,non
19-131455,2019-09-24,2019-10-14,['17'],"formation des assistants familiaux - interventions en formation initiale et permanente ainsi que dans le cadre du stage préparatoire à l'accueil d'enfant, de janvier à décembre 2020 - 18 lots",mapa,cmp2006,appeloffre,initial,Cons. Départ. de la Charente-Maritime,17076,La Rochelle Cedex 9,['Formation'],[410],non,non
19-144707,2019-09-24,2019-10-11,['17'],Numéro de la consultation : 2019.TX.GTPB.0271 STADE FRANCOIS LE PARCO - REPRISE DES BETONS DEGRADES,fns,cmp2006,appeloffre,initial,VILLE LA ROCHELLE,17086,La Rochelle,['Maçonnerie'],[195],non,non
19-144878,2019-09-24,2019-10-11,['17'],Numéro de la consultation : 2019.TX.GTPB.0279 CITE ADMINISTRATIVE PIERRE LOTI - AMENAGEMENT DE BUREAUX,fns,cmp2006,appeloffre,initial,VILLE LA ROCHELLE,17086,La Rochelle,"['Chauffage (travaux)', 'Electricité (travaux)', 'Peinture (travaux)', 'Plomberie (travaux)']","[61, 105, 264, 270]",non,non
19-143891,2019-09-24,2019-11-24,"['17', '16', '86', '79']",Désherbage des trottoirs sur la commune de Saintes - marché réservé (article 36-II de l'ordonnance no2015-899 du 23 juillet 2015 relative aux marchés publics),joue,directive24,attribution,initial,Commune de Saintes,17100,Saintes,['Prestations de services'],[274],non,non
19-144932,2019-09-24,2019-11-08,['17'],Mission de maîtrise d'oeuvre pour des travaux de réfection du réseau chauffage/climatisation du siège social de la MSA des Charentes,mapa,cmp2006,appeloffre,initial,MSA DES CHARENTES,17106,Saintes,['Chauffage (travaux)'],[61],non,non
19-145227,2019-09-24,2019-10-14,['17'],Numéro de la consultation : PATVX18 TRAVAUX POUR LA CREATION D'UN TIERS-LIEU SUR LE PORT DE MARANS - LOT 1 : DESAMIANTAGE,fns,cmp2006,appeloffre,initial,CDC AUNIS ATLANTIQUE,17230,Marans,"['Couverture', 'Démolition']","[74, 87]",non,non
19-144535,2019-09-24,2019-10-21,['17'],Marché de travaux relatif aux travaux de restauration générale de l'église Saint Pierre de Champagnolles (17),fns,cmp2006,appeloffre,initial,COMMUNE DE CHAMPAGNOLLES,17240,Champagnolles,"['Charpente', 'Chauffage (travaux)', 'Couverture', 'Clocher', 'Electricité (travaux)', 'Maçonnerie', 'Menuiserie', 'Monuments historiques', 'Peinture (travaux)', 'Vitraux']","[57, 61, 74, 80, 105, 195, 222, 236, 264, 418]",non,non
19-144625,2019-09-24,2019-12-22,['17'],Séparation du réseau RIA au Pôle Rochefort Atlantique,fns,cmp2006,attribution,initial,CA ROCHEFORT OCEAN,17304,ROCHEFORT,['Sécurité incendie'],[332],non,non
19-144750,2019-09-24,2019-10-18,"['6', '4', '83']",Reconstruction de restanques - Site du Mont Vinaigrier - Commune de Nice (06),mapa,cmp2006,appeloffre,initial,Conservatoire du littoral,17306,Rochefort cédex,['Mur de soutènement'],[233],non,oui
19-145084,2019-09-24,2019-10-22,"['17', '16', '85', '33', '79']",Elaboration du plan de gestion du site de Bonne ANSE - Commune des Mathes - La Palmyre (Charente Maritime),mapa,cmp2006,appeloffre,initial,Conservatoire du littoral,17306,Rochefort cédex,['Ingénierie'],[455],non,oui
19-145015,2019-09-24,2019-10-26,"['20A', '20B', '83', '6']",Travaux de restauration des zones incendiées de Ventilegne - Commune de Bonifacio (2A),mapa,cmp2006,appeloffre,initial,Conservatoire du littoral,17306,Rochefort cédex,"['Passerelle', 'Plage', 'Terrassement']","[286, 289, 341]",non,non
19-144930,2019-09-24,2019-10-28,['18'],Etudes techniques préalables à l'avis de l'hydrogéologue agrée : création de deux forages de reconnaissance et de piézomètres,fns,cmp2006,appeloffre,initial,COMMUNAUTE AGGLOMERATION BOURGES PLUS,18000,BOURGES,['Etude'],[118],non,non
19-144593,2019-09-24,2019-10-08,['18'],Acquisition de véhicules utilitaires d'occasion,mapa,cmp2006,appeloffre,initial,Ville de Bourges,18000,BOURGES,['Véhicules (acquisition)'],[475],non,non
19-144612,2019-09-24,2019-11-04,['18'],Maintenance des pompes de relevage et entretien des réseaux,fns,cmp2006,appeloffre,initial,Ville de Bourges,18000,BOURGES,['Réseaux divers'],[306],non,non
19-145054,2019-09-24,2019-10-16,['18'],Assistance à maîtrise d'ouvrage pour la réalisation du Schéma directeur du chauffage urbain,mapa,cmp2006,appeloffre,initial,Ville de Bourges,18000,BOURGES,"['Chauffage (exploitation, entretien)', ""Assistance à maîtrise d'ouvrage""]","[59, 433]",non,non
19-144928,2019-09-24,2019-10-21,"['18', '3', '36', '58']",Contrat de prestations d'assurance statutaire (base : décès - accident du travail - maladie professionnelle - congé longue maladie - congé longue durée - temps partiel thérapeutique).,mapa,cmp2006,appeloffre,initial,CENTRE COMMUNAL D ACTION SOCIALE,18200,Saint-amand-montrond,['Assurance'],[20],non,non
19-144641,2019-09-24,2019-10-14,['19'],Étude de potentiel et stratégie d'accompagnement de la filière hydrogène décarboné sur la Corrèze.,mapa,cmp2006,appeloffre,initial,DEPARTEMENT DE LA CORREZE,19005,Tulle cedex,['Etude'],[118],non,non
19-144219,2019-09-24,2019-11-15,['20A'],le projet concerne la réhabilitation de l'école d'acqua doria en salle de sport.,fns,cmp2006,appeloffre,initial,Commune de Coti Chiavari,20138,Coti Chiavari,"['Assainissement', 'Chauffage (travaux)', 'Electricité (travaux)', 'Gros oeuvre', 'Menuiserie', 'Métallerie', 'Peinture (travaux)', 'Plâtrerie', 'Plomberie (travaux)', 'Revêtements de sols', 'Amiante (désamiantage)']","[18, 61, 105, 144, 222, 223, 264, 269, 270, 308, 479]",non,non
19-144963,2019-09-24,2019-10-15,['20A'],Numéro de la consultation : 2019-DSI-0368 Assistance à maîtrise d'ouvrage pour l'élaboration d'un plan d'action égalité hommes-femmes 2020-2023,fns,cmp2006,appeloffre,initial,COLLECTIVITE DE CORSE,20187,AJACCIO,['Etude'],[118],non,non
19-145107,2019-09-24,2019-10-28,['20B'],Animation du projet alimentaire territorial ' mieux vivre et manger dans le Fium'orbu Castellu '.,fns,cmp2006,appeloffre,initial,Cté de Communes Fium'Orbu-Castellu,20240,Ghisonaccia,['Etude'],[118],non,non
19-143987,2019-09-24,2019-10-30,['20A'],Prestation d'agence de voyage,joue,directive24,appeloffre,initial,centre hospitalier ajaccio,20303,AJACCIO,['Voyage'],[367],non,non
19-144958,2019-09-24,2019-10-18,['20A'],Numéro de la consultation : AV19/055 Fourniture de consommables informatiques pour le parc d'imprimantes de la Ville d'Ajaccio,fns,cmp2006,appeloffre,initial,COMMUNE D AJACCIO,20304,Ajaccio,['Consommables informatiques'],[68],non,non
19-141449,2019-09-24,2019-10-24,['22'],fourniture d'équipements de musculation pour la halle d'athlétisme de saint-brieuc,mapa,cmp2006,appeloffre,initial,Saint-Brieuc Agglomération,22000,Saint Brieuc,['Equipement sportif'],[113],non,non
19-144787,2019-09-24,2019-10-18,['22'],Etude pour l'élaboration du schéma directeur des modes actifs de la ville de paimpol,mapa,cmp2006,appeloffre,initial,Ville de Paimpol,22500,PAIMPOL,['Etude'],[118],non,non
19-145191,2019-09-24,2019-10-08,['23'],Acquisition d'équipements des espaces de la Quincaillerie Numérique de la Communauté d'Agglomération du Grand Guéret située 22 avenue Charles de Gaulle - 23000 Guéret (Mobilier sur mesure et,fns,cmp2006,appeloffre,initial,CA DU GRAND GUERET,23006,GUERET Cedex,"['Cuisine (équipement)', 'Mobilier']","[77, 230]",non,non
19-145168,2019-09-24,2019-10-18,['23'],Souscription des contrats d'assurance de la Commune d'EVAUX LES BAINS,mapa,cmp2006,appeloffre,initial,Ville d'Evaux Les Bains,23110,EVAUX LES BAINS,['Assurance'],[20],non,non
19-143902,2019-09-24,2019-10-30,['23'],Marché de maîtrise d'oeuvre portant sur la construction d'une usine de traitement de l'eau,joue,directive25,appeloffre,initial,SIAEP VALLEE DE LA CREUSE,23220,BONNAT,"[""Maîtrise d'oeuvre""]",[197],non,non
19-144007,2019-09-24,2019-11-30,"['25', '21', '39', '58', '70', '71', '89', '90']","Fourniture de cafés solubles, thés, tisanes, chocolat, laits en poudre pour le groupement de commande alimentaire dont le coordonateur est le CHU de Besançon",joue,directive24,appeloffre,initial,CENTRE HOSPITALIER REGIONAL UNVT,25030,Besançon,['Denrées alimentaires'],[88],non,non
19-144845,2019-09-24,2019-11-05,['25'],MAINTENANCE DES INSTALLATIONS DE DETECTION INCENDIE ET DE DESENFUMAGE,mapa,cmp2006,appeloffre,initial,SDIS25,25042,Besançon,['Détection incendie'],[90],non,non
19-144614,2019-09-24,2019-10-28,"['25', '70', '90']",Mission de maîtrise d'oeuvre - Restructuration du Centre Lou Blazer - Regroupement d'associations,fns,cmp2006,appeloffre,initial,COMMUNE DE MONTBELIARD,25205,MONTBELIARD CEDEX,"['Etude', ""Maîtrise d'oeuvre""]","[118, 197]",non,non
19-143935,2019-09-24,2019-10-25,['25'],Mission d'assistance à maîtrise d'ouvrage relative à l'accompagnement du Consortium porteur du projet 'Transformation d'un Territoire Industriel',joue,directive24,appeloffre,initial,Pays de Montbéliard Agglomération,25208,Montbeliard Cedex,"[""Assistance à maîtrise d'ouvrage""]",[433],non,non
19-145147,2019-09-24,2019-10-25,['25'],maîtrise d'oeuvre pour travaux de réparations Gymnase BARBIER,mapa,cmp2006,appeloffre,initial,COMMUNE D ORNANS,25290,ORNANS,['Ingénierie'],[455],non,non
19-144835,2019-09-24,2019-10-18,['25'],Réhabilitation et mise aux normes du bâtiment de l'Houtau.,fns,cmp2006,appeloffre,initial,COMMUNE DE ROUGEMONT,25680,Rougemont,"['Carrelage', 'Charpente', 'Cloison, faux plafond', 'Démolition', 'Electricité (travaux)', 'Gros oeuvre', 'Menuiserie', 'Plomberie (travaux)', 'Terrassement', ""Tous corps d'état""]","[53, 57, 63, 87, 105, 144, 222, 270, 341, 345]",non,non
19-144831,2019-09-24,2019-10-18,['25'],Réhabilitation du 2ème étage de la mairie.,fns,cmp2006,appeloffre,initial,COMMUNE DE ROUGEMONT,25680,Rougemont,"['Cloison, faux plafond', 'Démolition', 'Electricité (travaux)', 'Menuiserie', 'Plomberie (travaux)', ""Tous corps d'état"", 'Dépollution']","[63, 87, 105, 222, 270, 345, 442]",non,non
19-144794,2019-09-24,2019-10-18,['26'],RD 202 - PR9+583 - Reconstruction du pont sur un ruisseau dit 'Pont de Brame-Faim' - Commune de St Nazaire le Désert,fns,cmp2006,appeloffre,initial,Conseil Général de la Drôme,26021,VALENCE Cedex,"['Génie civil', ""Ouvrage d'art""]","[141, 252]",non,non
19-144779,2019-09-24,2019-10-23,['28'],"Travaux de rénovation des façades et mise aux normes du restaurant scolaire "" Aquitaine "", à Lucé",fns,cmp2006,appeloffre,initial,Ville de Lucé (28),28110,Lucé,"['Etanchéité', 'Menuiserie', 'Ravalement']","[117, 222, 299]",non,non
19-144842,2019-09-24,2019-11-06,['29'],"Contrôle des engins, appareils et accessoires de levage ou de chantier sur sites (Département du Finistère)",mapa,cmp2006,appeloffre,initial,Département du Finistère,29196,Quimper cedex,['Contrôle technique'],[72],non,non
19-144681,2019-09-24,2019-10-29,['29'],Prestations de comptages directionnels routiers et d'études de trafic sur le Département du Finistère,fns,cmp2006,appeloffre,initial,Département du Finistère,29196,Quimper cedex,['Etude'],[118],non,non
19-145172,2019-09-24,2019-10-07,['29'],Rénovation et maintenance décennale de la passerelle piétons (GO-GO) au port de commerce de Roscoff-bloscon.,fns,cmp2006,appeloffre,rectificatif,CCI METROPOLITAINE BRETAGNE OUEST,29679,Morlaix cédex,"['Electromécanique', 'Maintenance', 'Métallerie', 'Ouvrage hydraulique', 'Peinture (travaux)']","[107, 196, 223, 255, 264]",non,non
19-144685,2019-09-24,2019-10-04,['30'],Le présent avis de publicité renvoie au précédent no34410778 pour lequel le dossier de consultation n'est pas téléchargé sur la plate forme à destination des candidats.En effet suite à une erreu,fns,cmp2006,appeloffre,rectificatif,Ville d'Alès,30115,Alès,['Fourrière'],[451],non,non
19-144974,2019-09-24,2019-12-22,['30'],Travaux de construction d'une station de traitement des effluents vinicoles issus du chai expérimental du V'Innopôle Sud-ouest (81),fns,cmp2006,attribution,initial,Institut Français Vigne et Vin,30240,Le Grau-du-Roi,"[""Station d'épuration (travaux)""]",[328],non,non
19-144781,2019-09-24,2019-10-24,['30'],"Gardiennage du château de Beaucaire Exécution des missions d'ouverture/fermeture du site, surveillance, gardiennage et prévention,etc.. du Château de Beaucaire, afin d'assurer la sécurité de",fns,cmp2006,appeloffre,initial,CC BEAUCAIRE TERRE D ARGENCE,30300,Beaucaire,['Surveillance'],[331],non,non
19-145089,2019-09-24,2019-10-24,['30'],Travaux d'aménagement de la future maison médicale de Beaucaire (30).Il s'agit de la relance de la consultation no2019-09-027 déclarée sans suite pour des raisons spécifiques ne résultant,fns,cmp2006,appeloffre,initial,CC BEAUCAIRE TERRE D ARGENCE,30300,Beaucaire,"['Ascenseur', 'Charpente', 'Chauffage (travaux)', 'Cloison, faux plafond', 'Couverture', 'Démolition', 'Electricité (travaux)', 'Gros oeuvre', 'Menuiserie', 'Peinture (travaux)', 'Revêtements de sols', 'Serrurerie', ""Tous corps d'état"", 'Voirie et réseaux divers']","[17, 57, 61, 63, 74, 87, 105, 144, 222, 264, 308, 321, 345, 366]",non,non
19-139592,2019-09-24,2019-10-23,['30'],assurance de la flotte automobile de la ville de nîmes,joue,directive24,appeloffre,initial,Ville de Nîmes,30947,Nîmes,['Assurance'],[20],non,non
19-117878,2019-09-24,2019-10-25,"['31', '13', '95']",Travaux de rénovation du système de sécurité incendie,fns,cmp2006,appeloffre,initial,DSNA,31035,Toulouse Cedex 1,"['Détection incendie', 'Sécurité incendie']","[90, 332]",non,non
19-145096,2019-09-24,2019-10-26,['31'],"Fourniture, paramétrage et installation d'un système platine d'occupation des pistes au Bourget",fns,cmp2006,attribution,initial,DSNA,31035,Toulouse Cedex 1,"['Equipements spécialisés', 'Informatique (prestations de services)']","[115, 163]",non,non
19-144899,2019-09-24,2019-12-06,"['31', '12']",Le marché a pour objet des travaux de rénovation des chaufferies des Anciennes Facultés à Toulouse et du site de l'IUT de Rodez de l'UNIVERSITE TOULOUSE 1 - CAPITOLE.,fns,cmp2006,appeloffre,initial,Université Toulouse 1 Sciences Sociale,31042,Toulouse cedex 9,"['Chauffage (travaux)', 'Ventilation']","[61, 360]",non,non
19-144650,2019-09-24,2019-11-21,['31'],L'ENAC a pour objectif d'établir un marché à commande annuel reconductible pour la réalisation de travaux sur les installations de courants forts et de courants faibles de l'ensemble de,fns,cmp2006,appeloffre,initial,ENAC,31055,Toulouse cedex,['Electricité (travaux)'],[105],non,oui
19-144894,2019-09-24,2019-10-04,['31'],La présente consultation a pour objet la réalisation des travaux de mise en sécurité du socle du H2.,fns,cmp2006,appeloffre,rectificatif,CHU DE TOULOUSE,31059,Toulouse cedex 9,"['Amiante', 'Gros oeuvre']","[24, 144]",non,non
19-145101,2019-09-24,2019-10-21,['31'],"Le marché concerne des travaux relatifs à la création d'un ascenseur accessible PMR dans le bâtiment A0 sur le secteur santé, dans l'enceinte de l'Université Paul Sabatier à Toulouse (3",fns,cmp2006,appeloffre,initial,Université Paul Sabatier,31062,Toulouse,['Ascenseur'],[17],non,non
19-144525,2019-09-24,2019-10-19,['31'],PRESTATIONS DE SÉCURITÉ ET DE SURVEILLANCE,fns,cmp2006,appeloffre,initial,Ville de Launaguet,31140,Launaguet,['Gardiennage'],[138],non,non
19-145196,2019-09-24,2019-12-22,['31'],Marché d'assistance à maitrise d'ouvrage pour la mise en place de la TEOM incitative dans le cadre de l'optimisation de la collecte et projets associés(extension des consignes de tri/sé,mapa,cmp2006,attribution,initial,CC DU BASSIN AUTERIVAIN HAUT GARONNAIS,31190,AUTERIVE,"['Collecte sélective', ""Assistance à maîtrise d'ouvrage""]","[82, 433]",non,non
19-145195,2019-09-24,2019-12-22,['31'],Fourniture de pneumatiques et prestations associées,fns,cmp2006,attribution,initial,CC DU BASSIN AUTERIVAIN HAUT GARONNAIS,31190,AUTERIVE,['Pneumatiques'],[271],non,non
19-144669,2019-09-24,2019-10-18,"['31', '9']",Réhabilitation et transformation d'une maison familiale en immeuble collectif comprenant 14 studios PMR et un espace collectif (09300 Lavelanet - www.e-marchespublics.com),fns,cmp2006,appeloffre,rectificatif,SOLIHA Haute-Garonne,31400,Toulouse,"['Couverture', 'Démolition', 'Menuiserie']","[74, 87, 222]",non,non
19-143882,2019-09-24,2019-10-23,['34'],Fourniture (location) de constructions modulaires pour la relocalisation temporaire de la fonction arrivées sur l'Aéroport de Carcassonne Sud de France en Région Occitanie.,joue,directive24,attribution,initial,REGION OCCITANIE,31406,TOULOUSE,['Bâtiments modulaires'],[27],non,non
19-144803,2019-09-24,2019-12-22,['31'],AFFAIRE RENOVATION DES FAUTEUILS DU THEATRE DES MAZADES - AV/LM,fns,cmp2006,attribution,initial,COMMUNE DE TOULOUSE,31505,Toulouse,['Spectacle'],[472],non,oui
19-145051,2019-09-24,2019-10-15,['31'],19M136PA - DG/FP- ANALYSES RÉGLEMENTAIRES DES PRODUITS ISSUS DE LA PLATEFORME DE COMPOSTAGE DE DATURAS- ANNÉES 2019-2023,mapa,cmp2006,appeloffre,initial,TOULOUSE METROPOLE,31505,Toulouse,['Déchets non ménagers (prestations)'],[404],non,non
19-144955,2019-09-24,2019-10-21,['31'],Souscription des contrats d'assurance du CCAS de Blagnac,fns,cmp2006,appeloffre,initial,Ville de Blagnac,31700,BLAGNAC,['Assurance'],[20],non,non
19-143852,2019-09-24,2019-10-22,"['33', '40', '64', '17']",Fournitures de pièces détachées automobiles dites captives pour véhicules légers (vl),joue,directive24,appeloffre,initial,SGAP Sud Ouest,33041,Bordeaux,['Pièces détachées'],[266],non,non
