;a00_cle_idweb;g04_01_date_publication;d01_07_cp;d01_08_ville;d01_01_denomination;g04_052_descripteurs_libelles;g01_02_02_perimetre;g01_02_01_famille;g01_02_03_nature;g01_02_04_statut;g04_061_criteres_sociaux;g04_062_criteres_environnementaux;g04_09_resume_objet
39;19-142553;2019-09-21;25034;BESANCON;Ville de Besançon;['Impression'];autre;joue;rectificatif;rectificatif;non;non;Impression des magazines de la Ville de Besançon et de Grand Besançon Métropole (rectificatif)
40;19-142772;2019-09-21;26000;Valence;VALENCE ROMANS SUD RHONE-ALPES;['Transport'];directive24;joue;attribution;initial;non;non;182212 -Prestation De Transport Collectif Avec Chauffeur
41;19-142741;2019-09-21;26026;Valence;DEPARTEMENT DE LA DROME;"[""Tous corps d'état""]";directive24;joue;appeloffre;initial;non;non;Construction du nouveau collège de Saint Donat sur l'HerbasseLots 1 - 2 - 4 - 8 - 9 - 12 et 13
42;19-142782;2019-09-21;27004;EVREUX CEDEX;CA EVREUX PORTES DE NORMANDIE;['Gaz divers', 'Produits chimiques', 'Réactifs'];directive25;joue;attribution;initial;non;non;Fourniture de réactifs destinés à la production d'eau potable et à l'assainissement des eaux usées
43;19-142657;2019-09-21;28028;Chartres;Conseil général d'Eure et Loir;['Panneaux'];directive24;joue;appeloffre;initial;non;non;Fourniture et pose de signalétique de bâtiments et signalisation évènementielle
44;19-82476;2019-09-21;29196;Quimper Cedex;Département du Finistère;['Assistance technique'];directive24;joue;attribution;initial;oui;oui;assistance au conseil départemental dans le cadre du dispositif de l'accueil familial de personnes âgées et de personnes adultes handicapées
45;19-142707;2019-09-21;29200;Brest;SEMBREIZH;['Bâtiment'];autre;joue;rectificatif;rectificatif;oui;non;OP 18AGHH - Lycée Tristan Corbière à Morlaix - construction d'un bâtiment neuf
46;19-142669;2019-09-21;29240;Brest cedex 9;MINDEF/SCA/PFAF OUEST;['Equipements spécialisés', 'Mécanique'];directive24;joue;appeloffre;initial;non;non;Etude, réalisation et installation d'un banc d'épreuve hydrostatique
47;19-142877;2019-09-21;30900;Nimes;SITOM SUD GARD;['Prestations de services'];directive24;joue;appeloffre;initial;non;non;Valorisation des déchets végétaux broyés du Sitom Sud Gard issus des plateformes de broyage pour un gisement total d'environ 11 000 tonnes divisé en 3 lots géographiques
48;19-140178;2019-09-21;30947;Nîmes cedex 9;CA Nîmes Métropole;['Etude', 'Prestations de services', 'Ingénierie'];directive24;joue;appeloffre;initial;non;non;etude de faisabilite de l'amenagement hydraulique du ruisseau de la vallongue à bernis
49;19-142662;2019-09-21;31505;Toulouse;TOULOUSE METROPOLE;['Ingénierie'];directive24;joue;appeloffre;initial;non;non;Concours Pour L'Attribution D'Un Marche De Maitrise D'Oeuvre - Construction Du Batiment 'Spatioport' Pour Le Simulateur De Vol Spatial A La Cite De L'Espace - 19m198cr
50;19-142736;2019-09-21;33045;BORDEAUX;Bordeaux Métropole;['Bâtiment', 'Couverture'];directive24;joue;appeloffre;initial;non;non;Travaux acrobatiques
51;19-142694;2019-09-21;33045;BORDEAUX;Bordeaux Métropole;['Terrasse', 'Végétaux'];directive24;joue;appeloffre;initial;non;non;Travaux d'entretien des toitures terrasses et des murs et façades végétalisées
52;19-142864;2019-09-21;33074;Bordeaux;DEPARTEMENT DE LA GIRONDE;['Prestations de services'];directive24;joue;attribution;initial;non;non;Réalisation de contrôles de services fait (Csf) de dossiers de Fonds Social Européen (Fse)du programme opérationnel national emploi et inclusion (Axes Iii et Iv)
53;19-142588;2019-09-21;33600;Pessac;Atlandes;['Matériaux routiers'];directive24;joue;appeloffre;initial;non;non;A63-013
54;19-142872;2019-09-21;34074;Montpellier;ACM OPH de la CA de Montpellier;['Plomberie (travaux)'];directive24;joue;attribution;initial;non;non;Petits Travaux D'Entretien De Plomberie Et Astreinte Sur L'Ensemble Du Patrimoine D'Acm Habitat - 10 Lots
55;19-142670;2019-09-21;34087;Montpellier;Conseil départemental de l'Hérault;['Abonnement'];autre;joue;rectificatif;rectificatif;non;non;Fourniture Et Gestion D'Abonnements, De Revues, De Journaux Et Autres Publications Sur Tout Support Pour Les Besoins Du Département De L'Hérault
56;19-142903;2019-09-21;34200;Sete;CENTRE COMMUNAL D ACTION SOCIALE;['Prestations de services'];directive24;joue;appeloffre;initial;non;non;Réservation de 06 berceaux en structure multi accueil petite enfance
57;19-142786;2019-09-21;34295;Montpellier cedex 5;CHU DE MONTPELLIER;['Consommables médicaux'];directive24;joue;appeloffre;initial;non;non;Affaire no19A0269 - FOURNITURE DE DISPOSITIFS MEDICAUX STERILES DIVERS
58;19-142907;2019-09-21;34400;Lunel;Communauté de Communes Pays de Lunel;['Assurance'];directive24;joue;appeloffre;initial;non;non;Renouvellement des contrats d'assurances de la Communauté de Communes du Pays de Lunel: dommages aux biens, responsabilité civile, parc automobile.
59;19-142281;2019-09-21;34508;Béziers;Ville de Béziers;['Sanitaire'];directive24;joue;appeloffre;initial;non;non;Achat de vaccins
60;19-142820;2019-09-21;35031;RENNES CEDEX;Rennes Métropole;['Assainissement', 'Prestations de services', 'Transport'];directive24;joue;appeloffre;initial;non;non;Elaboration, actualisation, suivi et réalisation des plans d'épandage des boues et sables des stations d'épuration de Rennes Métropole - Programme 2020-2023
61;19-142878;2019-09-21;35033;Rennes cedex 9;CTRE HOSPITALIER UNIVERS PONTCHAILLOU;['Prestations de services'];directive24;joue;appeloffre;initial;non;non;Entretien et/ou location des articles textiles du Centre Hospitalier de Fougères.
62;19-142517;2019-09-21;35033;Rennes cedex 9;CTRE HOSPITALIER UNIVERS PONTCHAILLOU;['Produits pharmaceutiques'];directive24;joue;attribution;initial;non;oui;DISPOSITIFS MEDICAUX STERILES A VISEE VASCULAIRE INTERVENTIONNELLE
63;19-142229;2019-09-21;35711;Rennes cedex 7;Région Bretagne;['Equipements spécialisés'];autre;joue;rectificatif;rectificatif;non;non;Navire FROMVEUR II - Remplacement des deux lignes propulsives
64;19-142711;2019-09-21;35998;Rennes cedex 9;ESID de Rennes;['Prestations de services'];directive24;joue;attribution;initial;non;non;Département de l'Eure (27) - Accord cadre pour l'exécution de missions de chargé de sécurité pyrotechnique pour les sites soutenus par l'ESID de Rennes
65;19-142720;2019-09-21;37035;Tours cedex 9;UIOSS 37;['Maintenance'];directive24;joue;appeloffre;initial;non;non;Le marché concerne les installations techniques de l'immeuble de l'Union Immobilière des Organismes de Sécurité Sociale situé au 36 rue du Champ Girault à TOURS (37)
66;19-142701;2019-09-21;37044;Tours cedex 9;CENTRE HOSPITALIER REG UNVT DE TOURS;['Matériel médical'];directive24;joue;attribution;initial;non;non;Fourniture de consommables et solutions de substitutions pour hémofiltration, avec mise à disposition des générateurs, au CHRU de Tours
67;19-142467;2019-09-21;37044;Tours cedex 9;CENTRE HOSPITALIER REG UNVT DE TOURS;['Matériel médical'];directive24;joue;attribution;initial;non;non;Mise à disposition d'un automate pour la recherche d'altérations génétiques somatiques du gène EGFR sur l'ADN circulant pour les cancers broncho-pulmonaires, réactifs et maintenance ass
68;19-142904;2019-09-21;38036;Grenoble;Compagnie de Chauffage;['Plomberie (travaux)'];directive25;joue;appeloffre;initial;non;non;Remplacement de bouteilles de mélanges par des échangeurs à plaques et joints dans postes de livraison - réseau de chauffage urbain de l'Agglomération grenobloise - Accord cadre mu
69;19-142803;2019-09-21;38043;Grenoble cedex 09;CTRE HOSPITALIER UNVT GRENOBLE;['Equipements spécialisés'];autre;joue;rectificatif;rectificatif;non;non;Fourniture de matériels, matériaux, outillages, produits consommables et prestations associées pour les ateliers des services techniques du GHT Alpes Dauphiné
70;19-142431;2019-09-21;38600;FONTAINE;SDIS de l'Isère;"['Bâtiment', ""Maîtrise d'oeuvre"", 'Ingénierie']";directive24;joue;appeloffre;initial;non;non;Concours de maîtrise d'oeuvre pour la construction d'une caserne de sapeurs-pompiers et d'un centre d'entretien routier sur la commune de Vinay (38 470)
71;19-142603;2019-09-21;39400;Hauts-de-Bienne;COMMUNE DE HAUTS DE BIENNE;['Prestations de services'];directive24;joue;attribution;initial;non;non;"Mission de maîtrise d'oeuvre pour l'aménagement des berges de la Bienne, projet urbain "" l'Echappée Bienne """
72;19-142652;2019-09-21;40107;Dax cedex;Ville de Dax;['Canalisations', 'Equipement hydraulique'];directive25;joue;attribution;initial;non;non;Fourniture de tuyaux, raccords et accessoires
73;19-142889;2019-09-21;41020;Blois Cedex;CG Loir et Cher;['Autocommutateur'];directive24;joue;appeloffre;initial;non;non;Maintenance - extension des autocommutateurs gérés par le Conseil départemental
74;19-142620;2019-09-21;42055;Saint etienne cedex 02;CHU SAINT ETIENNE;"[""Produits d'entretien""]";autre;joue;rectificatif;rectificatif;non;non;DAL-DAH2019-32
75;19-142560;2019-09-21;45051;Orleans;SOC ECONOMIE MIXTE DVLPT ORLEANAIS S E;['Chauffage (travaux)', 'Démolition', 'Electricité (travaux)', 'Etanchéité', 'Gros oeuvre'];directive24;joue;attribution;initial;non;non;Travaux de restructuration du bâtiment B - J.Verdier & Cfa Est Loiret à Montargis (45 - Loiret)
76;19-142924;2019-09-21;46100;Figeac;SMBRC;"['Assistance technique', 'Etude', ""Maîtrise d'oeuvre"", 'Ingénierie']";autre;joue;rectificatif;rectificatif;non;non;Etude de mise en oeuvre des travaux de prévention des inondations sur le bassin du Riou Mort
77;19-142446;2019-09-21;49020;ANGERS;Angers Loire Métropole;['Publicité, Communication'];directive24;joue;attribution;initial;non;non;DISTRIBUTION ET AFFICHAGE DES SUPPORTS D'INFORMATION DE LA Ville d'Angers ET Angers Loire Métropole
78;19-142388;2019-09-21;49124;Saint Barthélemy d'Anjou;SAPL Angers Loire Restauration;['Restauration collective'];directive24;joue;appeloffre;initial;oui;oui;Fourniture de barquettes de conditionnement à usages alimentaires, films d'operculage et moules
79;19-142913;2019-09-21;49420;Ombrée d'Anjou;COMMUNE DE OMBREE D ANJOU;['Assurance'];directive24;joue;appeloffre;initial;non;non;Convention de participation pour la protection sociale complémentaire aux agents
80;19-142696;2019-09-21;51724;Reims cedex;Université de Reims Champagne Ardenne;['Ingénierie'];directive24;joue;attribution;initial;non;non;Mission d'assistance d'ingénierie du bâtiment relative aux opérations programmées par les services de l'Université de Reims Champagne-Ardenne
81;19-142402;2019-09-21;54035;Nancy cedex;CHRU de Nancy;['Laboratoire (fourniture)'];autre;joue;rectificatif;rectificatif;non;non;Biologie de l'histocompatibilité : Fourniture de réactifs, consommables, analyseurs, maintenance, solution logicielle d'analyse des données et connexion informatique
82;19-142831;2019-09-21;55012;BAR LE DUC CEDEX;Communauté agglo Bar le Duc Sud Meuse;['Collecte sélective', 'Ordures ménagères (prestations)', 'Transport'];directive24;joue;appeloffre;initial;non;non;Traitement des ordures ménagères résiduelles, le tri des recyclables et la collecte du verre en apport volontaire
83;19-142871;2019-09-21;57036;Metz;Ville de Metz;['Ingénierie'];directive24;joue;attribution;initial;non;non;Missions d'expertise et d'aide à la décision en cas de sinistre ou de péril
84;19-142643;2019-09-21;57036;Metz;Ville de Metz;['Electricité, gaz (fourniture)'];directive24;joue;appeloffre;initial;non;oui;Fourniture et acheminement d'électricité 100% verte alimentant les bâtiments municipaux et services associés
85;19-142558;2019-09-21;57036;Metz;DEPARTEMENT DE LA MOSELLE;['Electricité (travaux)', 'Menuiserie', 'Amiante (désamiantage)'];autre;joue;rectificatif;rectificatif;non;non;19s0117 - Dpi - Travaux dans divers collèges, bâtiments départementaux et Centres Moselle Solidarités du Département de la Moselle
86;19-142796;2019-09-21;57044;Metz cedex 1;Plate Forme Achats Finances Nord Est;['Nettoyage de locaux'];directive24;joue;appeloffre;initial;oui;non;Nettoyage des locaux et des vitres et plonge et nettoyage des locaux de plonge et locaux poubelles au profit du GSBdD de Strasbourg-Haguenau (CONTRAT SENSIBLE)
87;19-142709;2019-09-21;57044;Metz cedex 1;Plate Forme Achats Finances Nord Est;['Déneigement'];directive24;joue;appeloffre;initial;non;oui;Déneigement avec ou sans épandage au profit des formations militaires rattachées aux groupements de soutien des bases de défense (GSBdD) d'Épinal ? Luxeuil, de Nancy et de Strasbourg-Haguenau.
88;19-142607;2019-09-21;57085;Metz cedex 3;CHR METZ THIONVILLE;['Véhicules (location)'];autre;joue;rectificatif;rectificatif;non;non;LOCATION DE VEHICULES POIDS LOURDS DESTINES AU TRANSPORT DE CHARIOTS POUR LE CHR METZ-THIONVILLE LE GCS NORD LORRAINE UCPA ET LE CH DE BRIEY
89;19-142866;2019-09-21;57972;Yutz;COMMUNAUTE AGGLO PORTES DE FRANCE;['Berge', 'Espaces verts'];directive24;joue;attribution;initial;non;non;Accords-cadres pour l'entretien des berges de la Moselle
90;19-142631;2019-09-21;58287;Guesnain;S.P.L. S.T.A.D.;['Assurance'];directive24;joue;appeloffre;initial;non;non;COMPLEMENTAIRE SANTE POUR LES SALARIES DE LA STAD
91;19-142699;2019-09-21;59000;Lille;EuraTechnologies;['Prestations de services'];directive24;joue;appeloffre;initial;non;non;Prestations de service traiteur
92;19-142516;2019-09-21;59120;Loos;Etablissement Français du Sang;['Mobilier'];directive24;joue;attribution;initial;non;oui;Fourniture, montage et installation de mobilier sur les sites de l'EFS Hauts-de-France - Normandie
93;19-142713;2019-09-21;59386;Dunkerque cedex 1;Communauté Urbaine de Dunkerque;['Benne', 'Véhicules (acquisition)'];directive24;joue;attribution;initial;non;non;Acquisition de véhicules d'enlèvement des ordures ménagères - 2 lots
94;19-143783;2019-09-21;59427;Armentières cedex;Ville d'Armentières;['Illumination'];cmp2006;mapa;appeloffre;initial;non;non;Spectacle de Noël : descente du père Noël du haut du Beffroi et embrassement de l'Hôtel de Ville - Dimanche 08 décembre 2019 à 18h30
95;19-142893;2019-09-21;59700;Marcq en baoreul;Ville de Marcq-en-Baroeul;['Livres'];directive24;joue;appeloffre;initial;non;non;Fourniture de livres non scolaires pour la Ville de Marcq-en-Baroeul
96;19-142535;2019-09-21;59800;Lille;METROPOLE EUROPEENNE DE LILLE;['Prestations de services', 'Ingénierie'];directive24;joue;appeloffre;initial;non;non;Accord cadre pour la réalisation de prestations de maitrise d'oeuvre pour la réalisation de travaux d'assainissement sur le territoire de la MEL
97;19-142849;2019-09-21;60000;Beauvais;Communaute d'Agglo du Beauvaisis;['Cd, DVD'];directive24;joue;appeloffre;initial;non;non;Fourniture de documents audio, audiovisuels et multimédia pour le réseau des médiathèques du Beauvaisis
98;19-142582;2019-09-21;60150;Thourotte;COMMUNAUTE DE COMMUNES DES 2 VALLEES;['Denrées alimentaires'];directive24;joue;appeloffre;initial;non;non;Marché public de fourniture de repas cuisinés
99;19-142724;2019-09-21;62026;Arras cedex;Communauté Urbaine d'Arras;['Titres de transport'];autre;joue;rectificatif;rectificatif;non;non;Fourniture et pose des équipements et développement des interfaces pour le déploiement d'un système interopérable régional Pass-Pass sur le réseau de transport Artis de la Communauté Urbaine d&ap
100;19-142093;2019-09-21;62138;VIOLAINES;COMMUNE DE VIOLAINES;['Voirie'];directive24;joue;attribution;initial;non;non;travaux neufs de refection de la rue des cedres et rue lecoeuche
101;19-142664;2019-09-21;62407;Bethune;Mairie de Béthune;['Voirie'];directive24;joue;appeloffre;initial;non;non;Carottages, essais, mesures et études dans le cadre des travaux de voirie et d'études géotechniques
102;19-142578;2019-09-21;62510;ARQUES;RESIDENCE DES FONTINETTES;['Assurance'];directive24;joue;appeloffre;initial;non;non;AVIS D'APPEL PUBLIC A LA CONCURRENCE APPEL D OFFRES OUVERTASSURANCES
103;19-142771;2019-09-21;63007;Clermont-Ferrand;Ville de Clermont-Ferrand;['Nettoyage de locaux'];directive24;joue;attribution;initial;oui;non;Nettoyage De Divers Locaux De La Ville
104;19-142706;2019-09-21;66750;Saint-Cyprien;Mairie Saint-Cyprien;['Reprographie'];directive24;joue;appeloffre;initial;non;non;Reprographie
105;19-142760;2019-09-21;67004;Strasbourg cedex;CROUS;['Prestations de services'];directive24;joue;appeloffre;initial;non;non;Nettoyage et dégraissage complet des installations de ventilation des restaurants universitaires, des cafétérias et de trois cités universitaires gérés par le Crous de Strasbourg
106;19-124016;2019-09-21;67070;Strasbourg Cedex;REGION GRAND EST;['Transport'];directive24;joue;attribution;initial;oui;oui;Exécution de services réguliers de transports routiers de voyageurs destinés à titre principal aux usagers scolaires ouvert au public sur le territoire du Haut-Rhin
107;19-124014;2019-09-21;67070;Strasbourg Cedex;REGION GRAND EST;['Informatique (prestations de services)', 'Maintenance'];directive24;joue;attribution;initial;non;non;Tierce Maintenance Applicative - Applications Spécifiques
108;19-142280;2019-09-21;67073;Strasbourg;PREFECTURE DU BAS-RHIN;['Bâtiment'];autre;joue;rectificatif;rectificatif;non;non;2019mpgpcite67 (rectificatif)
109;19-142537;2019-09-21;68051;MULHOUSE Cedex;GHR Mulhouse Sud Alsace;['Conteneur, poubelles', 'Collecte sélective'];autre;joue;rectificatif;rectificatif;non;non;fourniture d'emballages pour déchets d'activités de soins à risques infectieux pour le ght de haute alsace (rectificatif)
110;19-142883;2019-09-21;69003;Lyon;UniHA GCS;['Matériel médical'];directive24;joue;appeloffre;initial;non;non;GCS UniHA : CASQUES DE RÉALITÉ VIRTUELLE CLINIQUE
111;19-142840;2019-09-21;69205;Lyon cedex 01;Ville de Lyon;['Titres restaurant'];directive24;joue;appeloffre;initial;oui;oui;Réalisation et fourniture de titres restaurant pour le personnel de la Ville de Lyon, du Centre Communal d'Action Social de Lyon et l'Ecole Nationale Supérieure des Beaux-Arts de L
