a00_cle_idweb,d01_07_cp,d01_08_ville,d01_01_denomination,g04_052_descripteurs_libelles,g04_09_resume_objet,g04_061_criteres_sociaux,g01_02_02_perimetre,g01_02_01_famille,g01_02_03_nature,g01_02_04_statut,g04_062_criteres_environnementaux,g04_01_date_publication
19-141190,22023,Saint-Brieuc,Département des Côtes d'Armor,['Véhicules (acquisition)'],Acquisition d'un camion d'occasion pour traitement en viabilité hivernale utilisable en poly-benne - Centre Technique Départemental,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-138024,22023,Saint-Brieuc,Département des Côtes d'Armor,"['Repas, traiteur']","conception, fourniture et livraison de repas en liaison froide à destination des mineurs non accompagnés du service courteline pour le centre départemental de l'enfance et de la famille",oui,cmp2006,fns,appeloffre,initial,oui,2019-09-17
19-141376,22100,Dinan,DINAN AGGLOMERATION,['Assainissement'],Travaux de renouvellement de la canalisation d'arrivée et modification du bypass de la station d'épuration de la minotais à plouër sur rance.,non,cmp2006,fns,appeloffre,initial,oui,2019-09-17
19-141043,24019,Périgueux,Le Grand Périgueux,"[""Maîtrise d'oeuvre""]","MAITRISE D'OEUVRE pour diagnostic de la digue, vidage et curage de l'étang, entretien et mise en conformité de la digue",non,cmp2006,mapa,appeloffre,rectificatif,non,2019-09-17
19-141541,24019,Périgueux,Le Grand Périgueux,['Contrôle technique'],Vérifications periodiques réglementaires des installations et des équipements du grand périgueux,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-140945,24019,PERIGUEUX,Conseil Général de la Dordogne,['Equipements spécialisés'],Fourniture et pose de 2 stations à carburants sur les communes de Creysse et de Nontron pour le PARC départemental de la Dordogne,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-141543,25031,BESANCON Cedex,DEPARTEMENT DU DOUBS,['Matériel de sécurité'],Numéro de la consultation : 2019DPL0046 FOURNITURE DE DÉFIBRILLATEURS POUR LES COLLÈGES DU DÉPARTEMENT DU DOUBS,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-141281,25043,BESANCON,GIP MAISON DEP PERSONNES HANDICAPEES,['Assurance'],MARCHE DE SERVICES D'ASSURANCE POUR LA MDPH DU DOUBS,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-141348,26400,MIRABEL ET BLACONS,MAIRIE DE MIRABEL ET BLACONS,['Bâtiment'],REHABILITATION DE L'USINE A BILLES ET CONSTRUCTION DE 4 LOGEMENTS,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-141006,27000,EVREUX,Ville d'Evreux,['Bâtiment'],Travaux relatifs à la réhabilitation-restructuration du restaurant professionnel sur le site de Saint Louis à Evreux,non,cmp2006,fns,attribution,initial,non,2019-09-17
19-140880,27091,Evreux cedex 9,SETOM,['Véhicules (location)'],location longue durée de véhicules utilitaires et berlines,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-141192,27140,Gisors,Ville de Gisors,"['Restauration collective', 'Repas, traiteur']",préparation et livraison en liaison froide de repas et de goûters,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-141422,27160,BRETEUIL SUR ITON,S.E.P.A.S.E,['Assainissement'],Création de la nouvelle station d'épuration de la commune de MONTIGNY SUR AVRE,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-141436,29238,Brest cedex 3,Université de Bretagne Occidentale,"[""Maîtrise d'oeuvre""]","Marché de maitrise d'oeuvre, Brest",non,cmp2006,mapa,appeloffre,initial,non,2019-09-17
19-141456,29240,Brest cédex 9,ESID de Brest,['Ravalement'],Base navale de Brest - Rénovation des façades du bâtiment SOUMENT,oui,cmp2006,fns,appeloffre,initial,oui,2019-09-17
19-141094,29900,Concarneau cedex,Concarneau Cornouaille Agglomération,"['Menuiserie', 'Peinture (travaux)', 'Ventilation']",travaux de réaménagement de la médiathèque de névez,non,cmp2006,mapa,appeloffre,initial,non,2019-09-17
19-141102,30115,Alès cedex,Ville d'Alès,['Mise à disposition de personnel'],Prestation d'intérim pour la mise à disposition de personnel en fonction des besoins de la Régie des Eaux d 'Alès (REAL),non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-141158,30210,VERS PONT DU GARD,EPCC Pont du Gard,['Maçonnerie'],Numéro de la consultation : 2019 168 00 00 Travaux de Confortement et de Mise en Sécurité des Vestiges autour de l'aqueduc romain,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-141107,30750,Lanuejols,SIAEP DU CAUSSE NOIR,['Assurance'],CONTRATS D'ASSURANCES,non,cmp2006,mapa,appeloffre,initial,non,2019-09-17
19-141324,30932,Nîmes cedex 09,SCE DEPARTEMENTAL INCENDIE ET SECOURS,"['Assainissement', 'Réseaux divers', 'Station de relevage']","Prestations d'entretien des réseaux d'assainissement, des eaux pluviales, des stations de relevage, des bacs à graisse et des séparateurs d'hydrocarbure sur l'ensemble des sites du",non,cmp2006,mapa,appeloffre,initial,non,2019-09-17
19-121326,30947,Nimes,Ville de Nîmes,"['Contrôle technique', 'Maintenance', 'Aire de jeux']","vérifications périodiques obligatoires règlementaires des bâtiments municipaux et des aires des jeux, éléments de jeux et matériels sportifs dans les écoles municipales",non,directive24,joue,attribution,initial,non,2019-09-17
19-132165,31086,Toulouse cedex 2,S.P.L Midi-Pyrénées Construction,['Contrôle technique'],"Contrôle technique pour création d'un atelier agroalimentaire, clos-couvert externats (bât. 10 et 11), travaux d'économie d'énergie au LEGTA Beauregard de Villefranche de Rouergue (opération no 50222)",non,cmp2006,mapa,appeloffre,initial,non,2019-09-17
19-132346,31086,Toulouse,S.P.L Midi-Pyrénées Construction,"[""Tous corps d'état""]",travaux pour corrosion des réseaux de distribution de plomberie sur le site de lacapelle au lycee la vinadie a figeac (opération no50118),non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-141533,31140,Aucamville,COMMUNE D AUCAMVILLE,"[""Maîtrise d'oeuvre""]",MARCHE DE MAITRISE D OEUVRE AVEC REMISE DE PRESTATION DANS LE CADRE DE LA CREATION D UN NOUVEAU FOYER MUNICIPAL A AUCAMVILLE (31140)- PHASE APPEL A CANDIDATURES,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-141101,31400,Toulouse,SMEA31,['Voirie'],Fourniture de matériaux bitumineux froids,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-140971,33001,Bordeaux,BORDEAUX METROPOLE AMENAGEMENT,"['Démolition', 'Amiante (désamiantage)']",Marché de désamiantage et de déconstruction de l'îlot B125 de la ZAC Bastide Niel à Bordeaux,oui,cmp2006,mapa,appeloffre,initial,non,2019-09-17
19-141318,33041,Bordeaux,SGAP Sud Ouest,['Menuiserie'],La présente consultation a pour objet la réalisation de travaux de concernant la pose de filets de sécurité formant garde-corps sur les portes fenêtres et baies vitrées des logements.,non,cmp2006,mapa,appeloffre,initial,oui,2019-09-17
19-141073,33068,Bordeaux cedex,MINDEF/SGA/DCSID/ESID Bordeaux,"[""Mission d'ordonnancement, pilotage, coordination (OPC)""]",Caylus (82) - CMA - Marché d'OPC relatif au transfert de l'antenne médicale sur le camp bâti,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-140844,33068,Bordeaux cedex,MINDEF/SGA/DCSID/ESID Bordeaux,['Bâtiment'],BALMA (31)Délégation Générale de l'Armement - Techniques Aéronautiques (DGA TA)Extension du bâtiment 135,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-139564,33076,Bordeaux Cedex,PARCUB,"['Détection incendie', 'Maintenance', 'Sécurité incendie']",Maintenance des systèmes de sécurité incendie (ssi) des parcs de stationnement.,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-134624,33076,Bordeaux Cedex,PARCUB,['Groupe électrogène'],remplacement des groupes électrogènes parc de stationnement public gambetta,non,cmp2006,fns,attribution,initial,non,2019-09-17
19-140184,33077,Bordeaux cedex,Région Nouvelle Aquitaine,"[""Maîtrise d'oeuvre""]",Concours restreint de maîtrise d'oeuvre pour la construction d'un internat au lycée Jean Monnet à Libourne (33),non,directive24,joue,appeloffre,initial,oui,2019-09-17
19-140125,33077,Bordeaux cedex,Région Nouvelle Aquitaine,"['Mobilier', 'Prestations de services', 'Transport', 'Prestation hotelière']",Organisation des finales régionales des Olympiades des métiers 2020,non,directive24,joue,attribution,initial,non,2019-09-17
19-141142,33088,BORDEAUX Cedex,Agence Erasmus Plus France - EducForm,"['Etude', 'Prestations de services']",Le présent marché a pour objet la réalisation d'une étude sur la participation des entreprises dans le programme Erasmus+/Education Formation : motivations et apports.,non,cmp2006,mapa,appeloffre,initial,non,2019-09-17
19-140981,33311,ARCACHON Cedex,Ville d'Arcachon,"['Gardiennage', 'Surveillance', 'Sécurité incendie']",Prestations de sécurité incendie (SSIAP) et de surveillance (ADS),non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-141506,33327,EYSINES CEDEX,COMMUNE D'EYSINES,['Véhicules (acquisition)'],ACQUISITION DE VEHICULES NEUFS ET OCCASIONS,non,cmp2006,mapa,appeloffre,initial,non,2019-09-17
19-141125,33400,TALENCE,CHU DE BORDEAUX,"['Chambre froide', 'Maintenance', 'Pièces détachées']",Maintenance préventive et corrective des installations de froid industriel pour le Centre Hospitalier d'Arcachon,non,cmp2006,mapa,appeloffre,initial,non,2019-09-17
19-141286,33400,TALENCE,CHU DE BORDEAUX,['Equipements spécialisés'],"Acquisition, maintenance préventive et corrective à l'attachement d'une sertisseuse pour flacons de verre, et fourniture de pièces détachées au profit du GHT Alliance de Gironde",non,cmp2006,mapa,appeloffre,initial,non,2019-09-17
19-141105,33530,Bassens,Mairie de Bassens,"['Equipement sportif', 'Terrassement', ""Tous corps d'état""]",Construction d'un pôle d'animation et restructuration de logements en locaux associatifs - relance du lot 15 skate park suite à déclaration sans suite.,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-140894,33780,Soulac-sur-mer,Communauté Communes Médoc Atlantique,['Terrassement'],"Travaux d'urgence hivernaux de rechargements de sable sur les littoraux de Carcans, Vendays-Montalivet et Soulac-sur-mer",non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-141420,33882,Villenave d'Ornon,INRA Centre de Bordeaux Aquitaine,['Laboratoire (matériel)'],Acquisition de deux chambres phytotroniques pour l'unité UMR BFP - INRA Site de la Grande Ferrade,non,cmp2006,fns,appeloffre,initial,oui,2019-09-17
19-141309,34070,Montpellier,UNIVERSITE DE MONTPELLIER,['Logiciel'],"Acquisition d'un outil de gestion des conventions et des brevets, mise en place de l'application et maintenance applicative pour l'Université de Montpellier",non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-141258,34150,Gignac,Cté de communes Vallée de l'Hérault,['Prestations de services'],Evaluation du schéma de mutualisation des services,non,cmp2006,mapa,appeloffre,initial,non,2019-09-17
19-140864,34199,MONTPELLIER,Université Paul Valéry,"[""Tous corps d'état""]",Mise en sécurité et réhabilitation du bâtiment C Université Paul Valéry Montpellier 3,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-141050,34220,Saint pons de thomières,parc naturel régional haut languedoc,"['Animaux', 'Prestations de services', ""Produits de l'agriculture"", 'Ingénierie']",Réalisation d'une étude préparatoire au dépôt d'un projet LIFE 'adaptation au changement climatique',non,cmp2006,mapa,appeloffre,initial,non,2019-09-17
19-141114,34280,LA GRANDE MOTTE,COMMUNE DE LA GRANDE MOTTE,"['Collecte sélective', 'Déchets non ménagers (prestations)']",Collecte et traitement des déchets toxiques de la Ville et de la régie des Ports de La Grande Motte,non,cmp2006,mapa,appeloffre,initial,non,2019-09-17
19-141272,34280,LA GRANDE MOTTE,COMMUNE DE LA GRANDE MOTTE,"['Informatique (prestations de services)', 'Logiciel']","Migration dispositif anti-viral, abonnement licences, maintenance et support",non,cmp2006,mapa,appeloffre,initial,non,2019-09-17
19-140853,34394,Montpellier cedex5,IRD,['Déchets non ménagers (prestations)'],ENLEVEMENT ET ELIMINATION DES DECHETS BIOLOGIQUES ET ASSIMILES DES LABORATOIRES ET DU SERVICE MEDICAL RATTACHES A LA DELEGATION REGIONALE IRD OCCITANIE,non,cmp2006,mapa,appeloffre,initial,oui,2019-09-17
19-141535,34400,Entre-vignes,COMMUNE D ENTRE VIGNES,['Voirie'],REALISATION D'UNE LIAISON MODE DOUX ENTRE VERARGUES ET SAINT-CHRISTOL,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-141452,35031,RENNES CEDEX,Ville de Rennes,['Prestations de services'],PRESTATION DE SERVICE POUR LA GESTION DE LA FOURRIERE ANIMALE POUR LE COMPTE DE PLUSIEURS COMMUNES DE RENNES METROPOLE,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-141100,35031,Rennes,DIR INTERDEPARTEMENTALE ROUTES OUEST,['Voirie'],RN176 - Echangeur de la Bézardais - Mise en sécurité et restructuration de l'échangeur nord,non,cmp2006,fns,appeloffre,initial,oui,2019-09-17
19-141218,35031,Rennes cedex,DIR INTERREGIONALE SCES PENITENTIAIRES,['Bâtiment'],Construction d'un bâtiment ELSP - Maison d'Arrêt de BREST,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-141257,35091,RENNES Cedex 9,SE AEROPORTS RENNES ET DINARD (SEARD),"['Aéronautique', 'Equipement industriel', 'Matériel de manutention']",Travaux sur système de convoyage pour intégration EDS Std III,non,cmp2006,fns,attribution,initial,non,2019-09-17
19-141532,35207,Rennes cedex 2,Etablissement public foncier Bretagne,"['Curage', 'Démolition', 'Amiante (désamiantage)']","Travaux de désamiantage et de déconstruction sélective d'un ancien magasin de pièce automobiles "" Auto Industrie Malouine "" sis 4, Rue de Rio de Janeiro à Saint-Malo (35).",non,cmp2006,fns,appeloffre,initial,oui,2019-09-17
19-140883,35207,Rennes cedex 2,SEC GAL POUR L ADM MIN INTERIEUR OUEST,['Ingénierie'],Mission de maîtrise d'oeuvre pour les travaux de mise en place d'un groupe électrogène à la préfecture des Côtes d'Armor à St Brieuc,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-141357,35207,Rennes cedex 2,Etablissement public foncier Bretagne,"['Curage', 'Démolition', 'Amiante (désamiantage)']",Travaux de désamiantage et de déconstruction sélective d'un ancien site industriel situé Rue jean Moulin (ZA de Kerdrual) à PLOEMEUR.,non,cmp2006,fns,appeloffre,initial,oui,2019-09-17
19-141020,35601,Redon,Ville de Redon,['Assurance'],Le présent appel d'offres a pour objet la souscription des contrats d'assurance pour la Ville de Redon. (annulation),non,cmp2006,fns,appeloffre,annulation,non,2019-09-17
19-141106,35601,Redon,Ville de Redon,['Assurance'],Le présent appel d'offres a pour objet la souscription des contrats d'assurance pour la Ville de Redon.,non,cmp2006,fns,appeloffre,annulation,non,2019-09-17
19-140918,35711,Rennes cedex 7,Région Bretagne,['Berge'],"La présente consultation concerne la restauration des chemins de halage et de service du domaine public fluvial de la Région Bretagne.Lieu(x) d'exécution :Lot no 1 : La Vilaine, le canal d&apos",non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-141255,35711,Rennes cedex 7,Région Bretagne,['Assainissement'],Installation de bornes de récupération des eaux usées des bateaux sur les voies navigables bretonnes,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-140071,36020,Châteauroux cédex,Conseil Départemental de l'Indre,['Formation'],prestation de formation 'supervision individuelle et analyse des pratiques professionnelles',non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-140928,37206,TOURS CEDEX 3,Tours Métropole Val de Loire,"['Station de pompage', ""Station d'épuration (travaux)""]",REHABILITATION ET EXTENSION DE LA STATION D'EPURATION DES NEGRIERES A BERTHENAY ET DEMOLITION DE L'UNITE ACTUELLE,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-141084,38019,Grenoble,CENTRE REGIONAL OEUVRES UNIV SCOLAIRES,"['Carrelage', 'Electricité (travaux)', 'Maçonnerie', 'Plâtrerie', 'Plomberie (travaux)']",Aménagement d'une épicerie solidaire à la résidence OUEST du CROUS GRENOBLE ALPES,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-141477,38031,GRENOBLE,SMTC de l'agglomération grenobloise,['Voies ferrées'],Travaux pour la réalisation du programme 2020-2021 de gros entretien des voies tramway,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-141032,38031,GRENOBLE,GRENOBLE-ALPES METROPOLE,['Prestations de services'],"Préparation à la rencontre avec les entreprises dans le cadre de "" 100 chances 100 emplois """,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-140934,39109,DOLE CEDEX,Cté d'Agglomération du Grand Dole,"[""Ouvrage d'art"", 'Signalisation', 'Voies ferrées', 'Voirie et réseaux divers']",Travaux de transformation de l'ancienne voie ferrée Grevy en voie verte,non,cmp2006,fns,appeloffre,rectificatif,non,2019-09-17
19-140912,39109,DOLE CEDEX,Cté d'Agglomération du Grand Dole,"[""Ouvrage d'art""]",Travaux de transformation de l'ancienne voie ferrée Grevy en voie verte - Lot 5 : Travaux sur ouvrages d'art,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-138822,40006,Mont de Marsan cedex,SYDEC,['Espaces verts'],elagage sur voie publique et privée,non,directive24,joue,appeloffre,initial,non,2019-09-17
19-140999,40800,Aire sur l'adour,Cté de communes Aire sur l'Adour,"['Matériaux routiers', 'Voirie']",travaux d'entretien au point a temps des voies communales de la communauté de communes d'aire sur l'adour,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-127597,40990,Saint-Paul-lès-Dax cedex,Ville de Saint-Paul-les-Dax,"['Revêtements de sols', 'Voirie']",Rénovation courts de tennis 3 et 4 à toumalin,non,cmp2006,fns,attribution,initial,non,2019-09-17
19-141074,42007,Saint etienne cedex 1,SDIS de la Loire,['Chaussures ou articles chaussants'],Fourniture de chaussures de sport,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
19-141028,42055,Saint etienne cedex 02,CHU SAINT ETIENNE,['Assistance juridique'],DAL-DAH2018-30 Marché de prestations juridiques et de représentation en justice pour les établissements du GHT LOIRE,non,cmp2006,fns,attribution,initial,non,2019-09-17
19-135469,42100,Saint-Etienne,Association de Gestion RA Centre 2,"['Denrées alimentaires', 'Prestations de services', 'Repas, traiteur']",confier l'exploitation du restaurant administratif agraf centre 2,non,cmp2006,mapa,appeloffre,initial,non,2019-09-17
19-141494,42311,ROANNE,Roannais Agglomération,['Etude'],Etude géotechnique en vue du renforcement de la capacité de transfert du siphon 1912 vers la station d'épuration de Roanne,non,cmp2006,mapa,appeloffre,initial,non,2019-09-17
19-141493,42311,ROANNE,Roannais Agglomération,['Bâtiment'],AMENAGEMENT DES VESTIAIRES DU PERSONNEL DU BATIMENT SITUE 76 RUE DE MATEL A ROANNE,non,cmp2006,mapa,appeloffre,initial,non,2019-09-17
19-140969,42313,ROANNE,Roannaise de l'Eau,"['Assistance technique', 'Ingénierie']","Missions relatives au suivi sécuritaire des barrages du Chartrain, du Rouchain et du barrage de l'Oudan",non,cmp2006,fns,appeloffre,rectificatif,non,2019-09-17
19-141139,42390,VILLARS,MAIRIE DE VILLARS,['Assurance'],ASSURANCES POUR LES BESOINS DE LA VILLE DE VILLARS,non,cmp2006,fns,appeloffre,initial,non,2019-09-17
