;a00_cle_idweb;d01_07_cp;d01_08_ville;d01_01_denomination;g04_052_descripteurs_libelles;g04_09_resume_objet;g04_061_criteres_sociaux;g01_02_02_perimetre;g01_02_01_famille;g01_02_03_nature;g01_02_04_statut;g04_062_criteres_environnementaux;g04_01_date_publication
71;19-141996;17310;SAINT-PIERRE D'OLÉRON;CA de l'Île d'Oléron;['Assurance'];Assurance des véhicules à moteur et risques annexes.;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
72;19-141719;18000;BOURGES;COMMUNAUTE AGGLOMERATION BOURGES PLUS;['Assainissement'];Création d'une plateforme de stockage sur le site du Porche;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
73;19-140988;18000;BOURGES;Ville de Bourges;['Signalétique'];CONSTRUCTION DE LA MAISON DE LA CULTURE - SIGNALETIQUE;non;directive24;joue;appeloffre;initial;non;2019-09-18
74;19-141839;18020;BOURGES cedex;C.H. Jacques Coeur de Bourges;['Location (matériels)'];LOCATION D'UN LASER EXCIMER MOBILE POUR UN SERVICE D'OPHTALMOLOGIE ET PRESTATIONS ASSOCIÉES;oui;cmp2006;mapa;appeloffre;initial;oui;2019-09-18
75;19-142144;18021;Bourges;Syndicat Départemental d'Energie 18;['Topographie'];Levers topographiques, report d ouvrages, géo-référencement de plans selon les prescriptions de la Norme Enedis Carto200 V2-V3;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
76;19-140697;18021;Bourges cedex;MINARM/DGA/DO/S2A;['Maintenance'];Le présent marché porte sur le maintien en condition opérationnelle des moyens d'essais mécaniques de DGA TT suivants :- 3 excitateurs électrodynamiques (LDS 964, LING B335 COMBO, LING 2016)- 5;non;directive81;joue;attribution;initial;non;2019-09-18
77;19-142159;19005;Tulle cedex;DEPARTEMENT DE LA CORREZE;['Peinture (travaux)'];Chalets des Aiguilles à Chamonix - Lasures des 5 chalets.;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
78;19-140635;19100;Brive;Ville de Brive-la-Gaillarde;['Bâche'];Location de structures bâchées et aménagements intérieurs - foires du livre 2019 - 2020- 2021.;non;directive24;joue;attribution;initial;non;2019-09-18
79;19-140287;20169;Bonifacio;Commune de Bonifacio;"['Etude', ""Assistance à maîtrise d'ouvrage""]";Prestations d'étude et d'assistance à maitrise d'ouvrage pour la mise en oeuvre d'un programme opérationnel de prévention et d'accompagnement des copropriétés (POPAC);non;directive24;joue;appeloffre;initial;non;2019-09-18
80;19-141342;20179;Ajaccio cedex 1;CCIACS;['Eclairage public'];eclairage à lled des terres pleins des ports de commerce de corse du sud;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
81;19-140863;20189;AJACCIO;Office des transports de la Corse;['Prestations de services', 'Expertise comptable'];conseil et assistance de l'office des transports de la corse dans le domaine financier.;non;directive24;joue;appeloffre;initial;non;2019-09-18
82;19-141713;20291;Bastia;Régie des Eaux du Pays Bastiais;['Véhicules (acquisition)'];Acquisition de véhicule type 4x4;non;cmp2006;mapa;attribution;initial;non;2019-09-18
83;19-141967;20291;Bastia;Régie des Eaux du Pays Bastiais;['Logiciel'];Fourniture, installation et paramétrage de logiciel de gestion des ressources humaines;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
84;19-141773;20304;Ajaccio;COMMUNE D AJACCIO;['Installation portuaire'];Modernisation du Port de plaisance Charles Ornano Ajaccio;non;cmp2006;fns;appeloffre;rectificatif;non;2019-09-18
85;19-140159;21110;Genlis;Cté de Cnes de la Plaine Dijonnaise;['Assurance'];marché d'assurances;non;directive24;joue;appeloffre;initial;non;2019-09-18
86;19-130014;21130;Auxonne;MAIRIE D'AUXONNE;['Assurance'];souscription aux contrats d'assurances de la commune d'auxonne;non;directive24;joue;appeloffre;initial;non;2019-09-18
87;19-141635;22000;Saint Brieuc;Saint-Brieuc Agglomération;['Etude'];réalisation d'une étude environnementale dans le cadre de la modification du plu de trégueux;non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
88;19-141905;22015;SAINT-BRIEUC;SCE DEPARTEMENTAL INCENDIE ET SECOURS;['Porte automatique, portail'];19/S/033 Remplacement et motorisation de portes sectionnelles dans différents CIS du SDIS 22;non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
89;19-141831;22015;SAINT-BRIEUC;SCE DEPARTEMENTAL INCENDIE ET SECOURS;['Menuiserie'];19/S/032 Mise en conformité des accès mezzanines du SDIS 22;non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
90;19-140630;22027;Saint-Brieuc;CENTRE HOSPITALIER SAINT BRIEUC;['Démolition'];Projet de construction de 98 lits d'Ehpad au Centre Gériatrique des Capucins - Lot 01 - Deconstruction;non;directive24;joue;appeloffre;initial;non;2019-09-18
91;19-137270;22044;Saint Brieuc;Saint-Brieuc Agglomération;['Benne', 'Véhicules (acquisition)'];fourniture d'un camion-benne à ordures ménagères de 26 tonnes;non;directive24;joue;appeloffre;initial;non;2019-09-18
92;19-132991;23300;La souterraine;ALEFPA DT LIMOUSIN;"[""Maîtrise d'oeuvre""]";prestations de maitrise d'oeuvre dans le cadre d'un projet de construction de bureaux;oui;cmp2006;mapa;appeloffre;initial;oui;2019-09-18
93;19-140703;25001;Besancon cedex 1;CROUS DE BESANCON;['Assurance'];Marché de services d'assurances pour le CROUS de Bourgogne Franche Comté;non;directive24;joue;attribution;initial;non;2019-09-18
94;19-132758;25031;Besançon Cedex;REGION BOURGOGNE FRANCHE COMTE;['Transport', 'Titres de transport'];exploitation de lignes de marché (lm) et de transports à la demande (tad) dans le département de la nièvre;non;directive24;joue;appeloffre;initial;non;2019-09-18
95;19-141705;25031;BESANCON Cedex;DEPARTEMENT DU DOUBS;['Etude'];L'élaboration d'une règlementation des boisements sur les communes membres de la Communauté de communes du Plateau de Frasne et du Val du Drugeon;non;cmp2006;mapa;appeloffre;rectificatif;non;2019-09-18
96;19-140536;25208;Montbeliard Cedex;Pays de Montbéliard Agglomération;['Alimentation en eau potable', 'Assainissement'];Travaux et entretien sur réseaux et ouvrages d'eau, d'assainissement, de protection contre les crues et gaines diverses - Accord-cadre no1;non;directive24;joue;attribution;initial;non;2019-09-18
97;19-141777;25208;MONTBELIARD Cedex;Pays de Montbéliard Agglomération;['Bâtiment'];Annexe du siège de Pays de Montbéliard Agglomération - Restructuration des bureaux;non;cmp2006;fns;appeloffre;rectificatif;non;2019-09-18
98;19-140772;26026;Valence;Département de la Drôme;['Impression'];"Impression et distribution du magazine départemental d'information "" la Drôme """;non;directive24;joue;appeloffre;initial;non;2019-09-18
99;19-140959;26130;Saint-Paul-Trois-Châteaux;COMMUNE DE SAINT PAUL TROIS CHATEAUX;['Piscine', 'Réseaux divers', 'Terrassement', 'Voirie'];Construction du centre aquatique de Saint-Paul-Trois-Châteaux - Lot no1 : Dévoiement réseaux - Terrassements - Vrd - Plages minérales;non;directive24;joue;attribution;initial;non;2019-09-18
100;19-90837;26150;DIE;ville de Die;['Alimentation en eau potable', 'Bâtiments modulaires', 'Gros oeuvre', 'Réseaux divers', 'Terrassement', 'Voirie et réseaux divers'];fourniture et pose de 8 habitations légères de loisirs au camping municipal de die.;non;directive24;joue;attribution;initial;non;2019-09-18
101;19-140954;26953;Valence;Centre Hospitalier de Valence;['Cd, DVD'];Fourniture de films laser à sec, Cd et Dvd pour les services d'imagerie médicale et autres services du Groupement Hospitalier de Territoire Rhône Vercors Vivarais;non;directive24;joue;attribution;initial;non;2019-09-18
102;19-140652;27300;Bernay;SYND DESTRUCTION ORDURES MENAGERES OUE;['Abris', 'Amiante'];Traitement de l'amiante;non;directive24;joue;attribution;initial;non;2019-09-18
103;19-141765;27500;Aizier;Mairie d'Aizier;['Charpente', 'Couverture', 'Electricité (travaux)', 'Maçonnerie', 'Menuiserie', 'Vitraux'];marché alloti de travaux dans le cadre de la restauration de l'église saint pierre d'aizier, classé et inscrit au titre des monuments historiques;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
104;19-140358;29196;Quimper cedex;Département du Finistère;['Abris', 'Signalisation'];Matériel de signalisation permanente et temporaire;oui;directive24;joue;appeloffre;initial;non;2019-09-18
105;19-138688;29196;Quimper Cédex;Département du Finistère;['Signalisation'];Matériel de signalisation permanente et temporaire;oui;directive24;joue;attribution;initial;non;2019-09-18
106;19-141637;29200;Brest;SEMBREIZH;"[""Assistance à maîtrise d'ouvrage""]";CARHAIX-29-CENTRE D'HEBERGEMENT DE KERAMPUILH-OP 18MNYS-RESTRUCTURATION DU B2 ET B3-PHASE 2 -;non;cmp2006;fns;appeloffre;annulation;non;2019-09-18
107;19-140606;29200;Brest;SEMBREIZH;['Prestations de services'];19-PCN-SEMBZH-023;non;directive24;joue;attribution;initial;non;2019-09-18
108;19-140388;29240;Brest cédex 9;ESID de Brest;"[""Assistance à maîtrise d'ouvrage""]";BNB - Refonte de la station de pompage des bassins 4 et 7 (SALOU) - Marché d'Assistance technique à Maitrise d'Ouvrage;oui;directive24;joue;appeloffre;initial;oui;2019-09-18
109;19-140725;29609;Brest cedex;CH REG ET UNVT DE BREST;['Assurance'];"Marché d'assurance "" flotte automobile et risques annexes "" pour les établissements du GHT de Bretagne Occidentale";non;directive24;joue;appeloffre;initial;non;2019-09-18
