a00_cle_idweb,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,g04_01_date_publication,g04_02_date_limite_reponse,g04_03_date_fin_diffusion,g04_04_classes,g04_07_dep_publication,g04_08_dep_prestation,g04_09_resume_objet,d01_01_denomination,d01_02_code_ident_national,d01_03_correspondant,d01_04_contact,d01_05_adjudicateur_nuts,d01_06_adresse,d01_07_cp,d01_08_ville,d01_09_pays,d01_10_tel,d01_11_poste,d01_12_fax,d01_13_mel,d01_14_url,d01_15_url_profil_acheteur,d01_16_url_information,d01_17_url_participation,d01_18_url_document,d01_19_url_outil_logiciel,d01_20_agit_pour_autre_compte_oui,d01_21_agit_pour_autre_compte_non,d01_22_loi_compte_autre_pays,d01_23_organisme_acheteur_central_oui,d01_24_organisme_acheteur_central_non,d05_03_type_marche,g04_051_descripteurs_codes,g04_052_descripteurs_libelles,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
19-133391,fns,cmp2006,appeloffre,initial,2019-09-03,1570114800000.0,2019-10-03,,['6'],,Restauration des élévations des rampes st Michel,Commune de Menton,,M. Guibal Jean-Claude,Service des marchés publics,,17 rue de la République,06500,Menton,,04-92-10-50-69,,,,,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,,,,,,"{'travaux': {'execution': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<EXECUTION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[195],['Maçonnerie'],non,non
19-133166,fns,cmp2006,appeloffre,initial,2019-09-03,1570114800000.0,2019-10-03,,['6'],,"Maintenance des ascenseurs, monte-charges et élévateurs des bâtiments communaux",Commune de Menton,,M. Guibal Jean-Claude,Service des marchés publics,,17 rue de la République,06500,Menton,,04-92-10-50-69,,,compub@ville-menton.fr,,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': '1'}",[196],['Maintenance'],non,non
19-133453,fns,cmp2006,attribution,initial,2019-09-03,,2019-12-01,,['9'],,Achat matériel de transport pour l'année 2019 (Ariège 09),SMDEA,, le Président,,,Rue du Bicentenaire,09000,SAINT PAUL DE JARRAT,,05-61-04-09-00,,05-61-02-95-85,jl.bedel@smdea.fr,http://smdea09.fr,,,,,,,,,,,,[475],['Véhicules (acquisition)'],non,non
19-133216,mapa,cmp2006,appeloffre,initial,2019-09-03,1568797200000.0,2019-09-18,,['9'],,DEPLACEMENT DE 18 MOBIL HOMES CAMPING MUNICIPAL LE MALAZEOU,COMMUNE AX LES THERMES,," FOURCADE Dominique, Maire",,,Place Roussel,09110,AX LES THERMES,,05-61-64-20-21,,05-61-64-36-65,contact@mairieax.fr,http://www.mairie-ax.fr,,,,,,,,,,,"{'travaux': {'execution': None, 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[27],['Bâtiments modulaires'],non,non
19-133149,mapa,cmp2006,appeloffre,initial,2019-09-03,1568797200000.0,2019-09-18,,['9'],,ACHAT DE 20 CHALETS BOIS,COMMUNE AX LES THERMES,," FOURCADE Dominique, Maire",,,Place Roussel,09110,AX LES THERMES,,05-61-64-20-21,,05-61-64-36-65,contact@mairieax.fr,http://www.mairie-ax.fr,,,,,,,,,,,"{'travaux': None, 'fournitures': {'achat': None, 'loc': None, 'creditbail': None, 'locvente': None, 'plusieursformes': None}, 'service': None}",[33],['Bâtiment'],non,non
19-133107,mapa,cmp2006,appeloffre,initial,2019-09-03,1568718000000.0,2019-09-17,,['9'],,Transport par petit train touristique Ax les Thermes,COMMUNE AX LES THERMES,," FOURCADE Dominique, Maire",,,Place Roussel,09110,AX LES THERMES,,05-61-64-20-21,,05-61-64-36-65,contact@mairieax.fr,http://www.mairie-ax.fr,,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': ''}",[347],['Transport'],non,non
19-133416,fns,cmp2006,appeloffre,initial,2019-09-03,1568797200000.0,2019-09-18,,['9'],,"ACQUISITION, MONTAGE, DEMONTAGE, MAINTENANCE D'UNE PATINOIRE MOBILE (TAPIS GLACIER ET GROUPE FRIGORIFIQUE) ET DE SES EQUIPEMENTS D'EXPLOITATION.FOUNITURE DE DEUX CHALETS",COMMUNE AX LES THERMES,," FOURCADE Dominique, Maire",,,Place Roussel,09110,AX LES THERMES,,05-61-64-20-21,,05-61-64-36-65,contact@mairieax.fr,http://www.mairie-ax.fr,,,,,,,,,,,"{'travaux': {'execution': None, 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[265],['Piscine'],non,non
19-133133,mapa,cmp2006,attribution,initial,2019-09-03,,2019-10-03,,['11'],,Acquisition d'appareils électroménagers et d'appareils électriques domestiques,Département de l'Aude,, Monsieur le Président du Conseil Départemental de l'Aude,,,Département de l'Aude Allée Raymond Courrière,11855,CARCASSONNE Cedex 9,,(+33) 4-68-11-68-11,,,marches@aude.fr,http://www.aude.fr,,,,,,,,,,,"{'travaux': None, 'fournitures': {'achat': None, 'loc': None, 'creditbail': None, 'locvente': None, 'plusieursformes': None}, 'service': None}",[108],['Electroménager'],non,non
19-133415,fns,cmp2006,attribution,initial,2019-09-03,,2019-10-03,,['11'],,Maison de l'innovation - Alpha'[R] - Equipement matériel du laboratoire de fabrication numérique,CARCASSONNE AGGLO,, Monsieur le Président,,,Carcassonne Agglo 1 rue Pierre Germain,11890,Carcassonne Cedex 9,,(+33) 4-68-10-56-57,,(+33) 4-68-47-81-60,marches@carcassonne-agglo.fr,https://marchespublics.aude.fr/,,,,,,,,,,,"{'travaux': None, 'fournitures': {'achat': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<ACHAT xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'loc': None, 'creditbail': None, 'locvente': None, 'plusieursformes': None}, 'service': None}","[194, 196, 410]","['Machines-outils', 'Maintenance', 'Formation']",non,non
19-133267,fns,cmp2006,attribution,initial,2019-09-03,,2019-10-01,,['12'],,Avis d'attribution travaux de construction du CIS de Laguiole,S.D.I.S. de l'Aveyron,, M. Jean-Claude Anglars,,,ZA Bel Air - 284 rue de la Sauvegarde - CS 53121,12031,Rodez cedex 9,,05-65-77-12-00,06,05-65-77-12-40,cellule-marches@sdis12.fr,http://www.sdis12.fr/,,,,,,,,,,,"{'travaux': {'execution': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<EXECUTION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[33],['Bâtiment'],non,non
19-133657,fns,cmp2006,appeloffre,rectificatif,2019-09-03,,2019-09-30,,['84'],,Mise en accessibilité (1ère tranche) du Lycée Théodore Aubanel à AVIGNON (84),Conseil Rég Provence-Alpes-Côte d'Azur,," GELLE LACROIX Laurent, Directeur Général",,,"pour Région Provence-Alpes-Côte d'Azur, 29 Bd Charles Nedelec",13331,Marseille,,,,,damj@arearegionsud.com,http://www.areapaca.com,http://achat.maregionsud.fr,,,,,,,,,,,[345],"[""Tous corps d'état""]",non,non
19-133501,fns,cmp2006,appeloffre,initial,2019-09-03,1569322800000.0,2019-10-03,,['13'],,Travaux de mise en accessibilité des bâtiments communaux,COMMUNE D AUBAGNE,, Service marchés publics,,,7 boulevard Jean Jaurès,13400,Aubagne,,(+33) 4-42-18-18-05,,,marchespublics@aubagne.fr,,https://www.marches-securises.fr,,,,,,,,,,"{'travaux': {'execution': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<EXECUTION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[345],"[""Tous corps d'état""]",non,non
19-133125,fns,cmp2006,appeloffre,rectificatif,2019-09-03,,2019-10-04,,['13'],,"Accord-cadre de diagnostics, CSPS, CT, géomètre et géotechnicien dans le cadre des projets d'aménagement, de construction, de logement et d'infrastructures par la SEM et la SPL Façonéo",FACONEO,,M. BARRAU PHILIPPE,,,165 avenue du marin blanc ZI les paluds,13685,Aubagne,,,,,marches.publics@faconeo.com,http://faconeo.com/,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,,,,,,,"[72, 118, 141]","['Contrôle technique', 'Etude', 'Génie civil']",non,non
19-133512,fns,cmp2006,appeloffre,initial,2019-09-03,1569322800000.0,2019-09-24,,['13'],,MAINTENANCE PRÉVENTIVE ET corrective DES alarmes incendies et baes des bâtiments DE LA VILLE D'ISTRES,COMMUNE D ISTRES,," BERNARDINI François, Maire",,,"1, ESPLANADE BERNARDIN LAUGIER BP 97002",13808,ISTRES,,04-13-29-50-00,,04-13-29-58-17,correspondre@aws-france.com,http://www.istres.fr,https://www.marches-publics.info/accueil.htm,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': ''}",[196],['Maintenance'],non,non
19-133407,fns,cmp2006,attribution,initial,2019-09-03,,2019-10-03,,['14'],,REHABILITATION DES LOCAUX DU CENTRE D'EXPLOITATION D'ORBEC,DEPARTEMENT DU CALVADOS,, Béatrice HOUSSAY,,,9 rue Saint-Laurent,14000,Caen,,(+33) 2-31-57-10-37,,,beatrice.houssay@calvados.fr,http://www.calvados.fr,http://www.marches-securises.fr,,,,,,,,,,"{'travaux': {'execution': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<EXECUTION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}","[33, 345]","['Bâtiment', ""Tous corps d'état""]",non,non
19-133402,fns,cmp2006,attribution,initial,2019-09-03,,2019-10-03,,['14'],,REHABILITATION DES LOCAUX DU CENTRE D'EXPLOITATION D'ORBEC,DEPARTEMENT DU CALVADOS,, Béatrice HOUSSAY,,,9 rue Saint-Laurent,14000,Caen,,(+33) 2-31-57-10-37,,,beatrice.houssay@calvados.fr,http://www.calvados.fr,http://www.marches-securises.fr,,,,,,,,,,"{'travaux': {'execution': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<EXECUTION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}","[33, 345]","['Bâtiment', ""Tous corps d'état""]",non,non
19-132678,fns,cmp2006,appeloffre,initial,2019-09-03,1575284400000.0,2019-12-02,,"['14', '50']",,prestation de nettoyage des locaux sites de caen et de cherbourg,ESAM CAEN/CHERBOURG,,Weddle Samuel,,,17 cours Caffarelli,14000,Caen,,,,,,,,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': '14'}","[153, 239, 278]","['Hygiène (articles)', 'Nettoyage de locaux', ""Produits d'entretien""]",oui,oui
19-133231,fns,cmp2006,attribution,initial,2019-09-03,,2019-10-07,,['15'],,"mission de maîtrise d'oeuvre pour les travaux de rénovation après incendie et de mises aux normes - travaux de chauffage, d'amélioration thermique et énergétique de l'immeuble de la pai",Communauté d'Agglomération du Bassin,, Service des marchés publics,,,"3, place des Carmes CS 80501",15005,AURILLAC CEDEX,,04-71-46-86-30,,,marches@caba.fr,https://achatpublic.com,https://achatpublic.com,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': '12'}",[274],['Prestations de services'],non,non
19-133513,mapa,cmp2006,appeloffre,initial,2019-09-03,1570618800000.0,2019-10-09,,['16'],,REFECTION DES CANNALISATIONS DE TRAITEMENT DE L'EAU A LA PISCINE DE ROUILLAC,Communauté de Communes du ROUILLACAIS,, Le Président,,,314 Avenue Jean Monnet BP 40016,16170,Rouillac,,05-45-96-83-24,,05-45-96-83-25,administration@cdcrouillacais.fr,http://www.cdcrouillacais.fr/,https://www.marches-publics.info/,,,,,,,,,,"{'travaux': {'execution': None, 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[48],['Canalisations'],non,non
19-133417,fns,cmp2006,appeloffre,initial,2019-09-03,1569600000000.0,2019-09-27,,['17'],,Numéro de la consultation : 2019.TX.EPL.0250 TRAVAUX DE CURAGE DU BASSIN DE RETENTION DES EAUX PLUVIALES DE LA SOLE - COMMUNE DE LA ROCHELLE,CDA LA ROCHELLE,," Fountaine Jean-François, Président",,,"6 rue Saint-Michel - CS 41287, service commande publique",17086,La Rochelle,,05-46-30-35-01,,,correspondre@aws-france.com,http://www.agglo-larochelle.fr,http://www.agglo-larochelle.fr,,,,,,,,,,"{'travaux': {'execution': None, 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[78],['Curage'],non,non
19-133173,mapa,cmp2006,appeloffre,initial,2019-09-03,1570014000000.0,2019-10-02,,"['34', '11', '66', '30']",,Réalisation d'une étude en vue de la conservation et la restauration des oeuvres de Dado - site des Orpellières - commune de Sérignan (34),Conservatoire du littoral,,"Mme CAVALLIN Christine, Conservatoire du littoral",,,Corderie Royale - CS 10137,17306,Rochefort cédex,,05-46-84-72-50,,,marches.publics-redaction@conservatoire-du-littoral.fr,http://www.conservatoire-du-littoral.fr/front/process/Outils.asp?rub=16&amp;rubec=16,,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': ''}",[118],['Etude'],non,oui
19-133467,fns,cmp2006,appeloffre,initial,2019-09-03,1570183200000.0,2019-10-12,,['18'],,TRAVAUX DE DÉSAMIANTAGE POUR LE COMPTE DES ÉTABLISSEMENTS DU GHT DU CHER,C.H. Jacques Coeur de Bourges,,"Mme CORNILLAULT Agnès, Directrice",,,"145, avenue François Mitterrand",18020,BOURGES cedex,,,,,cellule-marches.ght18@ch-bourges.fr,http://www.ch-bourges.fr,http://www.klekoon.com,,,,,,,,,,"{'travaux': {'execution': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<EXECUTION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[24],['Amiante'],oui,oui
19-133499,fns,cmp2006,appeloffre,initial,2019-09-03,1568300400000.0,2019-09-12,,['19'],,création d'un centre de santé municipal,Ville de Tulle,,Service Commande Publique ville de Tulle et TulleAgglo,,,10 rue Félix VidalinBP 215,19000,Tulle,,05-55-21-73-00,,,,,,,,,,,,,,,"{'travaux': {'execution': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<EXECUTION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}","[105, 222, 264, 270, 308]","['Electricité (travaux)', 'Menuiserie', 'Peinture (travaux)', 'Plomberie (travaux)', 'Revêtements de sols']",non,non
19-133400,mapa,cmp2006,appeloffre,initial,2019-09-03,1570186800000.0,2019-10-04,,"['19', '23', '87', '24', '86', '16', '17', '46', '79']",,ETUDE DE FAISABILITE POUR LES OPERATIONS IMMOBILIERES DES SITES DE LA MAISON D'ACCUEIL SPECIALISEE (MAS) DE L'EPDA DE LA CORREZE,EPDA DE LA CORREZE,,"Mme ANNIE PESCHER, DIRECTRICE",Sylvia CLAVERIE Directrice Adjointe,,1 Place du Vieux Chêne,19220,Servieres le château,,05-55-28-55-00,,,epdaservieres@epdacorreze.fr,,,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': ''}",[118],['Etude'],non,non
