,index,g01_01_id_web,g04_01_date_publication,len_d05_25_lots,description,valeur,valeurmax,valeurmin,codenuts,cpv,criteresattribution,d01_01_denomination,d01_02_code_ident_national,d01_05_adjudicateur_nuts,d01_07_cp,d01_08_ville,d01_15_url_profil_acheteur,datedebut,dateexecution,datefin,datelancement,datelivraison,dureejours,dureemois,infocompl,intitule,lieuprincipal,nbcandidats,num,optionsdescription,optionsnon,optionsoui,quantite,renouvellementdescription,renouvellementnon,renouvellementoui,suphuitansjustification,supquatreansjustification,variantesnon,variantesoui,catalogueelectroniquenon,catalogueelectroniqueoui
11,210,19-1615,2019-01-08,2,Prestations de traiteurs - Cocktails destinés aux manifestations protocolaires de la Ville de Marseille Lot no1 :Montant minimum : 120 000 euro(s) HT Montant maximum : 480 000 euro(s) HT,,,,['FRL04'],55520000,[],ville de marseille,,FRL04,13233,marseille,http://marchespublics.mairie-marseille.fr,,,,,,,,,Prestations de traiteurs - Cocktails destinés aux manifestations protocolaires,,,1,,,,,,,,,,,,,
12,267,19-3151,2019-01-10,3,Voirie Réseaux Divers,,,,['FRL04'],45112500,,ville de marseille,,FRL04,13233,marseille,http://marchespublics.mairie-marseille.fr,,,,,,,8,,"Travaux plage de la Pointe Rouge: Voirie, Réseaux, Divers",,,1,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<OPTIONS_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<RENOUVELLEMENT_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<VARIANTES_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,"<?xml version=""1.0"" encoding=""UTF-16""?>
<CATALOGUE_ELECTRONIQUE_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",
13,268,19-3151,2019-01-10,3,Gros oeuvre - Fondations spéciales,,,,['FRL04'],45223000,,ville de marseille,,FRL04,13233,marseille,http://marchespublics.mairie-marseille.fr,,,,,,,8,,Gros oeuvre - Fondations spéciales,,,2,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<OPTIONS_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<RENOUVELLEMENT_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<VARIANTES_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,"<?xml version=""1.0"" encoding=""UTF-16""?>
<CATALOGUE_ELECTRONIQUE_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",
14,269,19-3151,2019-01-10,3,Ouvrages bois - Fondations métalliques vissées,,,,['FRL04'],03410000,,ville de marseille,,FRL04,13233,marseille,http://marchespublics.mairie-marseille.fr,,,,,,,8,,Ouvrages bois - Fondations métalliques vissées,,,3,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<OPTIONS_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<RENOUVELLEMENT_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<VARIANTES_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,"<?xml version=""1.0"" encoding=""UTF-16""?>
<CATALOGUE_ELECTRONIQUE_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",
15,395,19-5250,2019-01-11,2,Stations de travail avec imprimantes-scanners,,,,[],30200000,[],ville de marseille,,,13233,marseille,http://marchespublics.mairie-marseille.fr,,,,,,,36,Lot 1 : Fourniture et installation de matériel informatique avec prestations de maintenance associéesmontant minimum : 10 000 euro(s) HTmontant maximum : 50 000 euro(s) HT,Fourniture et installation de matériel informatique avec prestations de maintenance associées,,,1,,,,,,,,,,,,,
16,315,19-3481,2019-01-11,5,Mise sous pli sans adressage,,,,['FRL04'],64120000,,ville de marseille,,FRL04,13233,marseille,http://marchespublics.mairie-marseille.fr,1573167600000.0,,,,,,,,Mise sous pli sans adressage,,,2,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<OPTIONS_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,3 reconductions expresses par période d'un an,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<RENOUVELLEMENT_OUI xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<VARIANTES_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,
17,316,19-3481,2019-01-11,5,Distribution de documents dans les boîtes aux lettres,,,,['FRL04'],64120000,,ville de marseille,,FRL04,13233,marseille,http://marchespublics.mairie-marseille.fr,,,,,,,12.0,,Distribution de documents dans les boîtes aux lettres,,,3,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<OPTIONS_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,3 reconductions expresses par période d'un an,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<RENOUVELLEMENT_OUI xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<VARIANTES_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,
18,317,19-3481,2019-01-11,5,Envois d'e-mails en masse avec location de fichier d'adresses,,,,['FRL04'],64121000,,ville de marseille,,FRL04,13233,marseille,http://marchespublics.mairie-marseille.fr,,,,,,,12.0,,Envois d'e-mails en masse avec location de fichiers,,,4,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<OPTIONS_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,3 reconductions expresses par période d'un an,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<RENOUVELLEMENT_OUI xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<VARIANTES_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,"<?xml version=""1.0"" encoding=""UTF-16""?>
<CATALOGUE_ELECTRONIQUE_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",
19,318,19-3481,2019-01-11,5,Envois de SMS en masse avec location de fichier d'adresses,,,,['FRL04'],64121000,,ville de marseille,,FRL04,13233,marseille,http://marchespublics.mairie-marseille.fr,,,,,,,12.0,,Envois de SMS en masse avec location de fichiers,,,5,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<OPTIONS_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,3 reconductions expresses par période d'un an,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<RENOUVELLEMENT_OUI xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<VARIANTES_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,
20,397,19-5324,2019-01-11,3,Location de scènes et accessoires de scène,,,,[],[],[],ville de marseille,,,13275,marseille,http://marchespublics.mairie-marseille.fr,,,,,,,12,,Location de scènes et accessoires de scène,,,1,,,,,,,,,,,,,
21,314,19-3481,2019-01-11,5,Routage de documents de communication en interne et externe,,,,['FRL04'],64121000,,ville de marseille,,FRL04,13233,marseille,http://marchespublics.mairie-marseille.fr,,,,,,,12.0,,Routage de documents de communication en interne et externe,,,1,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<OPTIONS_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,3 reconductions expresses par période d'un an,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<RENOUVELLEMENT_OUI xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<VARIANTES_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,
22,398,19-5324,2019-01-11,3,"Location de chaises, tables",,,,[],[],[],ville de marseille,,,13275,marseille,http://marchespublics.mairie-marseille.fr,,,,,,,12,,"Location de chaises, tables",,,2,,,,,,,,,,,,,
23,399,19-5324,2019-01-11,3,Location de chapiteaux et tentes,,,,[],[],[],ville de marseille,,,13275,marseille,http://marchespublics.mairie-marseille.fr,,,,,,,12,,Location de chapiteaux et tentes,,,3,,,,,,,,,,,,,
24,396,19-5250,2019-01-11,2,"Solution logicielle, Prestation d'hébergement et maintenance d'une solution logicielle, Accompagnement des agents",,,,[],51611100,[],ville de marseille,,,13233,marseille,http://marchespublics.mairie-marseille.fr,,,,,,,36,Lots 2 : La solution logiciellemontant minimum : 70 000 euro(s) HTmontant maximum : 140 000 euro(s) HT,"Fourniture, hébergement et maintenance d'une solution logicielle",,,2,,,,,,,,,,,,,
25,578,19-999,2019-01-13,6,"Désamiantage de la façade, des sols et des cloisons",,,,['FRL04'],45262600,"[{'value': ""Prix de l'offre"", 'poids': '60'}, {'value': 'Valeur Technique', 'poids': '40'}]",ville de marseille,,FRL04,13233,marseille,http://marchespublics.mairie-marseille.fr,,,,,,,,,Désamiantage,,,1,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<OPTIONS_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,,,,,,,,,
26,390,19-4912,2019-01-13,2,Délégation de Service Public pour l'animation et la gestion de la Maison Pour Tous Vallon des Tuves / Savine,"{'value': 3700000, 'devise': 'EUR'}",,,['FRL04'],85312000,,ville de marseille,,FRL04,13233,marseille,http://marchespublics.mairie-marseille.fr,,,,,,,60,Cette MPT sera située Chemin du Vallon des Tuves 13015 Marseille.Il s'agit d'une nouvelle MPT. Elle sera localisée dans un bâtiment municipal en cours de construction au moment du lancement de la présente consultation.,Délégation de Service Public pour l'animation et la gestion de la Maison Pour Tous Vallon des Tuves / Savine,,,02,,,,,,,,,,,,,
27,580,19-999,2019-01-13,6,Création d'une nouvelle façade provençale de l'école,,,,['FRL04'],45443000,"[{'value': ""Prix de l'offre"", 'poids': '60'}, {'value': 'Valeur Technique', 'poids': '40'}]",ville de marseille,,FRL04,13233,marseille,http://marchespublics.mairie-marseille.fr,,,,,,,,,Façades,,,3,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<OPTIONS_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,,,,,,,,,
28,581,19-999,2019-01-13,6,"Modernisation des potes, fenêtres et remplacement de la quincaillerie",,,,['FRL04'],45421000,"[{'value': ""Prix de l'offre"", 'poids': '60'}, {'value': 'Valeur Technique', 'poids': '40'}]",ville de marseille,,FRL04,13233,marseille,http://marchespublics.mairie-marseille.fr,,,,,,,,,Menuiseries et serrureries,,,4,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<OPTIONS_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,,,,,,,,,
29,582,19-999,2019-01-13,6,"Création de cloisons, faux-plafons, remplacement des menuiseries intérieures et pose de sol souple, mise enpeinture de l'ensemble de l'école et nettoyage de fin de chantier",,,,['FRL04'],45421141,"[{'value': ""Prix de l'offre"", 'poids': '60'}, {'value': 'Valeur Technique', 'poids': '40'}]",ville de marseille,,FRL04,13233,marseille,http://marchespublics.mairie-marseille.fr,,,,,,,,,Finitions,,,5,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<OPTIONS_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,,,,,,,,,
30,583,19-999,2019-01-13,6,"Modernisation du chauffage, VMC et des courants forts et faibles",,,,['FRL04'],45331000,"[{'value': ""Prix de l'offre"", 'poids': '60'}, {'value': 'Valeur Technique', 'poids': '40'}]",ville de marseille,,FRL04,13233,marseille,http://marchespublics.mairie-marseille.fr,,,,,,,,,Fluides,,,6,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<OPTIONS_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,,,,,,,,,
31,379,19-4752,2019-01-13,1,"Prestations d'entretien horticole, de propreté et de petites réparations dans les espaces verts, parcs, jardins, squarespublics ou scolaires, sur voirie et autres propriétés municipales des 11ème et 12e arrondissements de la Ville de Marseille (Lot EVE 11-12). La description complète de toutes les prestations ainsi que leurs spécifications sont définies dans le CCTP et le BPU",,,,['FRL04'],77310000,"[{'value': ""Prix de l'offre"", 'poids': '60'}, {'value': ""Valeur technique de l'offre"", 'poids': '40'}]",ville de marseille,,FRL04,13233,marseille,http://marchespublics.mairie-marseille.fr,,,,,,,,,,,,,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<OPTIONS_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,,,,,,,,,
32,389,19-4912,2019-01-13,2,Délégation de Service Public pour l'animation et la gestion de la Maison Pour Tous Saint-Just / Corot,"{'value': 3800000, 'devise': 'EUR'}",,,['FRL04'],85312000,,ville de marseille,,FRL04,13233,marseille,http://marchespublics.mairie-marseille.fr,,,,,,,60,Cette MPT sera située traverse Signoret 13013 Marseille.Il s'agit d'une nouvelle MPT. Elle sera localisée dans un bâtiment municipal en cours de construction au moment du lancement de la présente consultation.,Délégation de Service Public pour l'animation et la gestion de la Maison Pour Tous Saint-Just / Corot,,,01,,,,,,,,,,,,,
33,579,19-999,2019-01-13,6,"Démolition des murs et cloisons, aménagements divers et pose de carrelage et faïence, étanchéité des toituresterrasses, décapage et reprise des enrobés",,,,['FRL04'],45111100,"[{'value': ""Prix de l'offre"", 'poids': '60'}, {'value': 'Valeur Technique', 'poids': '40'}]",ville de marseille,,FRL04,13233,marseille,http://marchespublics.mairie-marseille.fr,,,,,,,,,Gros-oeuvre,,,2,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<OPTIONS_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,,,,,,,,,
34,551,19-8759,2019-01-19,1,"Mission de Maîtrise d'oeuvre pour la rénovation de la salle de spectacle du Théâtre du Gymnase, 4 Rue du Théâtre français, 13001 Marseille",,,,['FRL04'],71221000,,ville de marseille,,FRL04,13233,marseille,http://marchespublics.mairie-marseille.fr,,,,,,,36,,,"4 Rue du Théâtre français, 13001 Marseille",,,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<OPTIONS_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<RENOUVELLEMENT_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<VARIANTES_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,
35,37,19-10766,2019-01-22,2,"Le présent marché concerne les prestations de location et installation de matériel scénique, sonorisation, éclairage nécessaires aux manifestations et événements de la Mairie du 12ème arrondissement.",,150000.0,15000.0,[],32342410,[],ville de marseille,,,13424,marseille,http://marchespublics.mairie-marseille.fr,,,,,,,12,,Location de matériel scénique pour festivités du 12ème arrondissement,,,2,,,,,,,,,,,,,
36,36,19-10766,2019-01-22,2,"Le présent marché concerne les prestations de location et installation de matériel scénique, sonorisation, éclairage nécessaires aux manifestations et événements de la mairie du 11ème arrondissement.",,50000.0,5000.0,[],32342410,[],ville de marseille,,,13424,marseille,http://marchespublics.mairie-marseille.fr,,,,,,,12,,Location de matériel scénique pour festivités du 11ème arrondissement,,,1,,,,,,,,,,,,,
37,56,19-11734,2019-01-23,2,Fourniture de plaques offset thermiques,,,,[],22510000,[],ville de marseille,,,13233,marseille,http://marchespublics.mairie-marseille.fr,,,,,,,12,Reconduction expresse 3 fois par période d'un an,Fourniture de plaques offset thermiques,,,1,,,,,,,,,,,,,
38,26,19-10289,2019-01-23,1,"La présente consultation concerne un contrat de concession de services, soumis aux dispositions de l'ordonnance no 2016-65 du 29/1/2016 relative aux contrats de concession et du décret no 2016-86 du 01/02/2016 relatif aux contrats de concession, ayant pour objet la mise en valeur, la gestion et l'exploitation du Complexe Tennistique et Sportif de Luminy à Marseille dans le 9ème arrondissement.","{'value': 8000000, 'devise': 'EUR'}",,,['FRL04'],92620000,,ville de marseille,,FRL04,13233,marseille,http://marchespublics.mairie-marseille.fr,,,,,,,,,,Complexe Sportif et Tennistique de Luminy - rue Henri Cochet - 13009 Marseille,,,,,,,,,,,,,,,
39,57,19-11734,2019-01-23,2,Fourniture de produits pour l'impression offset et la finition,,,,[],22000000,[],ville de marseille,,,13233,marseille,http://marchespublics.mairie-marseille.fr,,,,,,,12,Reconduction expresse 3 fois par période d'un an,Fourniture de produits pour l'impression offset et la finition,,,2,,,,,,,,,,,,,
40,55,19-11499,2019-01-24,1,Marché de contrôle technique pour la construction du Groupe Scolaire Marceau - 13003 Marseille,,,,['FRL04'],71631300,,ville de marseille,,FRL04,13233,marseille,http://marchespublics.mairie-marseille.fr,,,,,,,42,"Mission de contrôle technique - y compris, démolition, désamiantage, dépollution, etc, programme de 20 classes + 2 classes d'adaptation sur un terrain occupé actuellement par d'anciens batiments de casernes à démolir sur une parcelle de 3 727 mètres carrés Les surfaces utiles totales futures seront d'environ 3 330 mètres carrés et devront accueillir environ 620 personnes.",,Rue masséna et de l'impasse de la These - 13003 Marseille,,,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<OPTIONS_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<RENOUVELLEMENT_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<VARIANTES_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,"<?xml version=""1.0"" encoding=""UTF-16""?>
<CATALOGUE_ELECTRONIQUE_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",
41,146,19-13721,2019-01-25,7,Achat et livraison de sandwiches et plaques de pizzas pour les répétitions et le jour de la Parade Carnavalesque,,,,[],15811510,[],ville de marseille,,,13233,marseille,http://marchespublics.mairie-marseille.fr,,,,,,20,,,Achat et livraison de sandwiches et plaques de pizzas,,,6,,,,,,,,,,,,,
42,145,19-13721,2019-01-25,7,"Vérification du montage de l'équipement, chapiteaux tentes et structures (CTS) et des installations électriques temporaires",,,,[],71356000,[],ville de marseille,,,13233,marseille,http://marchespublics.mairie-marseille.fr,,,,,,20,,,"Contrôle de sécurité des installations électriques, chapitaux et scéniques",,,5,,,,,,,,,,,,,
43,144,19-13721,2019-01-25,7,Location et mise en place d'un équipement scénique,,,,[],71356000,[],ville de marseille,,,13233,marseille,http://marchespublics.mairie-marseille.fr,,,,,,20,,,Location et mise en place d'un équipement scénique,,,4,,,,,,,,,,,,,
44,147,19-13721,2019-01-25,7,Location d'une nacelle auto - portée,,,,[],71356000,[],ville de marseille,,,13233,marseille,http://marchespublics.mairie-marseille.fr,,,,,,20,,,Location d'une nacelle autoportée,,,7,,,,,,,,,,,,,
45,142,19-13721,2019-01-25,7,Location et mise en place de communication à distance par talkies-walkies,,1500.0,900.0,[],32237000,[],ville de marseille,,,13233,marseille,http://marchespublics.mairie-marseille.fr,,,,,,20,,,Location et mise en place de communication à distance par talkies-walkies,,,2,,,,,,,,,,,,,
46,141,19-13721,2019-01-25,7,Fournitures et prestation d'effets spéciaux (type confettis géants),,,,[],92000000,[],ville de marseille,,,13233,marseille,http://marchespublics.mairie-marseille.fr,,,,,,20,,,Réalisation d'effets spéciaux,,,1,,,,,,,,,,,,,
47,143,19-13721,2019-01-25,7,Location et livraison d'extincteurs,,,,[],35111200,[],ville de marseille,,,13233,marseille,http://marchespublics.mairie-marseille.fr,,,,,,20,,,Location et livraison d'extincteurs,,,3,,,,,,,,,,,,,
48,133,19-13190,2019-01-27,1,"Le concessionnaire sera chargé de la conception, du financement (hors subvention éventuelle), de la réalisation, de l'exploitation du service public, de la maintenance, de la gestion (technique, administrative et financière) et du gros entretien renouvellement des espaces et ouvrages maintenus et reconfigurés du Parc Chanot et de la salle évènementielle à créer selon les principes qui seront définis dans le cahier des charges (cf art 5 du RC).","{'value': 1200000000, 'devise': 'EUR'}",,,['FRL04'],79950000,,ville de marseille,,FRL04,13233,marseille,http://marchespublics.mairie-marseille.fr,,,,,,,360,La durée mentionnée au II.2.7 est une durée maximale qui sera précisée par la Ville de Marseille lors de la phase de négociations.,,Marseille,,,,,,,,,,,,,,,
49,150,19-13788,2019-01-27,1,"Marché de conception-réalisation pour la modernisation du Stade Nautique du Roucas Blanc pour l'accueil des Jeux Olympiques Paris 2024 à Marseille, en site occupé en fonctionnement, dans le 8ème arrondissement.Le détail de l'opération est présenté dans l'annexe 1 au présent Règlement de Consultation de la phase Candidature (RCC) 'Descriptif de l'opération'.",,,,['FRL04'],45000000,,ville de marseille,,FRL04,13233,marseille,http://marchespublics.mairie-marseille.fr,,,,,,,81,,,,"{'nbmaxoffre': None, 'nbminoffre': None, 'nboffre': 4, 'limitationcandidats': None}",,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<OPTIONS_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<RENOUVELLEMENT_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<VARIANTES_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,"<?xml version=""1.0"" encoding=""UTF-16""?>
<CATALOGUE_ELECTRONIQUE_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",
50,162,19-14557,2019-01-28,2,"Prestations de conception (technique et artistique), intégration de contenus, mise à disposition de matériel adapté, et maintenance des dispositifs multimédias de l'exposition ' La police à Marseille du XVIIIe siècle à nos jours ' aux Archives municipales.",,,,[],[],[],ville de marseille,,,13233,marseille,,,,,,,,,,,,,2,,,,,,,,,,,,,
51,161,19-14557,2019-01-28,2,"Prestations de conception (technique et artistique), fabrication, intégration montage, et maintenance de la scénographie de l'exposition ' La police à Marseille du XVIIIe siècle à nos jours ' aux Archives municipales.",,,,[],[],[],ville de marseille,,,13233,marseille,,,,,,,,,,,,,1,,,,,,,,,,,,,
